Day,Shift_U
2/20/2015,0
2/21/2015,0.8889053
2/22/2015,-1.5281181
2/23/2015,-0.7390898
2/24/2015,-1.4781796
2/25/2015,1.1385978
2/26/2015,-3.5656089
2/27/2015,-0.6292251
2/28/2015,-2.5268881
3/1/2015,-2.7466175
3/2/2015,-4.294711
3/3/2015,-6.7716606
3/4/2015,-5.8627799
3/5/2015,-6.1723986
3/6/2015,-5.6330628
3/7/2015,-2.3570972
3/8/2015,-1.4382288
3/9/2015,-4.694219
3/10/2015,-6.0225831
3/11/2015,-3.2659779
3/12/2015,-1.2684379
3/13/2015,-2.4369988
3/14/2015,-5.2335548
3/15/2015,-0.2596802
3/16/2015,-6.3222141
3/18/2015,-5.8727676
3/19/2015,-6.9214761
3/20/2015,-2.7366298
3/21/2015,-4.8040837
3/22/2015,4.7841083
3/23/2015,5.0138254
3/24/2015,-2.6267651
3/25/2015,-3.8252891
3/26/2015,-4.3246741
3/27/2015,-3.0861993
3/28/2015,-5.5731366
3/29/2015,-6.3721526
3/30/2015,-1.8477245
3/31/2015,-8.5694466
4/1/2015,-1.0187454
4/2/2015,1.9276261
4/3/2015,-4.1648709
4/4/2015,-1.5680689
4/5/2015,-5.493235
4/6/2015,-2.2572202
4/7/2015,1.1485855
4/8/2015,4.3046987
4/9/2015,-0.0599262
4/10/2015,1.1585732
4/11/2015,-3.0562362
4/12/2015,-2.3570972
4/13/2015,-5.1037147
4/14/2015,0.8189914
4/15/2015,-0.8589422
4/16/2015,2.8365068
4/17/2015,-3.4257811
4/18/2015,-0.5393358
4/19/2015,-0.3495695
4/20/2015,1.3183764
4/21/2015,-7.3309718
4/22/2015,-3.0262731
4/23/2015,2.9863223
4/24/2015,-1.2184994
4/25/2015,-3.6055597
4/26/2015,-0.0199754
4/27/2015,-2.3471095
4/28/2015,-0.8789176
4/29/2015,0.6591882
4/30/2015,0.2097417
5/1/2015,3.2160394
5/2/2015,-2.0774416
5/3/2015,-0.299631
5/4/2015,-2.2871833
5/5/2015,2.3770726
5/7/2015,-4.7641329
5/8/2015,-2.8464945
5/9/2015,-3.3358918
5/10/2015,2.3870603
5/11/2015,-8.2498402
5/12/2015,-5.9426815
5/13/2015,-2.8365068
5/14/2015,-5.6730136
5/15/2015,1.8177614
5/16/2015,4.9039607
5/17/2015,-1.99754
5/19/2015,0.3595572
5/20/2015,-6.492005
5/21/2015,-7.191144
5/22/2015,-4.7241821
5/23/2015,-2.4869373
5/24/2015,-3.2759656
5/25/2015,-4.4545142
5/26/2015,-1.2584502
5/27/2015,-4.394588
5/28/2015,-1.5880443
5/29/2015,-5.9326938
5/30/2015,-3.9451415
5/31/2015,-4.1349078
6/1/2015,-2.3371218
6/2/2015,-7.6605659
6/3/2015,-2.9763346
6/4/2015,-8.9190161
6/5/2015,-6.1024847
6/6/2015,-6.2423125
6/7/2015,-3.6854613
6/8/2015,-3.1161624
6/9/2015,-1.1785486
6/10/2015,-3.7154244
6/25/2015,-4.3046987
6/26/2015,-2.5169004
6/27/2015,-1.2584502
6/28/2015,1.6879213
6/30/2015,-0.9288561
7/1/2015,1.99754
7/2/2015,1.8377368
7/3/2015,3.0562362
7/4/2015,0.4394588
7/5/2015,2.0874293
7/6/2015,-0.1298401
7/7/2015,0.0199754
7/8/2015,5.4033457
7/9/2015,1.7778106
7/10/2015,2.1074047
7/11/2015,0
7/12/2015,-3.5755966
7/13/2015,2.4469865
7/14/2015,-9.0688316
7/15/2015,-5.2035917
7/16/2015,-1.7877983
7/17/2015,-0.3695449
7/18/2015,3.1661009
7/19/2015,0.7490775
7/20/2015,-4.2247971
7/21/2015,1.6180074
7/22/2015,-7.2310948
7/23/2015,-1.3683149
7/24/2015,-1.0586962
7/25/2015,2.8265191
7/26/2015,-0.4394588
7/27/2015,-1.1885363
7/28/2015,1.5780566
7/29/2015,-2.1373678
7/30/2015,1.398278
7/31/2015,-0.1598032
8/1/2015,-3.5356458
8/2/2015,-5.1736286
8/3/2015,0.5792866
8/4/2015,2.3570972
8/5/2015,1.2684379
8/6/2015,-1.3583272
8/7/2015,-0.5193604
8/8/2015,0.1298401
8/9/2015,-3.5456335
8/10/2015,3.695449
8/11/2015,-0.3495695
8/12/2015,0.6791636
8/13/2015,-0.4394588
8/14/2015,0.6691759
8/15/2015,1.0387208
8/16/2015,0.99877
8/17/2015,0.699139
8/18/2015,-2.8365068
8/19/2015,1.6779336
8/20/2015,-1.4182534
8/21/2015,-7.5507012
8/22/2015,-7.1711686
8/23/2015,-1.5780566
8/24/2015,-4.7341698
8/25/2015,-1.8377368
8/26/2015,-0.2297171
8/27/2015,1.3683149
8/28/2015,-1.0586962
8/29/2015,-3.8352768
8/30/2015,-3.0861993
8/31/2015,-5.5132104
9/1/2015,0.8090037
9/2/2015,1.0087577
9/3/2015,0.4794096
9/4/2015,-1.7278721
9/5/2015,-6.0525462
9/6/2015,-2.7066667
9/7/2015,-5.8028537
9/8/2015,-6.0026077
9/9/2015,-5.2035917
9/10/2015,-8.0301108
9/11/2015,-7.5207381
9/12/2015,-3.8452645
9/13/2015,-4.2347848
9/14/2015,-1.7378598
9/15/2015,-6.1723986
9/16/2015,-8.7991637
9/17/2015,-3.0762116
9/18/2015,-4.7541452
9/19/2015,-4.8739976
9/20/2015,-1.498155
9/21/2015,-3.7054367
9/22/2015,-7.4108734
9/23/2015,-2.5868143
9/24/2015,-5.5032227
9/25/2015,-5.4632719
9/26/2015,-4.2048217
9/27/2015,-5.3833703
9/28/2015,-10.3472572
9/29/2015,-2.7366298
9/30/2015,-3.4357688
10/1/2015,-3.4457565
10/2/2015,-3.5556212
10/3/2015,-2.4469865
10/4/2015,3.6355228
10/5/2015,-3.495695
10/6/2015,-1.2184994
10/7/2015,0.6092497
10/8/2015,-16.0602216
10/9/2015,-2.3870603
10/10/2015,-5.5132104
10/11/2015,-5.8727676
10/12/2015,-1.4781796
10/13/2015,-6.3521772
10/15/2015,-3.2360148
10/16/2015,-0.6392128
10/17/2015,-0.8389668
10/18/2015,-4.3246741
10/19/2015,-3.2859533
10/20/2015,-4.3146864
10/21/2015,-8.0500862
10/22/2015,-2.8365068
10/23/2015,0.8489545
10/24/2015,-4.6243051
10/25/2015,-4.2447725
10/26/2015,-2.7765806
10/27/2015,-2.6767036
10/28/2015,-5.2635179
10/29/2015,-6.3122264
10/30/2015,-3.096187
10/31/2015,-3.5556212
11/1/2015,-2.1573432
11/2/2015,-6.4420665
11/3/2015,-3.8053137
11/4/2015,-8.2498402
11/5/2015,-4.0450185
11/6/2015,-2.4769496
11/7/2015,-7.0712916
11/8/2015,-9.1387455
11/9/2015,-8.4795573
11/10/2015,-2.9663469
11/11/2015,-0.3495695
11/12/2015,-10.1475032
11/13/2015,-6.1723986
11/14/2015,-8.0600739
11/15/2015,-7.2011317
