Day,Shift_U
2/20/2015,-88.8106284
2/21/2015,-87.9217231
2/22/2015,-90.3387465
2/23/2015,-89.5497182
2/24/2015,-90.288808
2/25/2015,-87.6720306
2/26/2015,-92.3762373
2/27/2015,-89.4398535
2/28/2015,-91.3375165
3/1/2015,-91.5572459
3/2/2015,-93.1053394
3/3/2015,-95.582289
3/4/2015,-94.6734083
3/5/2015,-94.983027
3/6/2015,-94.4436912
3/7/2015,-91.1677256
3/8/2015,-90.2488572
3/9/2015,-93.5048474
3/10/2015,-94.8332115
3/11/2015,-92.0766063
3/12/2015,-90.0790663
3/13/2015,-91.2476272
3/14/2015,-94.0441832
3/15/2015,-89.0703086
3/16/2015,-95.1328425
3/18/2015,-94.683396
3/19/2015,-95.7321045
3/20/2015,-91.5472582
3/21/2015,-93.6147121
3/22/2015,-84.0265201
3/23/2015,-83.796803
3/24/2015,-91.4373935
3/25/2015,-92.6359175
3/26/2015,-93.1353025
3/27/2015,-91.8968277
3/28/2015,-94.383765
3/29/2015,-95.182781
3/30/2015,-90.6583529
3/31/2015,-97.380075
4/1/2015,-89.8293738
4/2/2015,-86.8830023
4/3/2015,-92.9754993
4/4/2015,-90.3786973
4/5/2015,-94.3038634
4/6/2015,-91.0678486
4/7/2015,-87.6620429
4/8/2015,-84.5059297
4/9/2015,-88.8705546
4/10/2015,-87.6520552
4/11/2015,-91.8668646
4/12/2015,-91.1677256
4/13/2015,-93.9143431
4/14/2015,-87.991637
4/15/2015,-89.6695706
4/16/2015,-85.9741216
4/17/2015,-92.2364095
4/18/2015,-89.3499642
4/19/2015,-89.1601979
4/20/2015,-87.492252
4/21/2015,-96.1416002
4/22/2015,-91.8369015
4/23/2015,-85.8243061
4/24/2015,-90.0291278
4/25/2015,-92.4161881
4/26/2015,-88.8306038
4/27/2015,-91.1577379
4/28/2015,-89.689546
4/29/2015,-88.1514402
4/30/2015,-88.6008867
5/1/2015,-85.594589
5/2/2015,-90.88807
5/3/2015,-89.1102594
5/4/2015,-91.0978117
5/5/2015,-86.4335558
5/7/2015,-93.5747613
5/8/2015,-91.6571229
5/9/2015,-92.1465202
5/10/2015,-86.4235681
5/11/2015,-97.0604686
5/12/2015,-94.7533099
5/13/2015,-91.6471352
5/14/2015,-94.483642
5/15/2015,-86.992867
5/16/2015,-83.9066677
5/17/2015,-90.8081684
5/19/2015,-88.4510712
5/20/2015,-95.3026334
5/21/2015,-96.0017724
5/22/2015,-93.5348105
5/23/2015,-91.2975657
5/24/2015,-92.086594
5/25/2015,-93.2651426
5/26/2015,-90.0690786
5/27/2015,-93.2052164
5/28/2015,-90.3986727
5/29/2015,-94.7433222
5/30/2015,-92.7557699
5/31/2015,-92.9455362
6/1/2015,-91.1477502
6/2/2015,-96.4711943
6/3/2015,-91.786963
6/4/2015,-97.7296445
6/5/2015,-94.9131131
6/6/2015,-95.0529409
6/7/2015,-92.4960897
6/8/2015,-91.9267908
6/9/2015,-89.989177
6/10/2015,-92.5260528
6/25/2015,-93.1153271
6/26/2015,-91.3275288
6/27/2015,-90.0690786
6/28/2015,-87.1227071
6/30/2015,-89.7394845
7/1/2015,-86.8130884
7/2/2015,-86.9728916
7/3/2015,-85.7543922
7/4/2015,-88.3711696
7/5/2015,-86.7231991
7/6/2015,-88.9404685
7/7/2015,-88.790653
7/8/2015,-83.4072827
7/9/2015,-87.0328178
7/10/2015,-86.7032237
7/11/2015,-88.8106284
7/12/2015,-92.386225
7/13/2015,-86.3636419
7/14/2015,-97.87946
7/15/2015,-94.0142201
7/16/2015,-90.5984267
7/17/2015,-89.1801733
7/18/2015,-85.6445275
7/19/2015,-88.0615509
7/20/2015,-93.0354255
7/21/2015,-87.192621
7/22/2015,-96.0417232
7/23/2015,-90.1789433
7/24/2015,-89.8693246
7/25/2015,-85.9841093
7/26/2015,-89.2500872
7/27/2015,-89.9991647
7/28/2015,-87.2325718
7/29/2015,-90.9479962
7/30/2015,-87.4123504
7/31/2015,-88.9704316
8/1/2015,-92.3462742
8/2/2015,-93.984257
8/3/2015,-88.2313418
8/4/2015,-86.4535312
8/5/2015,-87.5421905
8/6/2015,-90.1689556
8/7/2015,-89.3299888
8/8/2015,-88.6807883
8/9/2015,-92.3562619
8/10/2015,-85.1151794
8/11/2015,-89.1601979
8/12/2015,-88.1314648
8/13/2015,-89.2500872
8/14/2015,-88.1414525
8/15/2015,-87.7719076
8/16/2015,-87.8118584
8/17/2015,-88.1114894
8/18/2015,-91.6471352
8/19/2015,-87.1326948
8/20/2015,-90.2288818
8/21/2015,-96.3613296
8/22/2015,-95.981797
8/23/2015,-90.388685
8/24/2015,-93.5447982
8/25/2015,-90.6483652
8/26/2015,-89.0403455
8/27/2015,-87.4423135
8/28/2015,-89.8693246
8/29/2015,-92.6459052
8/30/2015,-91.8968277
8/31/2015,-94.3238388
9/1/2015,-88.0016247
9/2/2015,-87.8018707
9/3/2015,-88.3312188
9/4/2015,-90.5385005
9/5/2015,-94.8631746
9/6/2015,-91.5172951
9/7/2015,-94.6134821
9/8/2015,-94.8132361
9/9/2015,-94.0142201
9/10/2015,-96.8407392
9/11/2015,-96.3313665
9/12/2015,-92.6558929
9/13/2015,-93.0454132
9/14/2015,-90.5484882
9/15/2015,-94.983027
9/16/2015,-97.6097921
9/17/2015,-91.88684
9/18/2015,-93.5647736
9/19/2015,-93.684626
9/20/2015,-90.3087834
9/21/2015,-92.5160651
9/22/2015,-96.2215018
9/23/2015,-91.3974427
9/24/2015,-94.3138511
9/25/2015,-94.2739003
9/26/2015,-93.0154501
9/27/2015,-94.1939987
9/28/2015,-99.1578856
9/29/2015,-91.5472582
9/30/2015,-92.2463972
10/1/2015,-92.2563849
10/2/2015,-92.3662496
10/3/2015,-91.2576149
10/4/2015,-85.1751056
10/5/2015,-92.3063234
10/6/2015,-90.0291278
10/7/2015,-88.2013787
10/8/2015,-104.87085
10/9/2015,-91.1976887
10/10/2015,-94.3238388
10/11/2015,-94.683396
10/12/2015,-90.288808
10/13/2015,-95.1628056
10/15/2015,-92.0466432
10/16/2015,-89.4498412
10/17/2015,-89.6495952
10/18/2015,-93.1353025
10/19/2015,-92.0965817
10/20/2015,-93.1253148
10/21/2015,-96.8607146
10/22/2015,-91.6471352
10/23/2015,-87.9616739
10/24/2015,-93.4349335
10/25/2015,-93.0554009
10/26/2015,-91.587209
10/27/2015,-91.487332
10/28/2015,-94.0741463
10/29/2015,-95.1228548
10/30/2015,-91.9068154
10/31/2015,-92.3662496
11/1/2015,-90.9679716
11/2/2015,-95.2526949
11/3/2015,-92.6159421
11/4/2015,-97.0604686
11/5/2015,-92.8556469
11/6/2015,-91.287578
11/7/2015,-95.88192
11/8/2015,-97.9493739
11/9/2015,-97.2901857
11/10/2015,-91.7769753
11/11/2015,-89.1601979
11/12/2015,-98.9581316
11/13/2015,-94.983027
11/14/2015,-96.8707023
11/15/2015,-96.0117601
11/16/2015,-94.0641586
11/17/2015,-93.1053394
11/18/2015,-93.9043554
11/19/2015,-91.4773443
11/20/2015,-92.9555239
11/21/2015,-95.3226088
11/22/2015,-94.9131131
11/23/2015,-94.9630516
11/24/2015,-95.7420922
11/25/2015,-94.4436912
11/26/2015,-94.0142201
11/27/2015,-94.9231008
11/28/2015,-95.3625596
11/29/2015,-93.3949827
11/30/2015,-94.0242078
12/1/2015,-95.6322275
12/2/2015,-93.2251918
12/3/2015,-85.2749826
12/4/2015,-82.1188694
12/5/2015,-94.8731623
12/6/2015,-95.782043
12/7/2015,-92.9754993
12/8/2015,-92.0166801
12/9/2015,-93.5148351
12/10/2015,-94.1540479
12/11/2015,-96.6609606
12/12/2015,-94.7233468
12/13/2015,-97.280198
12/14/2015,-95.9718093
12/15/2015,-96.5011574
12/27/2015,-98.7284145
12/28/2015,-98.2490049
12/29/2015,-98.7883407
12/30/2015,-92.6059544
12/31/2015,-91.5572459
1/1/2016,-94.7433222
1/2/2016,-90.1090294
1/3/2016,-94.9430762
1/4/2016,-98.4387712
1/5/2016,-98.378845
1/6/2016,-97.1104071
1/7/2016,-94.9530639
1/8/2016,-98.6585006
1/9/2016,-97.4599766
1/10/2016,-99.7871107
1/11/2016,-99.5973444
1/12/2016,-99.7072091
1/13/2016,-98.6884637
1/14/2016,-97.3900627
1/15/2016,-97.0305055
1/16/2016,-98.6884637
1/17/2016,-95.8219938
1/18/2016,-97.9693493
1/19/2016,-100.2565326
1/20/2016,-101.4450689
1/21/2016,-97.0005424
1/22/2016,-99.976877
1/23/2016,-100.8657823
1/24/2016,-96.3912927
1/25/2016,-102.6835437
1/26/2016,-98.3588696
1/27/2016,-102.673556
1/28/2016,-98.2390172
1/29/2016,-98.8682423
1/30/2016,-100.7259545
1/31/2016,-100.2265695
2/1/2016,-100.176631
2/2/2016,-103.1629533
2/3/2016,-102.274048
2/4/2016,-100.7359422
2/5/2016,-100.3064711
2/6/2016,-103.7022891
2/7/2016,-107.9870124
2/8/2016,-103.2528426
2/9/2016,-100.8258315
2/10/2016,-99.7471599
2/11/2016,-100.2165818
2/12/2016,-101.9444539
2/13/2016,-101.8945154
2/14/2016,-101.1254625
2/15/2016,-100.1067171
2/16/2016,-102.6336052
2/17/2016,-101.4650443
2/18/2016,-105.1604933
2/19/2016,-103.2628303
2/20/2016,-103.0630763
2/21/2016,-102.0243555
2/22/2016,-102.773433
2/23/2016,-103.2228795
2/24/2016,-101.9844047
2/25/2016,-105.1405179
2/26/2016,-101.4350812
2/27/2016,-101.1654133
2/28/2016,-100.4363112
2/29/2016,-104.9307762
3/1/2016,-102.773433
3/2/2016,-101.1054871
3/3/2016,-105.0606163
3/4/2016,-106.5787467
3/5/2016,-106.8584023
3/6/2016,-105.9894724
3/7/2016,-98.6585006
3/8/2016,-101.87454
3/9/2016,-105.5300382
3/10/2016,-104.9008131
3/11/2016,-101.8545646
3/12/2016,-105.6399029
3/13/2016,-101.3152288
3/14/2016,-106.0194355
3/15/2016,-102.8932854
3/16/2016,-104.571219
3/17/2016,-106.0394109
3/18/2016,-106.269128
3/19/2016,-107.2479226
3/20/2016,-103.1529656
3/21/2016,-102.3040111
3/22/2016,-103.8421169
3/23/2016,-104.7210345
3/24/2016,-106.7385499
3/25/2016,-101.075524
3/26/2016,-105.9595093
3/27/2016,-95.5723013
3/28/2016,-104.1517356
3/29/2016,-103.8820677
3/30/2016,-106.1293002
3/31/2016,-106.3490296
4/1/2016,-108.4464466
4/2/2016,-107.0981071
4/3/2016,-106.2791157
4/4/2016,-108.0169755
4/5/2016,-106.4389189
4/6/2016,-111.4327689
