# x, y    : 1835, 692
# lat, lon: 36.55000, 59.23355
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -2.267*t+4.775
20150220    0.00
20150304   -1.96
20150328   -0.72
20150421    1.37
20150515    0.22
20150702    4.41
20150726    4.59
20150819   -1.30
20151030    3.21
20151123    2.95
20151217    1.84
20160110    0.35
20160203    1.18
20160227   -1.47
20160322   -5.24
20160415   -2.35
20160509   -1.10
20160602   -6.07
20160720    3.55
20160813    6.95
20160906    5.92
20160930    5.57
20161024    4.88
20161117    4.87
20161211    4.68
20170104    6.61
20170128    4.13
20170209    3.80
20170221    0.07
20170305   -1.60
20170317   -1.65
20170329   -1.30
20170410   -5.07
20170422   -5.59
20170504   -6.27
20170516   -5.01
20170528   -4.14
20170609   -3.86
20170703   -0.03
20170715    0.00
20170727   -1.72
20170808   -0.29
20170820   -0.15
20170901    0.90
20170913   -1.01
20170925    0.71
20171007    1.55
20171019    0.94
20171031   -0.68
20171112    0.92
20171124    4.08
20171206    0.05
20171218    1.62
20171230    1.63
20180111    0.57
20180123    0.87
20180204    2.43
20180216    1.84
20180228    4.62
20180312   -0.26
20180324   -0.29
20180405   -0.87
20180417    0.47
20180429   -4.55
20180511   -0.94
20180523   -0.40
20180604   -0.76
20180616   -0.38
20180628    0.44
20180710    4.63
20180722    3.89
20180803   -0.65
20180815   -1.37
20180827   -0.74
20180908   -1.31
20181002   -3.41
20181014   -3.95
20181026   -1.63
20181107   -4.25
20181119   -3.63
20181201   -3.96
20181213   -5.37
20181225   -5.44
20190106   -4.79
20190118   -7.49
20190130   -4.92
20190211   -5.94
20190223   -4.18
20190307   -4.45
20190331   -0.98
20190412    2.83
20190424   -5.82
20190506   -3.83
20190518   -7.69
20190530   -6.04
20190611   -6.24
20190623   -9.01
20190705   -7.34
20190717   -6.13
20190729   -5.03
20190810   -1.46
20190822   -1.59
20190903   -3.30
20190915    1.15
20190927   -4.35
20191009   -2.93
20191021   -3.38
20191102   -1.60
20191114   -3.40
20191126   -4.23
20191208   -3.64
20191220   -5.81
20200101   -5.63
20200125   -4.89
20200206   -5.43
20200218   -3.96
20200301   -5.16
20200313   -5.76
20200406   -5.22
20200418   -5.48
20200430  -10.33
20200512  -10.25
20200524  -11.08
20200605  -13.93
20200617  -11.88
20200629  -13.90
20200723  -18.86
20200804  -18.29
20200816  -17.70
20200828  -18.06
20200909  -20.57
20200921  -15.18
20201003  -13.57
20201015  -13.14
20201027  -11.89
20201108  -15.22
20201120  -10.19
20201202   -9.99
20201214   -9.46
20210107   -8.15
20210119   -8.40
20210131   -7.21
20210212   -5.22
20210224   -8.02
20210308   -7.57
20210320   -7.33
20210413   -6.77
20210425   -9.27
20210507   -3.60
20210519   -8.93
20210531  -16.73
20210612  -13.59
20210624  -11.70
20210706  -12.34
20210718  -12.03
20210730  -12.30
20210811   -9.14
20210823  -10.88
20210904   -5.76
20210916   -9.34
20210928   -8.31
20211010   -8.21
20211022   -7.62
20211103   -8.19
20211115   -8.52
20211127   -8.75
20211209   -9.13
20211221  -12.26
20220102   -7.16
20220114   -5.40
20220126  -10.79
20220207  -11.31
20220219  -11.42
20220303  -10.41
20220315   -7.44
20220327   -9.72
20220408  -11.76
20220420   -8.48
20220502  -12.30
20220514   -9.23
20220526   -8.60
20220607   -9.28
20220619  -10.50
20220701   -7.01
20220713   -6.52
20220725   -2.77
20220806   -5.15
20220818   -5.45
20220830   -3.81
20220911   -4.49
20220923   -6.30
20221005   -5.83
20221029   -5.67
20221110   -5.23
20221122   -7.44
20221204   -8.43
20221216   -9.52
20221228  -10.10
20230109  -10.35
20230121  -10.55
20230202  -11.02
20230226  -16.94
20230310  -16.96
20230322  -18.22
20230403  -18.20
20230415  -18.15
20230427  -19.34
20230509  -19.71
20230521  -23.33
20230602  -23.90
20230614  -20.94
20230626  -19.76
20230708  -20.89
20230720  -21.17
20230801  -16.01
20230813  -14.30
20230825  -15.50
20230906  -16.97
20230918  -14.84
20230930  -14.78
20231012  -16.42
20231024  -16.72
20231105  -14.03
20231117  -17.12
20231129  -16.54
20231211  -17.65
20231223  -13.97
20240104  -17.03
20240116  -15.70
20240209  -16.77
20240221  -18.78
