# x, y    : 1728, 691
# lat, lon: 36.55100, 59.12655
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -1.472*t+3.870
20150220    0.00
20150304   -1.64
20150328   -2.11
20150421   -5.28
20150515   -1.29
20150702    8.45
20150726    5.33
20150819    1.59
20151030    5.03
20151123    2.83
20151217    1.69
20160110   -2.22
20160203    0.57
20160227   -1.84
20160322   -5.73
20160415   -5.47
20160509   -3.71
20160602    0.19
20160720    2.50
20160813    3.37
20160906    4.82
20160930    6.20
20161024    6.65
20161117    7.31
20161211    7.07
20170104    7.13
20170128    5.53
20170209    3.64
20170221    2.71
20170305   -0.98
20170317   -0.44
20170329   -2.28
20170410   -0.44
20170422   -2.24
20170504   -2.82
20170516   -8.06
20170528   -4.51
20170609   -3.71
20170703    0.11
20170715    0.66
20170727    1.90
20170808    2.16
20170820    0.67
20170901    1.72
20170913    0.92
20170925    1.28
20171007   -0.85
20171019    0.99
20171031    0.53
20171112    0.42
20171124    0.86
20171206    1.55
20171218    0.96
20171230    2.46
20180111   -0.31
20180123    1.86
20180204    2.99
20180216    1.90
20180228    3.43
20180312   -0.84
20180324    0.40
20180405   -3.89
20180417   -1.74
20180429   -6.37
20180511   -3.51
20180523   -2.14
20180604   -0.41
20180616   -1.19
20180628   -1.84
20180710    0.17
20180722    1.38
20180803   -0.62
20180815   -0.90
20180827   -2.13
20180908   -0.75
20181002   -2.38
20181014   -0.80
20181026    1.33
20181107   -1.44
20181119   -3.01
20181201   -2.69
20181213   -3.33
20181225   -4.49
20190106   -4.75
20190118   -5.42
20190130   -2.74
20190211   -4.21
20190223    0.03
20190307   -2.91
20190331    2.69
20190412    6.54
20190424   -4.97
20190506    0.64
20190518    0.85
20190530   -2.54
20190611   -1.60
20190623   -1.20
20190705   -1.57
20190717    1.82
20190729    2.37
20190810    3.93
20190822    5.96
20190903    4.53
20190915    5.80
20190927    4.16
20191009    4.58
20191021    2.59
20191102    4.14
20191114    2.72
20191126    1.66
20191208    3.00
20191220    0.52
20200101   -0.12
20200125    0.12
20200206   -0.57
20200218    0.98
20200301    1.03
20200313    0.05
20200406   -4.55
20200418   -5.19
20200430   -9.05
20200512   -8.90
20200524   -9.35
20200605  -11.04
20200617   -9.12
20200629   -6.51
20200723  -19.11
20200804  -12.19
20200816  -12.25
20200828  -13.47
20200909  -12.30
20200921   -7.20
20201003   -8.71
20201015   -7.32
20201027   -6.03
20201108   -7.53
20201120   -5.09
20201202   -5.63
20201214   -5.31
20210107   -4.33
20210119   -4.93
20210131   -3.14
20210212   -0.68
20210224   -1.80
20210308   -1.02
20210320   -3.74
20210413   -3.88
20210425   -4.56
20210507    1.73
20210519   -8.01
20210531  -12.50
20210612   -8.82
20210624  -10.27
20210706  -11.40
20210718   -8.64
20210730  -13.69
20210811   -8.00
20210823   -9.38
20210904   -6.02
20210916   -7.84
20210928   -7.54
20211010   -6.46
20211022   -6.36
20211103   -5.95
20211115   -5.25
20211127   -6.30
20211209   -5.67
20211221  -10.14
20220102   -5.50
20220114   -4.59
20220126   -6.76
20220207   -3.54
20220219   -4.76
20220303   -5.55
20220315    0.39
20220327   -3.42
20220408   -4.44
20220420   -5.34
20220502   -7.05
20220514   -3.58
20220526   -3.20
20220607   -1.76
20220619    2.86
20220701   -0.61
20220713   -0.68
20220725    1.21
20220806    0.34
20220818    1.04
20220830    1.78
20220911    0.70
20220923    1.77
20221005   -0.03
20221029   -1.71
20221110   -0.20
20221122   -1.76
20221204   -1.85
20221216   -3.16
20221228   -3.68
20230109   -4.09
20230121   -4.14
20230202   -3.30
20230226  -10.25
20230310   -9.30
20230322  -12.69
20230403  -12.62
20230415  -16.01
20230427  -18.14
20230509  -16.86
20230521  -22.14
20230602  -21.92
20230614  -24.05
20230626  -19.37
20230708  -19.30
20230720  -19.17
20230801  -14.18
20230813  -11.19
20230825  -12.66
20230906  -13.02
20230918  -10.12
20230930   -9.32
20231012   -7.58
20231024  -10.29
20231105   -7.67
20231117  -10.11
20231129  -10.68
20231211   -8.45
20231223   -5.26
20240104   -7.18
20240116   -7.95
20240209   -9.93
20240221   -8.68
