# x, y    : 1753, 677
# lat, lon: 36.56500, 59.15155
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.314*t-0.672
20150220    0.00
20150304   -4.28
20150328   -4.20
20150421   -7.13
20150515   -5.75
20150702    0.71
20150726    2.94
20150819   -1.45
20151030    3.19
20151123    1.72
20151217    1.54
20160110   -1.15
20160203   -0.15
20160227    0.42
20160322   -2.72
20160415    1.08
20160509   -0.85
20160602   -2.59
20160720    0.30
20160813    4.39
20160906    6.42
20160930    6.61
20161024    8.14
20161117    7.98
20161211    5.63
20170104    8.86
20170128    6.13
20170209    5.69
20170221    3.38
20170305    2.20
20170317   -0.19
20170329    1.27
20170410    2.21
20170422    2.16
20170504    2.59
20170516    3.29
20170528    3.35
20170609    3.42
20170703    6.48
20170715    5.86
20170727    5.15
20170808    5.84
20170820    6.04
20170901    8.83
20170913    7.57
20170925    6.33
20171007    6.69
20171019    6.79
20171031    6.92
20171112    6.80
20171124    7.22
20171206    6.64
20171218    7.03
20171230    7.82
20180111    9.15
20180123    7.80
20180204    8.66
20180216    8.06
20180228   10.21
20180312    5.16
20180324    4.39
20180405    6.17
20180417    6.46
20180429    2.86
20180511    3.99
20180523    6.38
20180604    7.02
20180616    8.26
20180628    4.72
20180710    7.88
20180722    9.87
20180803    4.72
20180815    2.08
20180827    5.44
20180908    6.43
20181002    4.78
20181014    6.43
20181026    8.50
20181107    5.23
20181119    5.14
20181201    6.30
20181213    5.95
20181225    6.42
20190106    5.45
20190118    5.06
20190130    7.23
20190211    6.60
20190223    9.00
20190307    9.52
20190331   14.64
20190412   18.31
20190424    9.76
20190506   12.69
20190518   13.51
20190530   10.97
20190611    9.71
20190623   10.77
20190705    9.57
20190717   10.10
20190729   12.98
20190810   14.75
20190822   14.46
20190903   11.66
20190915   16.34
20190927   13.13
20191009   14.06
20191021   12.57
20191102   12.27
20191114   12.27
20191126   11.23
20191208   11.09
20191220   10.84
20200101   11.71
20200125   11.66
20200206   12.49
20200218   13.81
20200301   11.86
20200313   13.82
20200406   13.40
20200418   11.51
20200430   12.16
20200512    8.54
20200524   10.82
20200605    8.30
20200617    9.47
20200629    8.13
20200723    2.35
20200804    4.60
20200816    3.46
20200828    2.90
20200909    2.58
20200921    7.38
20201003    7.17
20201015    8.45
20201027    9.54
20201108    7.22
20201120   11.22
20201202   11.60
20201214   12.56
20210107   14.19
20210119   14.54
20210131   16.66
20210212   17.40
20210224   16.64
20210308   17.83
20210320   15.23
20210413   16.17
20210425   14.55
20210507   19.34
20210519   12.54
20210531    4.04
20210612   12.95
20210624   10.61
20210706    9.81
20210718   13.11
20210730   11.08
20210811   13.98
20210823   11.73
20210904   15.38
20210916   14.42
20210928   11.96
20211010   15.61
20211022   14.88
20211103   15.32
20211115   16.14
20211127   16.28
20211209   16.18
20211221   14.33
20220102   15.46
20220114   17.29
20220126   16.31
20220207   18.58
20220219   17.60
20220303   17.99
20220315   22.16
20220327   18.09
20220408   16.64
20220420   18.50
20220502   15.71
20220514   17.71
20220526   18.62
20220607   20.91
20220619   20.93
20220701   21.26
20220713   21.89
20220725   23.72
20220806   24.30
20220818   24.53
20220830   26.93
20220911   23.64
20220923   23.60
20221005   23.94
20221029   23.03
20221110   24.82
20221122   23.11
20221204   21.19
20221216   20.61
20221228   21.29
20230109   19.36
20230121   19.93
20230202   17.41
20230226   17.20
20230310   19.90
20230322   13.89
20230403   14.70
20230415   13.22
20230427   11.38
20230509   10.27
20230521    6.71
20230602    8.93
20230614    5.40
20230626   11.24
20230708    9.55
20230720    9.55
20230801   15.31
20230813   16.76
20230825   16.36
20230906   16.73
20230918   18.95
20230930   19.81
20231012   18.46
20231024   18.46
20231105   21.15
20231117   16.07
20231129   18.53
20231211   18.66
20231223   21.32
20240104   20.54
20240116   20.33
20240209   17.81
20240221   18.83
