# x, y    : 1769, 646
# lat, lon: 36.59600, 59.16755
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.589*t+6.873
20150220    0.00
20150304    1.26
20150328    2.09
20150421   -2.71
20150515   -0.21
20150702    9.97
20150726   12.94
20150819    9.42
20151030    8.16
20151123    7.87
20151217    7.71
20160110    4.26
20160203    7.42
20160227    6.67
20160322    1.64
20160415    7.53
20160509    5.80
20160602    7.98
20160720    9.99
20160813    9.11
20160906   11.33
20160930   13.20
20161024   12.34
20161117   13.35
20161211   13.25
20170104   16.10
20170128   13.62
20170209   13.17
20170221   10.66
20170305    7.89
20170317    6.02
20170329    5.57
20170410    6.79
20170422    5.26
20170504    7.73
20170516    4.58
20170528    8.26
20170609    9.19
20170703   10.77
20170715   11.69
20170727   13.84
20170808   14.38
20170820   13.31
20170901   11.58
20170913   11.17
20170925   13.32
20171007   13.56
20171019   12.12
20171031   12.48
20171112   13.49
20171124   14.86
20171206   13.02
20171218   12.83
20171230   13.40
20180111   14.02
20180123   13.31
20180204   13.43
20180216   12.08
20180228   16.13
20180312   10.93
20180324   12.30
20180405   10.57
20180417   12.32
20180429    6.42
20180511   12.18
20180523   12.94
20180604   12.34
20180616   14.20
20180628   15.55
20180710   18.53
20180722   19.36
20180803   16.21
20180815   17.97
20180827   16.43
20180908   16.04
20181002   12.90
20181014   14.07
20181026    6.62
20181107   11.15
20181119   10.34
20181201   11.55
20181213   10.42
20181225   11.66
20190106   13.67
20190118   10.99
20190130   12.33
20190211   10.42
20190223   15.27
20190307   12.91
20190331   18.01
20190412   20.92
20190424   13.11
20190506   13.87
20190518   15.55
20190530   21.28
20190611   13.81
20190623   15.31
20190705   15.27
20190717   15.68
20190729   16.67
20190810   18.32
20190822   19.34
20190903   18.03
20190915   18.65
20190927   15.79
20191009   16.16
20191021   16.29
20191102   14.40
20191114   14.84
20191126   15.00
20191208   18.15
20191220   14.63
20200101   13.95
20200125   15.47
20200206   15.75
20200218   17.93
20200301   18.11
20200313   16.29
20200406   16.97
20200418   16.74
20200430    9.13
20200512   10.09
20200524   13.67
20200605    9.80
20200617   12.30
20200629    7.40
20200723    2.97
20200804    3.53
20200816    5.38
20200828    3.27
20200909    5.57
20200921    4.96
20201003    8.63
20201015    9.77
20201027   11.00
20201108    8.71
20201120   12.96
20201202   12.70
20201214   14.08
20210107   16.42
20210119   16.51
20210131   20.10
20210212   20.60
20210224   18.44
20210308   19.57
20210320   21.05
20210413   19.28
20210425   15.85
20210507   23.00
20210519   14.92
20210531   13.86
20210612   15.90
20210624   13.13
20210706   13.40
20210718   14.16
20210730   14.74
20210811   17.73
20210823   16.05
20210904   19.82
20210916   16.75
20210928   20.11
20211010   18.58
20211022   21.30
20211103   17.34
20211115   19.46
20211127   18.53
20211209   18.70
20211221   16.04
20220102   17.77
20220114   21.86
20220126   20.12
20220207   20.77
20220219   18.49
20220303   18.49
20220315   19.45
20220327   21.89
20220408   17.49
20220420   22.75
20220502   20.06
20220514   27.23
20220526   23.97
20220607   21.73
20220619   21.29
20220701   26.02
20220713   25.86
20220725   23.62
20220806   25.03
20220818   26.13
20220830   26.32
20220911   24.91
20220923   25.40
20221005   25.39
20221029   24.97
20221110   24.46
20221122   23.35
20221204   22.74
20221216   22.87
20221228   21.39
20230109   20.86
20230121   21.68
20230202   18.69
20230226   15.06
20230310   17.06
20230322   16.22
20230403   17.42
20230415   14.58
20230427   14.06
20230509   14.27
20230521    9.77
20230602    9.76
20230614   10.69
20230626   14.19
20230708   11.18
20230720   12.60
20230801   16.85
20230813   20.05
20230825   22.02
20230906   18.43
20230918   20.92
20230930   19.86
20231012   21.74
20231024   20.62
20231105   19.62
20231117   19.55
20231129   19.00
20231211   18.81
20231223   20.79
20240104   19.67
20240116   22.18
20240209   19.81
20240221   20.48
