# x, y    : 1714, 683
# lat, lon: 36.55900, 59.11255
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -0.357*t+2.753
20150220    0.00
20150304   -3.23
20150328   -3.34
20150421   -3.21
20150515    0.04
20150702    7.67
20150726    5.12
20150819   -1.22
20151030    5.15
20151123    2.80
20151217    1.77
20160110   -2.44
20160203    0.42
20160227   -1.53
20160322   -7.93
20160415   -6.24
20160509   -2.22
20160602    1.97
20160720    3.22
20160813    0.76
20160906    3.41
20160930    6.25
20161024    7.60
20161117    8.14
20161211    7.72
20170104    7.34
20170128    5.43
20170209    5.32
20170221    2.66
20170305    1.63
20170317    0.94
20170329    0.93
20170410    1.75
20170422    0.40
20170504    3.30
20170516   -5.81
20170528   -0.67
20170609    0.08
20170703    3.10
20170715    6.09
20170727    3.36
20170808    4.02
20170820    3.99
20170901    3.54
20170913    2.18
20170925    3.23
20171007    0.78
20171019    2.29
20171031    1.46
20171112    3.43
20171124    2.75
20171206    2.50
20171218    4.26
20171230    3.48
20180111    3.18
20180123    3.82
20180204    3.47
20180216    3.03
20180228    4.06
20180312    1.50
20180324    0.33
20180405    0.59
20180417    2.02
20180429   -2.13
20180511   -1.02
20180523    0.96
20180604    4.73
20180616    1.32
20180628    0.42
20180710    5.57
20180722    4.65
20180803    3.28
20180815    0.93
20180827    2.12
20180908    1.72
20181002   -0.38
20181014    0.63
20181026    6.03
20181107    0.36
20181119   -1.59
20181201    0.55
20181213   -0.54
20181225   -2.71
20190106   -0.26
20190118   -0.93
20190130    0.43
20190211   -0.78
20190223    2.04
20190307    1.13
20190331    6.68
20190412   13.30
20190424    1.59
20190506    6.36
20190518    6.91
20190530   -0.15
20190611    1.97
20190623   -0.21
20190705    0.14
20190717    1.34
20190729    6.25
20190810    3.99
20190822    7.99
20190903    4.74
20190915    8.51
20190927    2.65
20191009    4.04
20191021    3.43
20191102    3.60
20191114    3.59
20191126    3.58
20191208    5.88
20191220    1.84
20200101    2.37
20200125    2.46
20200206    1.68
20200218    4.07
20200301    2.31
20200313    0.97
20200406    0.84
20200418    2.16
20200430   -0.33
20200512   -2.06
20200524   -6.08
20200605   -3.16
20200617   -2.71
20200629   -3.03
20200723  -10.44
20200804   -9.63
20200816   -8.40
20200828   -9.20
20200909   -5.86
20200921   -3.72
20201003   -5.02
20201015   -3.50
20201027   -3.07
20201108   -4.34
20201120    0.02
20201202   -0.11
20201214   -0.25
20210107    0.94
20210119    1.25
20210131    0.45
20210212    0.60
20210224    4.18
20210308    3.58
20210320    4.33
20210413    3.84
20210425    3.15
20210507    8.83
20210519    2.85
20210531   -7.20
20210612    0.04
20210624   -4.58
20210706   -5.26
20210718   -3.05
20210730   -2.03
20210811    0.43
20210823    0.16
20210904    2.73
20210916   -0.56
20210928    0.30
20211010    1.62
20211022    2.73
20211103    0.24
20211115    2.73
20211127    2.20
20211209    2.08
20211221    0.03
20220102    3.41
20220114    2.13
20220126   -0.95
20220207    2.03
20220219   -1.10
20220303    0.76
20220315    2.53
20220327    2.32
20220408   -1.80
20220420    0.72
20220502    1.08
20220514    4.61
20220526    1.26
20220607    4.30
20220619    4.29
20220701    4.60
20220713    6.76
20220725    7.13
20220806    6.63
20220818    7.81
20220830    8.54
20220911    7.40
20220923    7.64
20221005    7.20
20221029    6.01
20221110    6.31
20221122    5.69
20221204    5.27
20221216    4.28
20221228    3.83
20230109    5.22
20230121    3.14
20230202    4.43
20230226   -1.80
20230310   -2.74
20230322   -6.02
20230403   -4.93
20230415   -9.40
20230427   -9.17
20230509   -9.18
20230521  -12.85
20230602  -11.58
20230614  -16.73
20230626   -9.17
20230708   -6.53
20230720  -10.24
20230801   -5.40
20230813   -3.18
20230825   -6.66
20230906   -1.71
20230918   -0.45
20230930    0.12
20231012    4.85
20231024   -0.39
20231105    2.77
20231117   -2.34
20231129   -1.27
20231211   -0.90
20231223    1.17
20240104    1.19
20240116    1.06
20240209    0.78
20240221    0.75
