# x, y    : 1813, 660
# lat, lon: 36.58200, 59.21155
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -6.321*t+0.949
20150220    0.00
20150304   -1.57
20150328   -0.98
20150421    0.10
20150515   -0.69
20150702    5.16
20150726    4.18
20150819    0.23
20151030   -0.16
20151123   -0.85
20151217   -2.49
20160110   -4.81
20160203   -4.59
20160227   -5.49
20160322  -10.66
20160415   -5.04
20160509   -5.71
20160602   -6.64
20160720   -7.05
20160813   -7.07
20160906   -4.68
20160930   -4.70
20161024   -5.52
20161117   -5.62
20161211   -6.67
20170104   -3.91
20170128   -7.74
20170209   -8.35
20170221  -12.17
20170305  -14.62
20170317  -17.31
20170329  -16.96
20170410  -19.85
20170422  -20.50
20170504  -19.37
20170516  -22.05
20170528  -18.37
20170609  -18.30
20170703  -14.42
20170715  -12.46
20170727  -10.95
20170808  -14.15
20170820  -14.99
20170901  -13.09
20170913  -16.88
20170925  -14.59
20171007  -14.59
20171019  -14.70
20171031  -16.45
20171112  -16.60
20171124  -12.51
20171206  -16.90
20171218  -18.13
20171230  -16.53
20180111  -18.38
20180123  -18.11
20180204  -17.56
20180216  -17.69
20180228  -15.72
20180312  -19.32
20180324  -19.67
20180405  -20.22
20180417  -18.13
20180429  -24.00
20180511  -19.76
20180523  -18.14
20180604  -18.51
20180616  -17.79
20180628  -18.35
20180710  -13.79
20180722  -10.57
20180803  -18.70
20180815  -19.03
20180827  -19.57
20180908  -18.53
20181002  -23.06
20181014  -23.89
20181026  -24.35
20181107  -26.13
20181119  -25.73
20181201  -25.93
20181213  -27.48
20181225  -27.32
20190106  -27.20
20190118  -27.66
20190130  -25.80
20190211  -29.28
20190223  -25.26
20190307  -26.99
20190331  -22.45
20190412  -18.83
20190424  -27.53
20190506  -24.80
20190518  -18.57
20190530  -22.61
20190611  -26.01
20190623  -27.67
20190705  -26.28
20190717  -26.57
20190729  -26.55
20190810  -22.87
20190822  -24.51
20190903  -25.48
20190915  -25.64
20190927  -26.45
20191009  -27.49
20191021  -28.06
20191102  -26.70
20191114  -28.88
20191126  -28.64
20191208  -27.99
20191220  -31.43
20200101  -30.88
20200125  -30.46
20200206  -31.19
20200218  -28.86
20200301  -30.85
20200313  -30.13
20200406  -30.70
20200418  -31.19
20200430  -39.24
20200512  -37.90
20200524  -38.11
20200605  -39.29
20200617  -39.44
20200629  -40.56
20200723  -46.37
20200804  -44.52
20200816  -44.92
20200828  -47.23
20200909  -48.94
20200921  -45.32
20201003  -42.57
20201015  -41.58
20201027  -40.19
20201108  -41.49
20201120  -38.46
20201202  -37.58
20201214  -37.57
20210107  -35.64
20210119  -36.26
20210131  -33.14
20210212  -35.79
20210224  -35.68
20210308  -34.21
20210320  -33.78
20210413  -35.05
20210425  -37.01
20210507  -31.87
20210519  -36.77
20210531  -41.80
20210612  -38.18
20210624  -43.02
20210706  -42.27
20210718  -42.29
20210730  -37.96
20210811  -37.80
20210823  -36.01
20210904  -35.24
20210916  -37.85
20210928  -37.65
20211010  -37.62
20211022  -35.05
20211103  -38.28
20211115  -37.55
20211127  -37.89
20211209  -39.54
20211221  -39.39
20220102  -35.24
20220114  -37.26
20220126  -37.72
20220207  -39.73
20220219  -41.61
20220303  -38.88
20220315  -38.53
20220327  -43.35
20220408  -43.09
20220420  -41.01
20220502  -43.70
20220514  -41.28
20220526  -40.67
20220607  -43.78
20220619  -47.45
20220701  -40.16
20220713  -42.34
20220725  -43.10
20220806  -39.88
20220818  -39.45
20220830  -37.09
20220911  -40.48
20220923  -39.58
20221005  -41.50
20221029  -43.39
20221110  -40.85
20221122  -43.81
20221204  -44.04
20221216  -45.59
20221228  -46.74
20230109  -45.32
20230121  -47.22
20230202  -50.92
20230226  -51.05
20230310  -53.45
20230322  -55.04
20230403  -53.01
20230415  -56.62
20230427  -58.11
20230509  -57.62
20230521  -60.17
20230602  -60.71
20230614  -61.91
20230626  -58.77
20230708  -58.94
20230720  -58.03
20230801  -53.58
20230813  -51.95
20230825  -53.67
20230906  -53.00
20230918  -51.82
20230930  -51.67
20231012  -53.53
20231024  -50.85
20231105  -53.04
20231117  -55.54
20231129  -56.30
20231211  -53.43
20231223  -54.14
20240104  -53.60
20240116  -54.45
20240209  -56.33
20240221  -55.85
