# x, y    : 1770, 687
# lat, lon: 36.55500, 59.16855
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.111*t+0.082
20150220    0.00
20150304   -5.33
20150328   -4.51
20150421   -7.14
20150515   -4.53
20150702    3.02
20150726    1.82
20150819   -1.76
20151030    3.15
20151123    1.74
20151217    1.45
20160110   -0.50
20160203   -0.27
20160227   -1.94
20160322   -3.84
20160415    0.94
20160509    0.00
20160602    1.32
20160720    2.59
20160813    5.26
20160906    6.69
20160930    8.16
20161024    7.99
20161117    8.46
20161211    7.44
20170104    8.51
20170128    7.01
20170209    5.80
20170221    3.67
20170305    2.64
20170317    1.20
20170329    0.83
20170410    0.73
20170422    1.40
20170504    3.66
20170516    0.84
20170528    2.33
20170609    4.43
20170703    6.50
20170715    7.02
20170727    5.93
20170808    6.82
20170820    8.06
20170901    7.96
20170913    8.47
20170925    6.66
20171007    6.70
20171019    7.01
20171031    7.96
20171112    6.97
20171124    9.23
20171206    8.06
20171218    9.42
20171230    8.55
20180111   11.19
20180123    8.76
20180204    8.62
20180216    8.23
20180228   10.95
20180312    6.08
20180324    7.06
20180405    6.04
20180417    6.34
20180429    2.67
20180511    4.90
20180523    7.21
20180604    4.06
20180616    7.86
20180628    8.74
20180710    7.21
20180722    7.78
20180803    6.02
20180815    4.08
20180827    6.57
20180908    7.68
20181002    5.45
20181014    6.86
20181026    7.67
20181107    5.78
20181119    6.42
20181201    6.04
20181213    5.86
20181225    8.41
20190106    5.77
20190118    6.38
20190130    7.26
20190211    4.40
20190223    9.58
20190307    5.95
20190331   13.19
20190412   17.31
20190424    8.24
20190506   10.97
20190518   13.42
20190530    7.86
20190611   10.96
20190623   10.22
20190705    9.19
20190717   10.79
20190729   12.20
20190810   14.33
20190822   15.41
20190903   12.79
20190915   16.27
20190927   12.96
20191009   15.11
20191021   12.90
20191102   12.71
20191114   12.66
20191126   11.60
20191208   13.11
20191220   10.77
20200101   11.83
20200125   10.58
20200206   10.68
20200218   13.23
20200301   11.41
20200313   12.10
20200406   13.08
20200418   12.35
20200430    8.54
20200512    7.16
20200524    4.87
20200605    6.89
20200617    7.72
20200629    7.50
20200723    5.61
20200804   10.19
20200816    4.43
20200828    2.07
20200909    2.81
20200921    7.96
20201003    6.88
20201015    8.68
20201027    8.15
20201108    7.54
20201120   10.55
20201202   11.97
20201214   11.83
20210107   13.11
20210119   15.03
20210131   14.98
20210212   14.40
20210224   15.93
20210308   15.71
20210320   17.43
20210413   15.18
20210425   15.13
20210507   16.39
20210519   13.14
20210531    4.59
20210612   12.75
20210624   10.92
20210706    8.58
20210718   11.88
20210730   12.95
20210811   14.83
20210823   13.11
20210904   16.10
20210916   13.40
20210928   11.14
20211010   15.14
20211022   15.76
20211103   15.11
20211115   16.54
20211127   15.85
20211209   14.96
20211221   13.17
20220102   18.06
20220114   16.58
20220126   13.95
20220207   16.55
20220219   15.07
20220303   14.36
20220315   17.60
20220327   14.40
20220408   13.42
20220420   16.69
20220502   14.11
20220514   17.40
20220526   18.99
20220607   18.46
20220619    8.66
20220701   20.20
20220713   22.26
20220725   24.51
20220806   23.77
20220818   24.01
20220830   24.61
20220911   23.28
20220923   23.21
20221005   23.68
20221029   22.24
20221110   24.56
20221122   23.91
20221204   21.82
20221216   20.94
20221228   20.32
20230109   19.58
20230121   19.12
20230202   15.00
20230226   16.68
20230310   19.13
20230322   13.58
20230403   13.75
20230415   10.10
20230427   10.70
20230509   12.32
20230521    7.72
20230602    6.97
20230614    4.60
20230626    7.98
20230708    8.12
20230720    8.51
20230801   13.78
20230813   15.62
20230825   17.41
20230906   17.78
20230918   18.70
20230930   18.76
20231012   21.06
20231024   17.42
20231105   20.12
20231117   15.22
20231129   17.95
20231211   20.90
20231223   18.48
20240104   18.45
20240116   19.40
20240209   15.99
20240221   17.34
