# x, y    : 1810, 658
# lat, lon: 36.58400, 59.20855
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -5.413*t+2.089
20150220    0.00
20150304   -0.67
20150328    0.26
20150421   -0.03
20150515   -0.26
20150702    8.34
20150726    4.80
20150819    1.00
20151030    0.88
20151123    0.25
20151217   -1.24
20160110   -3.65
20160203   -3.49
20160227   -4.00
20160322   -8.92
20160415   -3.18
20160509   -4.20
20160602   -3.32
20160720   -5.54
20160813   -4.84
20160906   -2.49
20160930   -2.60
20161024   -2.70
20161117   -2.92
20161211   -3.58
20170104   -0.34
20170128   -4.68
20170209   -5.35
20170221   -8.73
20170305  -11.31
20170317  -13.92
20170329  -13.75
20170410  -16.23
20170422  -16.86
20170504  -13.77
20170516  -18.59
20170528  -15.18
20170609  -14.60
20170703  -10.79
20170715   -8.72
20170727   -7.04
20170808  -10.66
20170820  -11.56
20170901   -9.73
20170913  -13.15
20170925  -10.63
20171007  -10.57
20171019  -10.79
20171031  -12.41
20171112  -12.64
20171124   -7.88
20171206  -12.87
20171218  -14.04
20171230  -12.47
20180111  -14.05
20180123  -13.85
20180204  -13.17
20180216  -13.63
20180228  -10.97
20180312  -15.18
20180324  -15.45
20180405  -15.96
20180417  -13.77
20180429  -20.27
20180511  -15.42
20180523  -13.82
20180604  -14.23
20180616  -13.43
20180628  -14.79
20180710  -10.29
20180722   -6.01
20180803  -13.93
20180815  -14.31
20180827  -15.38
20180908  -14.23
20181002  -18.72
20181014  -19.53
20181026  -19.37
20181107  -21.64
20181119  -21.24
20181201  -21.24
20181213  -22.71
20181225  -22.49
20190106  -22.34
20190118  -23.14
20190130  -21.05
20190211  -24.11
20190223  -20.86
20190307  -22.23
20190331  -17.48
20190412  -14.41
20190424  -22.74
20190506  -19.89
20190518  -14.99
20190530  -17.58
20190611  -20.72
20190623  -22.35
20190705  -21.46
20190717  -21.61
20190729  -21.57
20190810  -17.46
20190822  -19.70
20190903  -20.69
20190915  -20.44
20190927  -21.21
20191009  -22.78
20191021  -22.77
20191102  -21.74
20191114  -23.70
20191126  -23.27
20191208  -22.65
20191220  -25.88
20200101  -25.24
20200125  -24.87
20200206  -25.32
20200218  -23.11
20200301  -25.10
20200313  -24.16
20200406  -24.94
20200418  -25.03
20200430  -33.42
20200512  -32.08
20200524  -32.67
20200605  -33.82
20200617  -33.79
20200629  -34.84
20200723  -42.21
20200804  -37.22
20200816  -38.62
20200828  -40.70
20200909  -42.12
20200921  -38.95
20201003  -36.23
20201015  -34.85
20201027  -33.59
20201108  -35.38
20201120  -31.71
20201202  -30.96
20201214  -30.83
20210107  -28.73
20210119  -29.41
20210131  -26.68
20210212  -28.76
20210224  -28.87
20210308  -27.59
20210320  -27.11
20210413  -28.32
20210425  -30.52
20210507  -24.91
20210519  -32.06
20210531  -34.81
20210612  -31.51
20210624  -36.03
20210706  -34.92
20210718  -35.15
20210730  -31.46
20210811  -31.03
20210823  -29.83
20210904  -28.20
20210916  -31.10
20210928  -30.49
20211010  -30.44
20211022  -28.14
20211103  -31.44
20211115  -30.11
20211127  -30.52
20211209  -31.96
20211221  -32.38
20220102  -28.30
20220114  -29.86
20220126  -30.34
20220207  -32.30
20220219  -34.37
20220303  -31.48
20220315  -31.26
20220327  -35.81
20220408  -35.24
20220420  -32.89
20220502  -35.88
20220514  -34.00
20220526  -33.28
20220607  -35.99
20220619  -40.91
20220701  -31.64
20220713  -34.91
20220725  -35.16
20220806  -32.28
20220818  -31.94
20220830  -29.26
20220911  -32.95
20220923  -31.77
20221005  -33.09
20221029  -34.68
20221110  -32.80
20221122  -35.75
20221204  -36.00
20221216  -37.22
20221228  -38.47
20230109  -36.89
20230121  -38.86
20230202  -42.39
20230226  -42.70
20230310  -44.75
20230322  -46.63
20230403  -44.29
20230415  -48.43
20230427  -49.46
20230509  -48.52
20230521  -51.20
20230602  -51.18
20230614  -53.49
20230626  -50.19
20230708  -49.73
20230720  -49.59
20230801  -44.91
20230813  -43.05
20230825  -44.68
20230906  -43.73
20230918  -42.94
20230930  -42.46
20231012  -45.45
20231024  -41.67
20231105  -43.87
20231117  -46.41
20231129  -47.23
20231211  -44.34
20231223  -45.04
20240104  -44.66
20240116  -45.47
20240209  -46.76
20240221  -46.42
