# x, y    : 1790, 663
# lat, lon: 36.57900, 59.18855
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.690*t+1.126
20150220    0.00
20150304   -4.46
20150328   -2.90
20150421   -3.55
20150515   -3.75
20150702    2.02
20150726    4.31
20150819    2.37
20151030    3.91
20151123    3.21
20151217    2.46
20160110    1.28
20160203    2.72
20160227    0.17
20160322   -4.22
20160415    1.96
20160509    1.70
20160602    5.05
20160720    2.57
20160813    2.65
20160906    7.76
20160930    6.45
20161024    7.53
20161117    7.38
20161211    8.75
20170104    9.20
20170128    6.36
20170209    6.89
20170221    3.95
20170305    2.11
20170317   -1.26
20170329   -0.67
20170410   -0.78
20170422   -1.56
20170504   -2.48
20170516    1.25
20170528    0.48
20170609    1.53
20170703    3.78
20170715    4.82
20170727    7.31
20170808    8.53
20170820    7.45
20170901    9.07
20170913    5.30
20170925    7.79
20171007    8.04
20171019    7.74
20171031    8.05
20171112    7.97
20171124    9.77
20171206    7.89
20171218    8.97
20171230    8.15
20180111    7.28
20180123    7.29
20180204    8.26
20180216    7.00
20180228   10.08
20180312    5.71
20180324    6.38
20180405    7.71
20180417    7.37
20180429    0.36
20180511    8.23
20180523    8.51
20180604    7.65
20180616    7.84
20180628    9.17
20180710    8.68
20180722   16.74
20180803    8.46
20180815    7.52
20180827   10.96
20180908   10.81
20181002    7.42
20181014    7.06
20181026    2.70
20181107    6.87
20181119    5.24
20181201    5.82
20181213    5.23
20181225    4.79
20190106    5.60
20190118    6.44
20190130    6.36
20190211    3.19
20190223    7.78
20190307    6.85
20190331   11.10
20190412   16.34
20190424    7.56
20190506    9.19
20190518   12.83
20190530   16.80
20190611   10.82
20190623    9.28
20190705   10.75
20190717   10.48
20190729   13.04
20190810   13.96
20190822   14.57
20190903    9.63
20190915   15.40
20190927   13.44
20191009   11.46
20191021   11.49
20191102   11.58
20191114   10.28
20191126   10.40
20191208   11.73
20191220    9.22
20200101    9.28
20200125    9.85
20200206    9.47
20200218   11.71
20200301   12.10
20200313    9.24
20200406   10.99
20200418   11.87
20200430    4.61
20200512    7.26
20200524    5.29
20200605    6.40
20200617    5.26
20200629    4.99
20200723   -2.61
20200804   -1.57
20200816    0.83
20200828   -0.71
20200909    0.35
20200921    2.82
20201003    3.50
20201015    5.30
20201027    6.26
20201108    4.55
20201120    8.16
20201202    9.09
20201214    9.35
20210107   11.09
20210119   10.96
20210131   13.37
20210212   12.10
20210224   13.42
20210308   14.23
20210320   12.83
20210413   13.91
20210425   12.21
20210507   17.50
20210519   12.90
20210531    7.38
20210612    8.16
20210624    8.83
20210706    8.95
20210718   10.19
20210730   11.21
20210811   12.80
20210823   11.86
20210904   15.74
20210916   12.87
20210928   13.92
20211010   14.33
20211022   17.86
20211103   13.62
20211115   15.19
20211127   13.81
20211209   13.78
20211221   13.69
20220102   16.69
20220114   18.61
20220126   12.33
20220207   13.43
20220219   12.03
20220303   11.94
20220315   15.48
20220327   12.92
20220408   10.66
20220420   15.46
20220502   13.81
20220514   15.69
20220526   15.26
20220607   15.86
20220619   10.47
20220701   17.69
20220713   18.75
20220725   20.27
20220806   18.48
20220818   20.14
20220830   23.27
20220911   19.74
20220923   21.83
20221005   21.99
20221029   19.93
20221110   20.44
20221122   19.14
20221204   18.84
20221216   18.24
20221228   17.09
20230109   17.68
20230121   16.73
20230202   13.95
20230226    8.58
20230310   11.09
20230322    9.88
20230403   11.13
20230415    8.16
20230427    7.50
20230509    9.39
20230521    6.12
20230602    5.49
20230614    6.88
20230626    8.59
20230708    8.09
20230720   10.17
20230801   12.48
20230813   15.07
20230825   14.93
20230906   16.09
20230918   16.82
20230930   15.87
20231012   15.80
20231024   16.98
20231105   17.41
20231117   15.15
20231129   16.34
20231211   15.55
20231223   17.03
20240104   16.28
20240116   16.02
20240209   15.66
20240221   16.27
