# x, y    : 1716, 690
# lat, lon: 36.55200, 59.11455
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -2.720*t+4.340
20150220    0.00
20150304   -2.06
20150328   -2.90
20150421   -3.77
20150515    1.33
20150702    8.28
20150726    4.23
20150819   -0.97
20151030    3.21
20151123    1.50
20151217    0.04
20160110   -4.38
20160203   -0.59
20160227   -2.97
20160322  -10.28
20160415   -9.01
20160509   -6.90
20160602   -3.10
20160720   -0.00
20160813   -1.86
20160906    1.02
20160930    2.93
20161024    3.73
20161117    3.68
20161211    4.48
20170104    3.07
20170128    2.66
20170209    1.99
20170221    2.47
20170305   -1.14
20170317   -0.57
20170329   -2.06
20170410    0.25
20170422   -3.48
20170504   -1.99
20170516  -10.21
20170528   -3.36
20170609   -5.43
20170703   -1.41
20170715   -0.16
20170727   -0.39
20170808    0.74
20170820   -0.37
20170901   -0.82
20170913   -0.95
20170925   -0.88
20171007   -3.84
20171019   -1.98
20171031   -2.97
20171112   -2.81
20171124   -0.18
20171206   -1.20
20171218    0.65
20171230   -0.17
20180111   -1.62
20180123   -0.11
20180204    0.09
20180216   -1.49
20180228    0.86
20180312   -3.99
20180324   -4.67
20180405   -4.15
20180417   -3.90
20180429   -7.87
20180511   -5.68
20180523   -5.30
20180604   -2.66
20180616   -4.60
20180628   -4.51
20180710   -1.29
20180722   -0.55
20180803   -2.44
20180815   -3.29
20180827   -3.31
20180908   -3.71
20181002   -5.71
20181014   -5.78
20181026   -1.44
20181107   -5.01
20181119   -6.32
20181201   -5.43
20181213   -5.08
20181225   -8.65
20190106   -5.63
20190118   -7.32
20190130   -7.16
20190211   -6.94
20190223   -2.65
20190307   -4.92
20190331    0.62
20190412    4.35
20190424   -5.57
20190506   -4.04
20190518   -1.77
20190530   -7.73
20190611   -6.54
20190623   -8.39
20190705   -7.94
20190717   -7.27
20190729   -4.42
20190810   -2.83
20190822   -1.03
20190903   -2.99
20190915   -0.07
20190927   -4.14
20191009   -3.18
20191021   -4.39
20191102   -3.16
20191114   -4.11
20191126   -4.64
20191208   -1.86
20191220   -5.71
20200101   -6.32
20200125   -5.78
20200206   -6.20
20200218   -4.80
20200301   -4.74
20200313   -5.82
20200406  -10.09
20200418   -8.40
20200430  -13.86
20200512  -14.43
20200524  -16.60
20200605  -18.64
20200617  -15.35
20200629  -15.62
20200723  -24.30
20200804  -21.60
20200816  -21.47
20200828  -21.82
20200909  -19.52
20200921  -16.62
20201003  -17.30
20201015  -15.97
20201027  -14.79
20201108  -16.05
20201120  -13.50
20201202  -13.38
20201214  -13.07
20210107  -12.31
20210119  -11.62
20210131  -13.06
20210212  -10.66
20210224   -9.23
20210308   -9.67
20210320  -10.61
20210413  -10.08
20210425  -10.99
20210507   -6.71
20210519  -12.87
20210531  -19.84
20210612  -16.29
20210624  -18.05
20210706  -19.32
20210718  -17.41
20210730  -17.56
20210811  -14.89
20210823  -15.72
20210904  -13.24
20210916  -15.03
20210928  -14.83
20211010  -14.08
20211022  -13.60
20211103  -14.19
20211115  -13.44
20211127  -13.58
20211209  -13.09
20211221  -17.31
20220102  -12.58
20220114  -12.52
20220126  -14.98
20220207  -11.96
20220219  -13.79
20220303  -14.22
20220315  -10.60
20220327  -11.93
20220408  -13.76
20220420  -13.91
20220502  -14.83
20220514  -11.47
20220526  -14.77
20220607  -11.22
20220619   -6.39
20220701  -11.60
20220713  -10.08
20220725   -8.59
20220806   -9.97
20220818   -9.14
20220830   -8.41
20220911   -8.68
20220923   -8.63
20221005   -9.50
20221029  -11.65
20221110  -10.39
20221122  -12.01
20221204  -11.81
20221216  -13.20
20221228  -13.81
20230109  -13.13
20230121  -13.91
20230202  -13.67
20230226  -19.12
20230310  -21.23
20230322  -22.39
20230403  -22.48
20230415  -27.41
20230427  -27.77
20230509  -27.32
20230521  -32.68
20230602  -32.97
20230614  -35.14
20230626  -28.15
20230708  -25.63
20230720  -28.45
20230801  -24.02
20230813  -20.95
20230825  -24.45
20230906  -22.40
20230918  -19.05
20230930  -18.78
20231012  -13.60
20231024  -18.30
20231105  -16.60
20231117  -20.11
20231129  -19.45
20231211  -17.43
20231223  -14.94
20240104  -17.18
20240116  -17.08
20240209  -17.19
20240221  -17.35
