# x, y    : 1817, 662
# lat, lon: 36.58000, 59.21555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -8.277*t-0.051
20150220    0.00
20150304   -1.87
20150328   -1.25
20150421   -0.50
20150515   -0.98
20150702    1.06
20150726    3.16
20150819   -0.55
20151030   -1.97
20151123   -2.93
20151217   -4.59
20160110   -6.74
20160203   -6.61
20160227   -7.45
20160322  -12.87
20160415   -9.29
20160509   -8.07
20160602  -12.40
20160720   -9.61
20160813   -9.99
20160906   -8.23
20160930   -8.86
20161024   -9.97
20161117  -10.00
20161211  -11.51
20170104   -9.47
20170128  -12.61
20170209  -13.48
20170221  -16.96
20170305  -19.74
20170317  -21.79
20170329  -21.92
20170410  -24.93
20170422  -25.74
20170504  -26.13
20170516  -28.36
20170528  -24.23
20170609  -23.89
20170703  -20.25
20170715  -18.55
20170727  -16.86
20170808  -20.56
20170820  -20.73
20170901  -19.22
20170913  -23.24
20170925  -21.11
20171007  -21.19
20171019  -21.45
20171031  -23.49
20171112  -23.58
20171124  -19.79
20171206  -23.65
20171218  -24.72
20171230  -23.29
20180111  -25.31
20180123  -25.15
20180204  -24.65
20180216  -24.90
20180228  -22.87
20180312  -26.75
20180324  -26.47
20180405  -27.12
20180417  -25.55
20180429  -30.72
20180511  -26.61
20180523  -25.41
20180604  -25.47
20180616  -24.84
20180628  -24.98
20180710  -21.16
20180722  -18.05
20180803  -26.97
20180815  -26.97
20180827  -26.97
20180908  -26.30
20181002  -31.05
20181014  -31.72
20181026  -32.55
20181107  -34.66
20181119  -34.09
20181201  -34.58
20181213  -36.20
20181225  -36.02
20190106  -36.30
20190118  -36.59
20190130  -34.50
20190211  -38.07
20190223  -33.62
20190307  -35.95
20190331  -31.65
20190412  -27.89
20190424  -36.90
20190506  -34.56
20190518  -27.14
20190530  -32.31
20190611  -36.03
20190623  -37.92
20190705  -36.17
20190717  -36.49
20190729  -36.20
20190810  -33.66
20190822  -34.33
20190903  -35.34
20190915  -36.24
20190927  -37.19
20191009  -37.25
20191021  -38.98
20191102  -37.23
20191114  -39.71
20191126  -39.64
20191208  -39.27
20191220  -42.25
20200101  -42.00
20200125  -41.33
20200206  -42.22
20200218  -39.77
20200301  -41.54
20200313  -41.38
20200406  -42.01
20200418  -42.23
20200430  -50.34
20200512  -47.83
20200524  -49.42
20200605  -50.51
20200617  -50.52
20200629  -52.11
20200723  -55.74
20200804  -58.03
20200816  -56.92
20200828  -59.34
20200909  -61.34
20200921  -57.30
20201003  -55.03
20201015  -54.13
20201027  -52.91
20201108  -53.66
20201120  -51.22
20201202  -50.22
20201214  -50.42
20210107  -48.49
20210119  -48.94
20210131  -45.26
20210212  -48.51
20210224  -48.36
20210308  -46.94
20210320  -46.37
20210413  -48.14
20210425  -49.57
20210507  -45.03
20210519  -48.53
20210531  -55.18
20210612  -50.91
20210624  -56.10
20210706  -56.19
20210718  -55.79
20210730  -50.86
20210811  -51.01
20210823  -49.05
20210904  -48.88
20210916  -51.29
20210928  -51.20
20211010  -51.33
20211022  -48.53
20211103  -52.18
20211115  -51.85
20211127  -52.09
20211209  -53.55
20211221  -53.73
20220102  -49.57
20220114  -51.41
20220126  -51.85
20220207  -53.86
20220219  -55.80
20220303  -53.12
20220315  -52.65
20220327  -57.85
20220408  -58.10
20220420  -56.03
20220502  -57.90
20220514  -55.75
20220526  -55.88
20220607  -58.89
20220619  -61.15
20220701  -55.95
20220713  -57.33
20220725  -58.42
20220806  -54.95
20220818  -54.90
20220830  -52.73
20220911  -55.84
20220923  -55.49
20221005  -57.33
20221029  -59.80
20221110  -56.81
20221122  -59.64
20221204  -60.14
20221216  -61.91
20221228  -62.89
20230109  -62.00
20230121  -63.55
20230202  -67.67
20230226  -67.33
20230310  -69.66
20230322  -71.61
20230403  -69.49
20230415  -72.86
20230427  -74.54
20230509  -74.62
20230521  -77.42
20230602  -78.69
20230614  -78.72
20230626  -75.30
20230708  -76.62
20230720  -75.10
20230801  -70.77
20230813  -69.88
20230825  -71.47
20230906  -71.11
20230918  -69.76
20230930  -70.16
20231012  -70.37
20231024  -69.39
20231105  -71.72
20231117  -74.14
20231129  -75.18
20231211  -72.06
20231223  -73.00
20240104  -72.44
20240116  -73.37
20240209  -75.60
20240221  -74.77
