# x, y    : 1757, 686
# lat, lon: 36.55600, 59.15555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.535*t-0.084
20150220    0.00
20150304   -4.40
20150328   -2.99
20150421   -6.61
20150515   -4.38
20150702    4.55
20150726    3.12
20150819   -2.94
20151030    3.64
20151123    1.57
20151217    1.73
20160110   -0.04
20160203    0.85
20160227   -0.36
20160322   -2.20
20160415    0.96
20160509   -0.13
20160602    2.04
20160720    1.19
20160813    5.85
20160906    7.13
20160930    8.56
20161024    8.77
20161117    9.02
20161211    7.39
20170104    9.24
20170128    7.15
20170209    6.75
20170221    4.99
20170305    2.94
20170317    1.81
20170329    2.38
20170410    3.31
20170422    2.59
20170504    7.75
20170516   -2.03
20170528    4.04
20170609    4.42
20170703    7.47
20170715    7.92
20170727    6.30
20170808    7.19
20170820    8.91
20170901    8.89
20170913    8.06
20170925    7.23
20171007    7.80
20171019    7.91
20171031    8.48
20171112    7.48
20171124    7.83
20171206    7.79
20171218    8.22
20171230    9.30
20180111    9.75
20180123    8.94
20180204    9.96
20180216    9.36
20180228   11.53
20180312    6.60
20180324    7.80
20180405    7.08
20180417    7.83
20180429    4.08
20180511    7.15
20180523    8.21
20180604    6.46
20180616    8.73
20180628    6.54
20180710    8.30
20180722    9.48
20180803    6.43
20180815    3.89
20180827    8.39
20180908    7.99
20181002    6.27
20181014    7.45
20181026   11.47
20181107    6.71
20181119    7.60
20181201    7.42
20181213    7.17
20181225    8.78
20190106    6.34
20190118    7.34
20190130    8.81
20190211    7.21
20190223    9.86
20190307    8.59
20190331   14.88
20190412   20.74
20190424   11.70
20190506   16.05
20190518   15.68
20190530    7.94
20190611   11.58
20190623   12.37
20190705   11.05
20190717   12.03
20190729   13.53
20190810   15.64
20190822   15.01
20190903   14.42
20190915   17.07
20190927   14.27
20191009   15.93
20191021   13.89
20191102   14.70
20191114   14.41
20191126   13.02
20191208   13.90
20191220   12.48
20200101   13.57
20200125   12.99
20200206   14.01
20200218   16.06
20200301   13.78
20200313   15.59
20200406   15.54
20200418   14.56
20200430   11.93
20200512   12.00
20200524   11.15
20200605    8.26
20200617   11.00
20200629    9.19
20200723    8.73
20200804    3.93
20200816    7.07
20200828    4.86
20200909    5.48
20200921    9.55
20201003    9.02
20201015   11.19
20201027   10.84
20201108   10.49
20201120   12.81
20201202   13.79
20201214   14.28
20210107   15.94
20210119   16.31
20210131   18.93
20210212   18.76
20210224   18.87
20210308   19.21
20210320   19.25
20210413   16.78
20210425   17.45
20210507   19.11
20210519   15.28
20210531    6.75
20210612   15.58
20210624   12.20
20210706   10.91
20210718   14.39
20210730   13.67
20210811   16.26
20210823   14.18
20210904   17.51
20210916   15.56
20210928   12.81
20211010   17.46
20211022   16.90
20211103   17.23
20211115   18.67
20211127   18.35
20211209   17.78
20211221   14.21
20220102   18.32
20220114   18.97
20220126   17.98
20220207   20.78
20220219   19.56
20220303   20.82
20220315   24.09
20220327   18.16
20220408   19.30
20220420   20.33
20220502   18.41
20220514   21.15
20220526   22.74
20220607   22.18
20220619   18.83
20220701   23.33
20220713   24.48
20220725   26.28
20220806   27.45
20220818   26.99
20220830   28.43
20220911   25.63
20220923   25.98
20221005   27.19
20221029   25.96
20221110   27.61
20221122   26.38
20221204   24.46
20221216   23.58
20221228   23.64
20230109   21.75
20230121   22.59
20230202   20.18
20230226   20.36
20230310   20.36
20230322   16.87
20230403   17.35
20230415   14.45
20230427   14.35
20230509   12.88
20230521    9.18
20230602   10.24
20230614    8.36
20230626   11.63
20230708   11.87
20230720   11.27
20230801   17.77
20230813   18.34
20230825   19.33
20230906   20.08
20230918   21.79
20230930   22.19
20231012   21.20
20231024   21.37
20231105   23.71
20231117   17.84
20231129   20.71
20231211   23.68
20231223   23.63
20240104   22.84
20240116   23.30
20240209   19.26
20240221   21.86
