# x, y    : 1747, 669
# lat, lon: 36.57300, 59.14555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.054*t+2.410
20150220    0.00
20150304   -0.08
20150328   -0.50
20150421   -3.11
20150515   -2.54
20150702    2.62
20150726    6.25
20150819    6.38
20151030    6.45
20151123    5.10
20151217    5.18
20160110    1.41
20160203    3.51
20160227    4.62
20160322   -0.41
20160415    3.30
20160509    2.73
20160602   -0.93
20160720    4.62
20160813    6.57
20160906    8.80
20160930    8.70
20161024   10.12
20161117   10.15
20161211    8.20
20170104   10.79
20170128    7.74
20170209    7.11
20170221    5.69
20170305    3.38
20170317    0.59
20170329    4.48
20170410    4.38
20170422    3.41
20170504    3.43
20170516   -1.73
20170528    5.62
20170609    5.44
20170703    8.18
20170715    8.56
20170727   10.99
20170808    9.64
20170820    9.92
20170901   11.14
20170913    8.32
20170925    8.90
20171007    9.41
20171019    8.78
20171031    9.07
20171112    8.45
20171124    9.44
20171206    8.91
20171218    8.59
20171230    9.88
20180111   11.64
20180123   10.12
20180204   10.68
20180216   10.11
20180228   11.61
20180312    6.29
20180324    5.25
20180405    8.37
20180417    7.69
20180429    3.65
20180511    5.31
20180523    8.44
20180604   10.84
20180616    8.97
20180628   10.35
20180710   12.06
20180722   12.82
20180803    8.01
20180815    6.35
20180827    7.41
20180908    8.24
20181002    7.91
20181014    9.47
20181026    9.97
20181107    6.66
20181119    6.20
20181201    8.04
20181213    7.34
20181225    9.46
20190106    6.22
20190118    6.94
20190130    9.18
20190211    8.12
20190223   12.12
20190307   12.04
20190331   16.70
20190412   21.50
20190424   12.00
20190506   14.56
20190518   15.25
20190530   15.81
20190611   12.75
20190623   11.72
20190705   12.02
20190717   12.71
20190729   17.12
20190810   16.67
20190822   16.49
20190903   15.21
20190915   19.51
20190927   15.28
20191009   15.88
20191021   15.34
20191102   14.79
20191114   14.19
20191126   13.98
20191208   12.57
20191220   12.76
20200101   13.91
20200125   13.86
20200206   13.60
20200218   15.55
20200301   13.65
20200313   15.02
20200406   15.76
20200418   14.40
20200430   13.60
20200512   11.76
20200524   11.16
20200605   10.85
20200617   10.81
20200629    9.15
20200723   -1.56
20200804    3.93
20200816    5.33
20200828    4.25
20200909    4.72
20200921    9.90
20201003    9.44
20201015   10.21
20201027   12.17
20201108    9.00
20201120   13.55
20201202   13.74
20201214   14.62
20210107   16.39
20210119   16.95
20210131   17.97
20210212   20.04
20210224   18.46
20210308   18.08
20210320   16.70
20210413   19.46
20210425   16.34
20210507   22.85
20210519   16.73
20210531    8.32
20210612   13.09
20210624   12.55
20210706   11.62
20210718   13.65
20210730   11.48
20210811   15.49
20210823   13.72
20210904   18.14
20210916   15.67
20210928   13.44
20211010   17.06
20211022   16.43
20211103   17.31
20211115   17.31
20211127   17.33
20211209   16.94
20211221   16.39
20220102   16.01
20220114   20.84
20220126   17.14
20220207   17.84
20220219   17.56
20220303   18.29
20220315   19.30
20220327   19.58
20220408   14.70
20220420   19.63
20220502   17.67
20220514   17.19
20220526   22.18
20220607   21.98
20220619   21.44
20220701   22.32
20220713   22.14
20220725   25.56
20220806   25.53
20220818   26.69
20220830   27.39
20220911   24.57
20220923   25.24
20221005   23.70
20221029   23.82
20221110   25.83
20221122   23.14
20221204   21.76
20221216   22.20
20221228   21.73
20230109   21.70
20230121   20.61
20230202   19.13
20230226   17.92
20230310   23.39
20230322   14.16
20230403   14.35
20230415   13.77
20230427   11.67
20230509   11.47
20230521    8.51
20230602    6.80
20230614    7.78
20230626   12.09
20230708   11.33
20230720   10.32
20230801   14.78
20230813   17.68
20230825   16.29
20230906   19.14
20230918   19.67
20230930   19.99
20231012   22.68
20231024   20.44
20231105   20.98
20231117   16.99
20231129   19.07
20231211   19.11
20231223   20.98
20240104   20.16
20240116   20.45
20240209   19.71
20240221   19.38
