# x, y    : 1767, 638
# lat, lon: 36.60400, 59.16555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -0.720*t+6.056
20150220    0.00
20150304    0.11
20150328    1.74
20150421   -2.24
20150515   -1.15
20150702    6.90
20150726   11.28
20150819    7.13
20151030    6.60
20151123    5.98
20151217    4.41
20160110    1.59
20160203    3.56
20160227    2.79
20160322   -1.40
20160415    5.32
20160509    1.18
20160602    3.54
20160720    4.46
20160813    3.81
20160906    5.01
20160930    8.07
20161024    7.36
20161117    8.48
20161211    8.21
20170104   10.98
20170128    8.60
20170209    6.67
20170221    2.90
20170305    2.69
20170317    1.75
20170329    1.12
20170410    0.37
20170422   -1.41
20170504    1.82
20170516   -3.48
20170528    3.34
20170609    1.86
20170703    4.18
20170715    4.93
20170727    6.60
20170808    6.20
20170820    5.10
20170901    4.42
20170913    4.74
20170925    5.80
20171007    6.36
20171019    5.27
20171031    5.43
20171112    6.86
20171124    4.14
20171206    5.61
20171218    6.60
20171230    6.20
20180111    6.36
20180123    5.70
20180204    6.18
20180216    5.25
20180228    9.10
20180312    4.29
20180324    4.09
20180405    3.16
20180417    4.72
20180429   -1.91
20180511    4.56
20180523    4.61
20180604    4.91
20180616    6.04
20180628    6.62
20180710   15.57
20180722   10.68
20180803    7.31
20180815    8.42
20180827    7.44
20180908    7.44
20181002    4.12
20181014    4.02
20181026    4.41
20181107    1.46
20181119    2.48
20181201    2.35
20181213    1.72
20181225    1.37
20190106    3.90
20190118    0.86
20190130    2.74
20190211    0.74
20190223    4.70
20190307    2.37
20190331    6.80
20190412    9.96
20190424    1.55
20190506    3.52
20190518    6.08
20190530    5.13
20190611    3.48
20190623    4.35
20190705    5.14
20190717    5.33
20190729    3.75
20190810    6.40
20190822    9.14
20190903    7.76
20190915    7.72
20190927    6.32
20191009    6.14
20191021    5.40
20191102    2.45
20191114    4.87
20191126    4.12
20191208    7.36
20191220    3.70
20200101    3.32
20200125    3.21
20200206    3.61
20200218    5.28
20200301    5.77
20200313    4.18
20200406    3.02
20200418    3.04
20200430   -4.45
20200512   -2.20
20200524   -3.16
20200605   -3.42
20200617   -1.63
20200629   -5.26
20200723   -6.64
20200804   -9.00
20200816   -6.63
20200828   -8.55
20200909   -7.27
20200921   -8.46
20201003   -5.05
20201015   -3.73
20201027   -2.63
20201108   -3.72
20201120   -0.50
20201202   -0.70
20201214    0.31
20210107    1.70
20210119    1.91
20210131    3.42
20210212    3.48
20210224    3.52
20210308    4.67
20210320    5.24
20210413    4.43
20210425    0.51
20210507    4.70
20210519    2.18
20210531    0.59
20210612   -0.16
20210624   -2.75
20210706   -2.31
20210718   -2.06
20210730   -0.49
20210811    1.65
20210823   -0.51
20210904    4.68
20210916    1.49
20210928    4.65
20211010    2.60
20211022    5.01
20211103    1.62
20211115    2.36
20211127    2.91
20211209    1.97
20211221   -3.25
20220102    2.32
20220114    4.97
20220126    3.84
20220207    3.96
20220219    0.34
20220303    3.91
20220315    3.29
20220327    2.47
20220408    0.16
20220420    3.94
20220502    2.02
20220514    4.37
20220526    3.35
20220607    2.91
20220619    2.29
20220701    8.24
20220713    5.63
20220725    4.01
20220806    7.17
20220818    7.70
20220830    8.57
20220911    7.47
20220923    7.29
20221005    8.00
20221029    6.14
20221110    6.03
20221122    5.59
20221204    3.86
20221216    3.62
20221228    2.85
20230109    3.10
20230121    2.92
20230202   -0.29
20230226   -3.63
20230310   -2.58
20230322   -1.65
20230403   -2.66
20230415   -5.38
20230427   -5.54
20230509   -5.45
20230521   -8.85
20230602   -7.13
20230614   -8.89
20230626   -6.44
20230708   -8.85
20230720   -8.53
20230801   -2.90
20230813   -0.62
20230825    0.29
20230906   -1.76
20230918    0.04
20230930   -0.41
20231012   -0.36
20231024   -0.65
20231105   -0.88
20231117   -2.16
20231129   -2.42
20231211   -3.25
20231223   -2.20
20240104    0.18
20240116    1.13
20240209   -0.91
20240221   -0.43
