# x, y    : 1794, 673
# lat, lon: 36.56900, 59.19255
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.311*t+0.888
20150220    0.00
20150304   -5.80
20150328   -5.79
20150421   -1.93
20150515   -3.85
20150702    0.34
20150726    4.22
20150819    1.35
20151030    4.65
20151123    3.93
20151217    2.66
20160110    0.64
20160203    1.75
20160227    0.09
20160322   -3.26
20160415    2.95
20160509    3.47
20160602    4.84
20160720    5.36
20160813    4.92
20160906    8.36
20160930    8.54
20161024    8.52
20161117    8.58
20161211    7.63
20170104    9.36
20170128    7.61
20170209    7.58
20170221    5.12
20170305    3.49
20170317   -0.30
20170329    1.38
20170410    1.02
20170422    0.29
20170504   -0.75
20170516   -2.24
20170528    2.98
20170609    4.99
20170703    5.79
20170715    7.85
20170727    7.74
20170808    9.56
20170820   10.30
20170901    9.68
20170913    7.13
20170925    8.98
20171007    9.39
20171019    8.84
20171031    8.85
20171112    9.98
20171124   10.12
20171206   10.01
20171218   10.48
20171230    9.76
20180111   10.46
20180123    9.25
20180204    9.37
20180216    8.92
20180228   12.75
20180312    7.00
20180324    7.76
20180405    8.92
20180417    9.19
20180429    3.05
20180511    9.22
20180523    9.47
20180604    9.88
20180616   10.82
20180628   11.95
20180710    9.38
20180722   16.25
20180803    8.80
20180815    9.26
20180827   12.25
20180908   11.37
20181002    9.09
20181014    9.58
20181026    4.71
20181107    8.44
20181119    7.35
20181201    7.51
20181213    6.72
20181225    7.50
20190106    6.95
20190118    7.44
20190130    8.55
20190211    6.23
20190223    9.46
20190307    7.37
20190331   13.71
20190412   18.32
20190424   10.29
20190506   11.57
20190518   15.86
20190530   17.72
20190611   12.99
20190623   11.42
20190705   12.95
20190717   11.19
20190729   15.80
20190810   15.45
20190822   18.26
20190903   13.39
20190915   18.63
20190927   15.99
20191009   15.27
20191021   14.21
20191102   13.88
20191114   13.18
20191126   13.19
20191208   15.24
20191220   12.42
20200101   12.41
20200125   12.80
20200206   11.94
20200218   14.17
20200301   14.04
20200313   12.40
20200406   13.51
20200418   14.34
20200430    9.43
20200512   10.08
20200524    8.01
20200605    9.97
20200617    6.97
20200629    8.10
20200723    2.70
20200804    4.55
20200816    4.69
20200828    3.23
20200909    8.57
20200921    7.41
20201003    7.59
20201015    9.22
20201027    9.89
20201108    8.87
20201120   12.23
20201202   13.20
20201214   12.86
20210107   14.89
20210119   14.69
20210131   15.44
20210212   16.27
20210224   17.72
20210308   17.56
20210320   17.18
20210413   18.00
20210425   15.86
20210507   22.36
20210519   16.35
20210531    8.54
20210612    9.83
20210624   12.89
20210706   11.68
20210718   14.02
20210730   15.52
20210811   16.53
20210823   16.28
20210904   21.29
20210916   16.70
20210928   17.54
20211010   18.04
20211022   19.72
20211103   17.02
20211115   18.66
20211127   18.10
20211209   17.73
20211221   18.71
20220102   21.47
20220114   21.03
20220126   14.64
20220207   17.30
20220219   15.94
20220303   14.30
20220315   21.15
20220327   15.68
20220408   15.99
20220420   18.49
20220502   15.23
20220514   16.96
20220526   19.11
20220607   19.61
20220619   15.18
20220701   22.54
20220713   23.87
20220725   27.14
20220806   23.50
20220818   24.41
20220830   27.23
20220911   24.07
20220923   26.45
20221005   26.19
20221029   23.12
20221110   24.96
20221122   24.68
20221204   23.67
20221216   22.88
20221228   21.50
20230109   21.31
20230121   20.70
20230202   19.29
20230226   13.26
20230310   14.39
20230322   15.00
20230403   15.50
20230415   12.73
20230427   11.59
20230509   13.48
20230521   11.09
20230602   10.84
20230614   12.63
20230626   14.04
20230708   12.51
20230720   13.36
20230801   17.79
20230813   18.74
20230825   20.14
20230906   20.80
20230918   21.92
20230930   21.10
20231012   22.35
20231024   22.47
20231105   22.62
20231117   21.79
20231129   21.01
20231211   21.70
20231223   22.51
20240104   22.06
20240116   22.16
20240209   20.36
20240221   21.73
