# x, y    : 1806, 670
# lat, lon: 36.57200, 59.20455
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.395*t+3.032
20150220    0.00
20150304   -3.17
20150328   -3.00
20150421    0.67
20150515   -1.91
20150702    1.99
20150726    6.65
20150819    4.03
20151030    5.80
20151123    5.42
20151217    4.29
20160110    2.85
20160203    3.34
20160227    1.90
20160322   -2.60
20160415    0.76
20160509    4.24
20160602    7.26
20160720    7.16
20160813    7.94
20160906    8.99
20160930    9.86
20161024    9.55
20161117   10.18
20161211    7.87
20170104   10.21
20170128    8.73
20170209    8.33
20170221    6.18
20170305    3.80
20170317    0.51
20170329    1.18
20170410   -0.29
20170422   -0.71
20170504   -1.92
20170516    1.94
20170528    1.68
20170609    3.42
20170703    6.08
20170715    8.38
20170727    9.31
20170808    9.06
20170820    9.04
20170901    9.98
20170913    6.47
20170925    8.90
20171007    9.35
20171019    8.74
20171031    9.01
20171112    8.48
20171124   10.16
20171206    8.80
20171218    9.17
20171230    9.16
20180111    7.14
20180123    7.91
20180204    8.81
20180216    8.83
20180228   11.38
20180312    6.59
20180324    7.03
20180405    7.67
20180417    9.07
20180429    1.63
20180511    9.59
20180523    8.68
20180604    9.22
20180616   11.06
20180628   11.89
20180710   11.49
20180722   16.12
20180803    9.25
20180815    8.69
20180827   12.06
20180908   11.15
20181002    7.95
20181014    7.99
20181026    5.20
20181107    6.77
20181119    6.42
20181201    6.50
20181213    5.46
20181225    5.94
20190106    6.21
20190118    5.62
20190130    6.94
20190211    3.94
20190223    8.74
20190307    5.95
20190331   11.63
20190412   16.11
20190424    8.68
20190506    9.16
20190518   15.92
20190530   17.83
20190611    9.93
20190623   10.09
20190705   11.34
20190717   10.03
20190729   12.38
20190810   13.20
20190822   13.75
20190903   11.32
20190915   15.78
20190927   12.91
20191009   11.96
20191021   11.62
20191102   12.43
20191114   11.23
20191126   10.88
20191208   12.88
20191220    9.62
20200101    9.46
20200125   10.90
20200206    9.30
20200218   11.84
20200301   11.77
20200313   10.85
20200406   10.88
20200418   11.93
20200430    5.07
20200512    5.08
20200524    4.04
20200605    6.93
20200617    4.82
20200629    5.46
20200723   -2.54
20200804   -5.63
20200816    0.22
20200828   -0.05
20200909    2.09
20200921    2.61
20201003    4.19
20201015    5.45
20201027    6.35
20201108    5.31
20201120    8.61
20201202    9.88
20201214    9.25
20210107   11.49
20210119   10.78
20210131   13.43
20210212   12.28
20210224   13.55
20210308   14.37
20210320   14.01
20210413   13.72
20210425   12.07
20210507   18.93
20210519   13.61
20210531    7.19
20210612    8.35
20210624    8.22
20210706    7.69
20210718    9.28
20210730   13.28
20210811   13.28
20210823   13.06
20210904   17.59
20210916   13.79
20210928   14.35
20211010   13.93
20211022   16.87
20211103   14.38
20211115   14.23
20211127   14.00
20211209   13.65
20211221   12.91
20220102   18.35
20220114   16.88
20220126   13.01
20220207   13.28
20220219   11.16
20220303   13.70
20220315   15.62
20220327   12.15
20220408   10.65
20220420   14.39
20220502   11.10
20220514   15.22
20220526   15.89
20220607   14.58
20220619   10.61
20220701   16.83
20220713   17.72
20220725   20.19
20220806   19.01
20220818   19.46
20220830   21.98
20220911   19.33
20220923   21.68
20221005   19.66
20221029   18.18
20221110   20.21
20221122   19.33
20221204   18.97
20221216   17.53
20221228   16.18
20230109   16.49
20230121   15.69
20230202   14.30
20230226    9.88
20230310    8.40
20230322    9.72
20230403   11.47
20230415    8.27
20230427    6.90
20230509    7.81
20230521    5.64
20230602    4.37
20230614    5.30
20230626    7.75
20230708    6.42
20230720    9.24
20230801   13.00
20230813   14.58
20230825   14.16
20230906   15.37
20230918   16.33
20230930   16.05
20231012   17.66
20231024   18.16
20231105   16.72
20231117   14.47
20231129   15.23
20231211   15.79
20231223   16.29
20240104   17.26
20240116   17.13
20240209   15.06
20240221   15.87
