# x, y    : 1782, 639
# lat, lon: 36.60300, 59.18055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -5.309*t+8.034
20150220    0.00
20150304    0.30
20150328    0.02
20150421   -1.37
20150515    0.07
20150702    9.74
20150726   10.07
20150819    8.13
20151030    6.72
20151123    5.13
20151217    3.13
20160110    0.46
20160203    2.12
20160227    0.84
20160322   -4.87
20160415   -1.19
20160509   -3.00
20160602   -0.17
20160720   -0.36
20160813   -1.29
20160906    0.19
20160930    3.87
20161024    2.36
20161117    2.06
20161211    2.72
20170104    5.33
20170128    3.49
20170209    0.64
20170221   -2.00
20170305   -4.79
20170317   -6.10
20170329   -6.64
20170410   -8.53
20170422  -10.11
20170504   -9.21
20170516  -16.46
20170528  -11.66
20170609   -9.97
20170703   -5.25
20170715   -4.64
20170727   -4.60
20170808   -4.12
20170820   -3.70
20170901   -5.04
20170913   -5.58
20170925   -3.97
20171007   -3.16
20171019   -4.21
20171031   -4.89
20171112   -6.29
20171124   -3.36
20171206   -5.27
20171218   -4.06
20171230   -4.61
20180111   -6.13
20180123   -5.38
20180204   -4.48
20180216   -5.70
20180228   -1.83
20180312   -9.86
20180324   -6.63
20180405   -8.61
20180417   -7.54
20180429  -12.45
20180511   -8.48
20180523   -7.20
20180604   -3.67
20180616   -5.52
20180628   -5.65
20180710   -1.70
20180722    1.59
20180803   -3.88
20180815   -4.56
20180827   -7.17
20180908   -5.28
20181002   -8.49
20181014   -8.54
20181026   -9.30
20181107  -11.14
20181119  -10.81
20181201  -11.40
20181213  -11.82
20181225  -11.19
20190106  -12.07
20190118  -13.73
20190130  -13.20
20190211  -14.05
20190223  -10.37
20190307  -12.48
20190331   -8.63
20190412   -6.38
20190424  -14.11
20190506  -11.39
20190518   -9.54
20190530  -13.78
20190611  -14.22
20190623  -14.41
20190705  -13.85
20190717  -13.72
20190729  -11.99
20190810  -12.08
20190822   -9.65
20190903  -12.71
20190915  -11.69
20190927  -13.57
20191009  -13.99
20191021  -13.98
20191102  -17.10
20191114  -15.96
20191126  -14.83
20191208  -13.36
20191220  -17.23
20200101  -16.66
20200125  -17.03
20200206  -17.42
20200218  -15.50
20200301  -15.74
20200313  -17.06
20200406  -17.68
20200418  -18.79
20200430  -26.86
20200512  -22.90
20200524  -24.28
20200605  -27.90
20200617  -26.30
20200629  -29.84
20200723  -33.58
20200804  -35.31
20200816  -32.65
20200828  -34.57
20200909  -33.88
20200921  -33.54
20201003  -29.91
20201015  -29.22
20201027  -27.49
20201108  -29.01
20201120  -25.39
20201202  -25.52
20201214  -24.66
20210107  -23.41
20210119  -23.59
20210131  -24.78
20210212  -21.76
20210224  -23.29
20210308  -21.28
20210320  -21.06
20210413  -22.30
20210425  -24.55
20210507  -19.28
20210519  -25.93
20210531  -27.44
20210612  -26.93
20210624  -30.19
20210706  -30.28
20210718  -29.34
20210730  -27.92
20210811  -26.47
20210823  -28.10
20210904  -23.76
20210916  -26.30
20210928  -24.21
20211010  -25.58
20211022  -22.96
20211103  -27.30
20211115  -25.29
20211127  -25.71
20211209  -26.16
20211221  -29.75
20220102  -24.34
20220114  -25.16
20220126  -26.10
20220207  -27.80
20220219  -29.44
20220303  -26.53
20220315  -26.86
20220327  -29.50
20220408  -32.01
20220420  -27.74
20220502  -29.29
20220514  -25.98
20220526  -26.12
20220607  -28.15
20220619  -33.42
20220701  -26.10
20220713  -27.61
20220725  -28.20
20220806  -26.15
20220818  -25.58
20220830  -25.35
20220911  -26.32
20220923  -26.38
20221005  -24.92
20221029  -26.81
20221110  -26.91
20221122  -29.13
20221204  -29.61
20221216  -30.24
20221228  -31.05
20230109  -31.69
20230121  -31.40
20230202  -33.06
20230226  -36.77
20230310  -38.38
20230322  -35.77
20230403  -39.98
20230415  -40.94
20230427  -44.31
20230509  -42.36
20230521  -44.90
20230602  -48.83
20230614  -45.75
20230626  -41.37
20230708  -44.09
20230720  -44.03
20230801  -38.84
20230813  -36.96
20230825  -36.22
20230906  -37.72
20230918  -36.18
20230930  -36.26
20231012  -35.41
20231024  -37.42
20231105  -36.96
20231117  -39.75
20231129  -39.64
20231211  -39.67
20231223  -39.74
20240104  -38.48
20240116  -36.78
20240209  -39.21
20240221  -38.87
