# x, y    : 1792, 645
# lat, lon: 36.59700, 59.19055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -1.580*t+7.259
20150220    0.00
20150304    1.95
20150328    3.41
20150421    0.60
20150515    3.08
20150702    7.04
20150726   10.68
20150819   12.93
20151030    9.11
20151123    7.63
20151217    6.23
20160110    5.11
20160203    5.62
20160227    2.82
20160322   -0.98
20160415    3.36
20160509    2.84
20160602    5.09
20160720    5.50
20160813    5.14
20160906    6.96
20160930    9.35
20161024    8.22
20161117    7.56
20161211    9.88
20170104   11.66
20170128    8.90
20170209    6.29
20170221    4.23
20170305    1.59
20170317    0.07
20170329   -0.18
20170410   -1.63
20170422   -2.90
20170504   -1.55
20170516  -12.01
20170528   -4.70
20170609   -2.76
20170703    2.86
20170715    4.48
20170727    4.70
20170808    3.76
20170820    4.83
20170901    3.48
20170913    3.00
20170925    4.67
20171007    5.45
20171019    4.03
20171031    3.99
20171112    0.47
20171124    8.38
20171206    3.35
20171218    4.27
20171230    4.07
20180111    2.25
20180123    3.43
20180204    4.29
20180216    2.85
20180228    7.48
20180312   -0.26
20180324    2.31
20180405    1.07
20180417    3.93
20180429   -2.80
20180511    1.30
20180523    4.64
20180604    6.96
20180616    6.30
20180628    6.39
20180710    8.01
20180722   14.99
20180803    6.97
20180815    6.52
20180827    3.42
20180908    5.83
20181002    2.21
20181014    0.59
20181026   -0.34
20181107    0.49
20181119   -0.45
20181201   -0.10
20181213   -0.26
20181225    0.07
20190106    1.37
20190118   -1.28
20190130    0.12
20190211   -1.74
20190223    1.28
20190307    0.29
20190331    5.17
20190412    7.57
20190424    0.47
20190506    2.79
20190518    3.37
20190530    4.20
20190611    2.90
20190623    2.42
20190705    2.26
20190717    3.05
20190729    5.40
20190810    5.79
20190822    5.53
20190903    3.01
20190915    4.54
20190927    2.61
20191009    3.69
20191021    2.75
20191102    0.13
20191114    0.72
20191126    2.13
20191208    2.54
20191220   -0.66
20200101   -0.09
20200125    0.60
20200206    0.79
20200218    2.28
20200301    1.41
20200313    0.68
20200406    1.29
20200418    1.30
20200430   -6.92
20200512   -2.84
20200524   -2.75
20200605   -7.91
20200617   -6.61
20200629   -8.33
20200723  -17.61
20200804  -10.48
20200816  -12.82
20200828  -13.94
20200909  -14.49
20200921  -13.92
20201003  -10.35
20201015   -8.82
20201027   -7.24
20201108   -8.20
20201120   -4.97
20201202   -4.55
20201214   -3.61
20210107   -1.43
20210119   -2.24
20210131   -1.57
20210212   -1.22
20210224   -1.16
20210308    0.14
20210320    1.04
20210413    0.79
20210425   -1.88
20210507    4.76
20210519   -3.83
20210531   -7.20
20210612   -3.14
20210624   -6.11
20210706   -5.56
20210718   -4.40
20210730   -3.88
20210811   -3.71
20210823   -4.40
20210904   -0.01
20210916   -2.70
20210928   -0.44
20211010   -1.21
20211022    1.34
20211103   -2.19
20211115   -0.86
20211127   -0.93
20211209   -1.22
20211221   -3.60
20220102    0.53
20220114   -0.26
20220126   -0.43
20220207   -2.22
20220219   -3.93
20220303   -1.30
20220315   -2.11
20220327   -2.92
20220408   -4.70
20220420   -0.85
20220502   -3.70
20220514    0.30
20220526    2.82
20220607   -0.44
20220619  -10.71
20220701    2.98
20220713    0.45
20220725    0.66
20220806    1.66
20220818    2.54
20220830    4.33
20220911    2.26
20220923    2.29
20221005    2.79
20221029    1.53
20221110    2.35
20221122    0.35
20221204   -0.41
20221216   -1.08
20221228   -2.27
20230109   -2.62
20230121   -1.84
20230202   -5.36
20230226   -7.27
20230310   -7.06
20230322  -11.21
20230403   -8.27
20230415  -12.38
20230427  -11.70
20230509  -11.30
20230521  -14.24
20230602  -22.72
20230614  -14.05
20230626  -11.57
20230708  -12.98
20230720  -12.61
20230801   -9.06
20230813   -6.30
20230825   -5.59
20230906   -5.31
20230918   -6.04
20230930   -6.11
20231012   -5.09
20231024   -5.61
20231105   -6.48
20231117   -8.79
20231129   -9.49
20231211   -7.89
20231223   -9.06
20240104   -8.36
20240116   -7.25
20240209   -7.87
20240221   -7.63
