# x, y    : 1791, 647
# lat, lon: 36.59500, 59.18955
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 0.428*t+6.203
20150220    0.00
20150304    0.96
20150328    2.58
20150421   -0.06
20150515    2.52
20150702    6.64
20150726   10.26
20150819   12.17
20151030    8.77
20151123    7.86
20151217    6.73
20160110    5.71
20160203    6.32
20160227    3.50
20160322   -0.29
20160415    4.31
20160509    4.32
20160602    6.70
20160720    7.07
20160813    6.51
20160906    9.11
20160930   11.05
20161024   10.30
20161117   10.03
20161211   12.16
20170104   13.79
20170128   11.18
20170209    8.96
20170221    7.00
20170305    4.55
20170317    2.88
20170329    2.34
20170410    1.85
20170422    0.62
20170504    1.91
20170516   -6.88
20170528    0.08
20170609    1.23
20170703    7.12
20170715    8.48
20170727    9.50
20170808    8.22
20170820    9.37
20170901    8.02
20170913    7.10
20170925    9.39
20171007   10.03
20171019    8.69
20171031    8.76
20171112    6.18
20171124   12.00
20171206    8.20
20171218    9.07
20171230    8.92
20180111    7.34
20180123    8.27
20180204    9.23
20180216    7.69
20180228   12.57
20180312    4.85
20180324    7.42
20180405    5.97
20180417    9.12
20180429    2.68
20180511    7.21
20180523   10.07
20180604   11.48
20180616   12.13
20180628   11.80
20180710   13.01
20180722   20.11
20180803   12.56
20180815   12.63
20180827    9.88
20180908   11.80
20181002    8.53
20181014    7.03
20181026    5.05
20181107    7.06
20181119    6.07
20181201    6.57
20181213    6.20
20181225    6.70
20190106    8.66
20190118    5.85
20190130    6.89
20190211    5.23
20190223    8.50
20190307    7.91
20190331   12.83
20190412   15.34
20190424    7.98
20190506   10.43
20190518   10.77
20190530   12.15
20190611   10.87
20190623   10.27
20190705   10.60
20190717   10.73
20190729   12.05
20190810   13.59
20190822   13.36
20190903   10.57
20190915   12.67
20190927   10.39
20191009   11.38
20191021   11.07
20191102    8.62
20191114    9.13
20191126   10.24
20191208   10.97
20191220    7.89
20200101    8.37
20200125    9.18
20200206    9.34
20200218   11.04
20200301   10.12
20200313    9.34
20200406   10.41
20200418   10.38
20200430    2.62
20200512    6.75
20200524    6.80
20200605    2.07
20200617    3.34
20200629    1.76
20200723   -9.89
20200804   -0.04
20200816   -2.25
20200828   -3.77
20200909   -4.39
20200921   -2.95
20201003    0.21
20201015    1.63
20201027    3.31
20201108    2.03
20201120    5.49
20201202    5.96
20201214    6.81
20210107    9.07
20210119    8.52
20210131    9.88
20210212    9.96
20210224    9.77
20210308   11.37
20210320   12.69
20210413   11.98
20210425    8.89
20210507   16.13
20210519    7.24
20210531    4.10
20210612    8.95
20210624    5.49
20210706    6.10
20210718    7.41
20210730    8.31
20210811    7.77
20210823    6.79
20210904   11.61
20210916    9.12
20210928   11.85
20211010   10.98
20211022   13.86
20211103   10.08
20211115   11.29
20211127   11.25
20211209   10.94
20211221    9.19
20220102   12.33
20220114   12.89
20220126   12.36
20220207   10.55
20220219    9.06
20220303   12.34
20220315   10.93
20220327   10.68
20220408    8.29
20220420   12.57
20220502    9.29
20220514   13.68
20220526   15.30
20220607   12.74
20220619    2.10
20220701   16.17
20220713   14.23
20220725   13.50
20220806   15.23
20220818   16.19
20220830   18.37
20220911   16.04
20220923   16.29
20221005   17.15
20221029   15.88
20221110   16.53
20221122   14.61
20221204   14.06
20221216   13.07
20221228   12.44
20230109   11.99
20230121   13.07
20230202    9.11
20230226    6.79
20230310    7.26
20230322    4.06
20230403    7.01
20230415    2.61
20230427    3.51
20230509    4.27
20230521    1.58
20230602   -6.06
20230614    1.00
20230626    3.59
20230708    2.93
20230720    3.74
20230801    6.63
20230813   10.08
20230825   10.45
20230906   11.27
20230918   10.47
20230930   10.33
20231012   11.78
20231024   10.97
20231105   10.23
20231117    8.02
20231129    8.02
20231211    9.40
20231223    8.65
20240104    8.80
20240116   10.16
20240209    9.62
20240221    9.95
