# x, y    : 1810, 663
# lat, lon: 36.57900, 59.20855
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -2.276*t+2.696
20150220    0.00
20150304   -2.02
20150328   -1.41
20150421    0.73
20150515   -0.45
20150702    5.66
20150726    6.18
20150819    2.88
20151030    3.43
20151123    3.38
20151217    1.96
20160110    0.07
20160203    0.66
20160227   -0.33
20160322   -5.45
20160415   -0.01
20160509    0.02
20160602    0.96
20160720    0.20
20160813    1.10
20160906    3.40
20160930    3.59
20161024    3.01
20161117    3.66
20161211    1.68
20170104    4.54
20170128    1.24
20170209    0.97
20170221   -2.31
20170305   -4.62
20170317   -7.04
20170329   -7.13
20170410   -9.70
20170422   -9.87
20170504   -9.75
20170516   -7.74
20170528   -7.46
20170609   -6.83
20170703   -2.56
20170715   -0.51
20170727    0.39
20170808   -0.83
20170820   -1.84
20170901    0.12
20170913   -3.72
20170925   -1.43
20171007   -1.10
20171019   -1.58
20171031   -2.19
20171112   -3.59
20171124   -0.34
20171206   -3.08
20171218   -3.73
20171230   -2.38
20180111   -4.85
20180123   -3.86
20180204   -3.07
20180216   -3.18
20180228   -1.73
20180312   -5.02
20180324   -5.14
20180405   -5.08
20180417   -3.26
20180429   -9.63
20180511   -3.49
20180523   -3.20
20180604   -3.22
20180616   -2.37
20180628   -1.87
20180710    1.12
20180722    4.19
20180803   -3.11
20180815   -3.78
20180827   -2.24
20180908   -1.73
20181002   -6.00
20181014   -6.61
20181026   -7.50
20181107   -8.29
20181119   -7.97
20181201   -8.09
20181213   -9.48
20181225   -9.40
20190106   -8.89
20190118   -8.96
20190130   -8.03
20190211  -11.43
20190223   -6.40
20190307   -8.45
20190331   -4.09
20190412   -0.07
20190424   -8.23
20190506   -6.88
20190518   -0.11
20190530   -2.34
20190611   -6.58
20190623   -7.00
20190705   -5.99
20190717   -6.08
20190729   -7.81
20190810   -2.97
20190822   -4.29
20190903   -5.00
20190915   -3.63
20190927   -5.22
20191009   -6.40
20191021   -6.95
20191102   -5.49
20191114   -7.08
20191126   -7.35
20191208   -6.35
20191220   -9.43
20200101   -9.13
20200125   -8.20
20200206   -9.23
20200218   -6.65
20200301   -7.85
20200313   -7.55
20200406   -7.98
20200418   -7.78
20200430  -16.53
20200512  -15.79
20200524  -14.88
20200605  -15.48
20200617  -15.39
20200629  -16.27
20200723  -23.45
20200804  -24.55
20200816  -20.15
20200828  -21.98
20200909  -22.84
20200921  -19.47
20201003  -17.30
20201015  -16.27
20201027  -15.13
20201108  -16.09
20201120  -13.30
20201202  -12.19
20201214  -12.38
20210107  -10.10
20210119  -10.83
20210131   -7.32
20210212   -9.84
20210224   -9.54
20210308   -8.19
20210320   -7.99
20210413   -8.56
20210425  -10.71
20210507   -5.48
20210519   -9.23
20210531  -15.10
20210612  -11.87
20210624  -15.71
20210706  -15.57
20210718  -14.88
20210730  -10.88
20210811  -10.24
20210823   -8.63
20210904   -8.27
20210916   -9.67
20210928   -9.60
20211010   -9.62
20211022   -6.79
20211103   -9.88
20211115   -9.59
20211127   -9.88
20211209  -11.16
20211221  -11.06
20220102   -6.51
20220114   -8.09
20220126   -9.35
20220207  -11.16
20220219  -12.90
20220303   -9.49
20220315   -9.31
20220327  -13.73
20220408  -14.41
20220420  -11.27
20220502  -14.65
20220514  -10.92
20220526  -10.33
20220607  -12.26
20220619  -17.60
20220701   -9.94
20220713  -10.46
20220725  -11.45
20220806   -7.97
20220818   -7.35
20220830   -5.04
20220911   -7.68
20220923   -6.66
20221005   -8.75
20221029  -10.48
20221110   -7.94
20221122  -10.23
20221204  -10.34
20221216  -11.97
20221228  -13.01
20230109  -11.87
20230121  -13.45
20230202  -16.15
20230226  -18.12
20230310  -20.39
20230322  -20.35
20230403  -18.70
20230415  -21.67
20230427  -23.39
20230509  -22.73
20230521  -25.08
20230602  -26.13
20230614  -26.65
20230626  -23.83
20230708  -23.92
20230720  -21.75
20230801  -17.71
20230813  -15.91
20230825  -17.41
20230906  -16.12
20230918  -15.46
20230930  -15.35
20231012  -16.45
20231024  -13.61
20231105  -15.61
20231117  -18.27
20231129  -18.21
20231211  -16.31
20231223  -16.04
20240104  -15.69
20240116  -16.42
20240209  -18.27
20240221  -17.77
