# x, y    : 1722, 684
# lat, lon: 36.55800, 59.12055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -2.035*t+4.212
20150220    0.00
20150304   -2.30
20150328   -2.83
20150421   -4.84
20150515   -0.80
20150702   10.11
20150726    5.58
20150819    0.84
20151030    4.71
20151123    2.40
20151217    1.50
20160110   -4.37
20160203   -0.08
20160227   -1.44
20160322   -7.43
20160415   -2.00
20160509   -5.15
20160602   -1.60
20160720    1.08
20160813   -0.16
20160906    1.56
20160930    3.74
20161024    5.00
20161117    6.36
20161211    5.30
20170104    4.58
20170128    2.79
20170209    2.91
20170221    1.21
20170305   -0.66
20170317   -0.92
20170329   -1.55
20170410   -0.29
20170422   -2.52
20170504   -0.49
20170516  -10.00
20170528   -1.60
20170609   -2.59
20170703    0.31
20170715    2.66
20170727    1.11
20170808    1.85
20170820    1.27
20170901    1.06
20170913    0.06
20170925    0.73
20171007   -2.12
20171019   -0.08
20171031   -0.40
20171112    0.65
20171124    0.34
20171206    0.04
20171218    0.17
20171230    0.98
20180111   -0.14
20180123    1.23
20180204    1.44
20180216    1.07
20180228    1.17
20180312   -1.78
20180324   -0.71
20180405   -3.10
20180417   -1.85
20180429   -7.36
20180511   -5.91
20180523   -3.24
20180604   -0.37
20180616   -2.75
20180628   -3.52
20180710    0.77
20180722    1.95
20180803   -1.86
20180815   -3.90
20180827   -1.58
20180908   -2.08
20181002   -4.05
20181014   -3.05
20181026    1.08
20181107   -2.53
20181119   -4.98
20181201   -3.43
20181213   -4.21
20181225   -6.85
20190106   -4.48
20190118   -5.99
20190130   -4.73
20190211   -4.75
20190223   -1.25
20190307   -2.04
20190331    2.43
20190412    7.89
20190424   -3.37
20190506    1.40
20190518    0.66
20190530   -6.09
20190611   -3.40
20190623   -4.12
20190705   -5.05
20190717   -4.05
20190729    1.39
20190810   -1.08
20190822    2.19
20190903    0.57
20190915    2.93
20190927   -1.99
20191009   -0.70
20191021   -2.16
20191102   -1.46
20191114   -1.14
20191126   -1.82
20191208   -0.50
20191220   -3.76
20200101   -3.03
20200125   -2.62
20200206   -3.71
20200218   -1.27
20200301   -2.75
20200313   -3.71
20200406   -7.08
20200418   -6.52
20200430  -10.49
20200512  -14.44
20200524  -14.43
20200605  -12.85
20200617  -11.87
20200629  -10.77
20200723  -20.78
20200804  -14.09
20200816  -16.02
20200828  -17.45
20200909  -13.63
20200921  -11.55
20201003  -13.49
20201015  -11.57
20201027  -10.95
20201108  -12.96
20201120   -8.82
20201202   -9.21
20201214   -8.73
20210107   -7.75
20210119   -8.22
20210131   -6.66
20210212   -6.90
20210224   -4.68
20210308   -5.31
20210320   -5.71
20210413   -5.50
20210425   -6.83
20210507   -1.76
20210519   -7.95
20210531  -18.72
20210612  -10.76
20210624  -14.93
20210706  -15.40
20210718  -12.17
20210730  -13.84
20210811  -10.08
20210823  -10.74
20210904   -8.43
20210916  -10.90
20210928  -10.90
20211010   -9.19
20211022   -8.70
20211103   -9.85
20211115   -7.91
20211127   -8.83
20211209   -8.91
20211221  -11.99
20220102   -7.85
20220114   -7.99
20220126  -10.33
20220207   -7.22
20220219   -9.68
20220303   -7.56
20220315   -4.45
20220327   -6.70
20220408  -10.51
20220420   -8.66
20220502  -10.56
20220514   -6.74
20220526  -10.04
20220607   -6.27
20220619   -5.57
20220701   -6.14
20220713   -4.76
20220725   -3.64
20220806   -4.41
20220818   -3.16
20220830   -2.69
20220911   -3.93
20220923   -2.90
20221005   -4.17
20221029   -5.69
20221110   -4.68
20221122   -6.07
20221204   -6.59
20221216   -7.74
20221228   -8.09
20230109   -7.49
20230121   -8.52
20230202   -7.49
20230226  -14.67
20230310  -13.17
20230322  -17.01
20230403  -16.66
20230415  -21.01
20230427  -22.42
20230509  -22.15
20230521  -27.12
20230602  -25.67
20230614  -29.90
20230626  -22.59
20230708  -20.54
20230720  -22.38
20230801  -18.08
20230813  -15.36
20230825  -18.74
20230906  -15.37
20230918  -13.64
20230930  -12.95
20231012   -8.16
20231024  -13.85
20231105  -10.45
20231117  -14.60
20231129  -14.19
20231211  -13.96
20231223  -10.49
20240104  -11.66
20240116  -10.90
20240209  -12.84
20240221  -12.68
