# x, y    : 1725, 673
# lat, lon: 36.56900, 59.12355
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.548*t+3.589
20150220    0.00
20150304   -0.42
20150328   -0.49
20150421   -0.39
20150515   -1.02
20150702    6.71
20150726    7.70
20150819    3.79
20151030    7.18
20151123    4.84
20151217    4.48
20160110   -0.32
20160203    2.90
20160227    3.46
20160322   -2.02
20160415   -0.31
20160509    0.56
20160602    1.29
20160720    6.66
20160813    4.85
20160906    7.51
20160930    9.21
20161024    9.82
20161117   12.00
20161211    9.77
20170104   11.45
20170128    8.30
20170209    8.73
20170221    6.28
20170305    5.67
20170317    3.16
20170329    7.27
20170410    6.63
20170422    5.54
20170504    6.25
20170516    1.33
20170528   11.00
20170609    6.63
20170703    8.62
20170715   11.68
20170727   10.77
20170808    9.16
20170820    9.52
20170901   10.37
20170913    8.11
20170925    9.22
20171007    8.87
20171019    9.03
20171031    8.33
20171112    7.20
20171124    8.60
20171206    7.93
20171218    9.07
20171230    9.63
20180111    8.21
20180123    9.71
20180204    9.71
20180216   10.08
20180228   10.46
20180312    7.38
20180324   11.17
20180405    6.50
20180417    8.64
20180429    3.38
20180511    5.75
20180523    8.10
20180604   11.41
20180616    9.63
20180628    7.82
20180710   11.97
20180722   12.76
20180803    7.86
20180815    4.11
20180827    7.92
20180908    7.90
20181002    8.12
20181014    7.87
20181026   12.36
20181107    7.35
20181119    5.46
20181201    7.76
20181213    6.84
20181225    6.27
20190106    6.29
20190118    6.30
20190130    8.47
20190211    7.56
20190223   10.55
20190307   10.99
20190331   14.93
20190412   22.25
20190424   11.32
20190506   15.37
20190518   15.51
20190530    8.10
20190611   12.21
20190623    9.18
20190705    9.45
20190717   11.72
20190729   17.53
20190810   13.16
20190822   15.22
20190903   14.58
20190915   17.42
20190927   12.52
20191009   13.68
20191021   12.67
20191102   15.42
20191114   12.40
20191126   12.62
20191208   11.30
20191220   10.44
20200101   12.54
20200125   13.26
20200206   13.10
20200218   14.29
20200301   11.64
20200313   12.78
20200406   13.81
20200418   14.81
20200430    8.94
20200512    8.66
20200524    6.47
20200605    9.84
20200617    8.57
20200629    9.03
20200723   -0.26
20200804    3.84
20200816    4.99
20200828    1.31
20200909    4.38
20200921    7.11
20201003    5.61
20201015    8.16
20201027    7.97
20201108    6.96
20201120   11.17
20201202   11.28
20201214   11.60
20210107   13.31
20210119   12.90
20210131   16.29
20210212   14.20
20210224   15.83
20210308   15.73
20210320   16.08
20210413   15.94
20210425   15.55
20210507   19.94
20210519   13.92
20210531    7.71
20210612   12.81
20210624    8.10
20210706    8.09
20210718    9.73
20210730   10.28
20210811   13.32
20210823   12.68
20210904   15.86
20210916   12.39
20210928   11.90
20211010   14.32
20211022   14.46
20211103   13.88
20211115   15.63
20211127   14.58
20211209   14.28
20211221   12.68
20220102   14.65
20220114   16.82
20220126   16.20
20220207   15.88
20220219   15.02
20220303   17.95
20220315   19.71
20220327   18.33
20220408   14.83
20220420   19.57
20220502   15.18
20220514   18.88
20220526   16.50
20220607   19.71
20220619   16.11
20220701   20.56
20220713   20.58
20220725   21.06
20220806   23.12
20220818   23.22
20220830   24.80
20220911   21.07
20220923   23.41
20221005   23.30
20221029   21.87
20221110   22.80
20221122   20.78
20221204   19.72
20221216   19.45
20221228   19.10
20230109   19.55
20230121   18.73
20230202   21.87
20230226   14.42
20230310   20.26
20230322   11.52
20230403   12.30
20230415    9.07
20230427    8.36
20230509    8.72
20230521    3.24
20230602    5.12
20230614    2.49
20230626    5.22
20230708    8.19
20230720    7.39
20230801   11.17
20230813   14.21
20230825   10.98
20230906   15.12
20230918   16.01
20230930   16.82
20231012   22.37
20231024   17.03
20231105   19.46
20231117   15.19
20231129   15.27
20231211   15.01
20231223   18.30
20240104   17.15
20240116   18.48
20240209   16.16
20240221   17.17
