# x, y    : 1817, 668
# lat, lon: 36.57400, 59.21555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -4.522*t+3.118
20150220    0.00
20150304   -2.27
20150328   -1.74
20150421    0.40
20150515   -0.02
20150702    2.46
20150726    5.83
20150819    3.03
20151030    2.69
20151123    2.33
20151217    1.27
20160110   -0.23
20160203   -0.17
20160227   -0.98
20160322   -6.56
20160415   -2.35
20160509   -2.44
20160602   -5.20
20160720   -0.47
20160813   -0.28
20160906    1.09
20160930    0.61
20161024    0.04
20161117    0.57
20161211   -1.84
20170104   -0.26
20170128   -2.08
20170209   -2.87
20170221   -5.09
20170305   -8.19
20170317   -9.58
20170329  -10.96
20170410  -13.45
20170422  -13.56
20170504  -15.65
20170516  -13.42
20170528  -14.15
20170609  -11.69
20170703   -8.32
20170715   -6.11
20170727   -5.08
20170808   -6.89
20170820   -6.40
20170901   -5.28
20170913   -9.25
20170925   -7.05
20171007   -6.98
20171019   -7.62
20171031   -8.75
20171112  -10.48
20171124   -6.67
20171206   -9.05
20171218   -9.09
20171230   -8.37
20180111  -11.01
20180123  -10.03
20180204   -9.25
20180216   -9.59
20180228   -7.20
20180312  -11.63
20180324  -10.67
20180405  -11.48
20180417   -9.93
20180429  -16.41
20180511   -9.73
20180523   -9.72
20180604   -9.21
20180616   -8.29
20180628   -8.62
20180710   -6.69
20180722   -2.87
20180803  -11.18
20180815  -10.73
20180827   -9.08
20180908   -9.17
20181002  -13.60
20181014  -13.76
20181026  -15.72
20181107  -16.44
20181119  -16.14
20181201  -16.83
20181213  -18.24
20181225  -17.70
20190106  -18.21
20190118  -18.14
20190130  -16.37
20190211  -19.97
20190223  -13.42
20190307  -17.24
20190331  -12.98
20190412   -9.08
20190424  -17.90
20190506  -17.04
20190518   -9.88
20190530  -13.03
20190611  -17.38
20190623  -17.56
20190705  -16.41
20190717  -16.99
20190729  -18.79
20190810  -14.11
20190822  -13.39
20190903  -14.26
20190915  -13.20
20190927  -16.23
20191009  -15.66
20191021  -17.40
20191102  -16.48
20191114  -17.90
20191126  -18.23
20191208  -17.48
20191220  -19.67
20200101  -20.04
20200125  -18.81
20200206  -19.66
20200218  -17.24
20200301  -17.71
20200313  -18.75
20200406  -19.28
20200418  -18.85
20200430  -26.58
20200512  -22.77
20200524  -26.10
20200605  -26.85
20200617  -26.52
20200629  -28.11
20200723  -31.75
20200804  -37.72
20200816  -32.82
20200828  -33.92
20200909  -34.00
20200921  -31.10
20201003  -30.30
20201015  -28.58
20201027  -27.52
20201108  -28.16
20201120  -25.98
20201202  -24.46
20201214  -25.07
20210107  -23.02
20210119  -23.42
20210131  -19.60
20210212  -22.54
20210224  -22.41
20210308  -20.87
20210320  -20.37
20210413  -22.27
20210425  -23.74
20210507  -18.64
20210519  -22.57
20210531  -29.36
20210612  -25.71
20210624  -28.80
20210706  -29.48
20210718  -29.56
20210730  -24.22
20210811  -23.69
20210823  -22.96
20210904  -21.06
20210916  -23.95
20210928  -23.46
20211010  -23.97
20211022  -21.56
20211103  -25.16
20211115  -24.73
20211127  -24.97
20211209  -25.75
20211221  -27.31
20220102  -21.68
20220114  -23.17
20220126  -24.20
20220207  -25.86
20220219  -28.49
20220303  -24.82
20220315  -24.65
20220327  -29.39
20220408  -30.87
20220420  -28.45
20220502  -28.84
20220514  -26.40
20220526  -26.15
20220607  -28.02
20220619  -30.81
20220701  -24.82
20220713  -25.97
20220725  -26.88
20220806  -23.23
20220818  -23.51
20220830  -21.93
20220911  -24.28
20220923  -23.36
20221005  -25.87
20221029  -27.35
20221110  -24.90
20221122  -26.75
20221204  -27.29
20221216  -29.08
20221228  -29.86
20230109  -29.78
20230121  -30.80
20230202  -34.11
20230226  -34.22
20230310  -37.41
20230322  -38.43
20230403  -35.99
20230415  -39.21
20230427  -40.57
20230509  -40.59
20230521  -43.64
20230602  -45.23
20230614  -44.41
20230626  -40.64
20230708  -42.56
20230720  -40.13
20230801  -36.11
20230813  -35.46
20230825  -36.40
20230906  -35.96
20230918  -34.44
20230930  -35.09
20231012  -32.85
20231024  -33.77
20231105  -36.06
20231117  -38.10
20231129  -38.53
20231211  -36.30
20231223  -35.94
20240104  -36.15
20240116  -36.86
20240209  -39.23
20240221  -37.74
