# x, y    : 1805, 674
# lat, lon: 36.56800, 59.20355
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.987*t+3.009
20150220    0.00
20150304   -2.91
20150328   -2.58
20150421    0.82
20150515   -2.12
20150702    2.43
20150726    6.62
20150819    4.67
20151030    6.52
20151123    5.80
20151217    4.78
20160110    3.37
20160203    3.79
20160227    1.96
20160322   -1.65
20160415    2.32
20160509    5.27
20160602    7.70
20160720    8.84
20160813    8.92
20160906    9.68
20160930   10.29
20161024   10.43
20161117   10.90
20161211    8.23
20170104   11.22
20170128    9.84
20170209    9.53
20170221    6.94
20170305    5.10
20170317    1.91
20170329    3.54
20170410    2.17
20170422    1.30
20170504   -0.20
20170516    2.34
20170528    2.61
20170609    5.29
20170703    7.28
20170715    9.55
20170727   10.29
20170808    9.91
20170820   10.95
20170901   10.94
20170913    7.69
20170925   10.53
20171007   10.88
20171019   10.10
20171031    9.94
20171112   10.94
20171124   10.33
20171206   10.60
20171218   10.92
20171230   10.70
20180111    9.69
20180123    9.83
20180204   10.45
20180216   10.67
20180228   13.45
20180312    8.06
20180324    8.53
20180405    9.74
20180417   10.64
20180429    3.15
20180511   10.77
20180523   10.39
20180604   10.81
20180616   12.91
20180628   14.04
20180710   11.91
20180722   16.25
20180803   11.13
20180815   10.42
20180827   13.73
20180908   12.63
20181002   10.02
20181014    9.96
20181026    6.18
20181107    8.91
20181119    8.65
20181201    8.51
20181213    7.47
20181225    8.94
20190106    7.86
20190118    6.94
20190130    9.34
20190211    6.79
20190223   11.27
20190307    8.32
20190331   14.53
20190412   17.39
20190424   11.07
20190506   11.89
20190518   17.98
20190530   20.55
20190611   12.03
20190623   11.94
20190705   13.72
20190717   11.30
20190729   17.34
20190810   15.43
20190822   17.22
20190903   13.42
20190915   19.34
20190927   15.53
20191009   14.88
20191021   14.55
20191102   14.29
20191114   13.76
20191126   13.72
20191208   15.52
20191220   12.66
20200101   12.42
20200125   13.52
20200206   12.20
20200218   14.63
20200301   14.92
20200313   13.40
20200406   13.97
20200418   14.18
20200430    9.64
20200512    9.71
20200524    7.47
20200605    9.85
20200617    7.01
20200629    8.41
20200723    2.09
20200804    3.27
20200816    4.99
20200828    3.56
20200909    5.96
20200921    7.05
20201003    7.89
20201015    9.09
20201027    9.76
20201108    8.81
20201120   12.39
20201202   13.24
20201214   12.77
20210107   14.97
20210119   14.53
20210131   15.88
20210212   16.17
20210224   17.54
20210308   18.25
20210320   17.56
20210413   18.12
20210425   15.07
20210507   22.76
20210519   15.39
20210531   10.33
20210612   10.63
20210624   12.44
20210706   11.71
20210718   13.33
20210730   17.46
20210811   16.90
20210823   16.25
20210904   22.21
20210916   17.02
20210928   18.09
20211010   17.95
20211022   20.37
20211103   17.86
20211115   18.22
20211127   18.19
20211209   17.85
20211221   17.30
20220102   22.20
20220114   20.78
20220126   15.95
20220207   17.46
20220219   15.71
20220303   16.77
20220315   19.10
20220327   16.30
20220408   15.61
20220420   18.00
20220502   15.52
20220514   19.13
20220526   19.89
20220607   18.87
20220619   15.04
20220701   21.28
20220713   22.13
20220725   26.40
20220806   23.71
20220818   24.08
20220830   25.90
20220911   23.69
20220923   26.11
20221005   24.76
20221029   22.78
20221110   24.57
20221122   24.05
20221204   23.43
20221216   22.08
20221228   20.86
20230109   20.66
20230121   20.24
20230202   18.49
20230226   14.93
20230310   14.13
20230322   14.26
20230403   16.38
20230415   12.58
20230427   11.94
20230509   12.69
20230521   10.36
20230602    9.52
20230614   10.24
20230626   12.79
20230708   12.19
20230720   13.29
20230801   17.00
20230813   19.14
20230825   19.31
20230906   20.03
20230918   21.16
20230930   20.84
20231012   24.33
20231024   22.97
20231105   21.52
20231117   20.06
20231129   19.79
20231211   21.39
20231223   21.47
20240104   21.72
20240116   22.08
20240209   19.96
20240221   21.09
