# x, y    : 1789, 672
# lat, lon: 36.57000, 59.18755
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.276*t-0.875
20150220    0.00
20150304   -7.51
20150328   -7.65
20150421   -4.50
20150515   -5.68
20150702    0.52
20150726    2.26
20150819   -0.62
20151030    2.83
20151123    1.98
20151217    0.70
20160110   -1.25
20160203    0.03
20160227   -1.54
20160322   -5.06
20160415    1.72
20160509    1.35
20160602    3.09
20160720    2.06
20160813    1.80
20160906    6.85
20160930    6.34
20161024    6.60
20161117    6.90
20161211    6.41
20170104    7.06
20170128    5.55
20170209    5.67
20170221    3.02
20170305    1.77
20170317   -1.83
20170329   -0.63
20170410   -0.51
20170422   -1.28
20170504   -2.84
20170516   -3.12
20170528    1.32
20170609    3.12
20170703    3.84
20170715    5.52
20170727    5.48
20170808    7.94
20170820    8.36
20170901    8.07
20170913    5.01
20170925    6.92
20171007    7.24
20171019    6.98
20171031    6.92
20171112    7.66
20171124    9.15
20171206    8.27
20171218    8.57
20171230    7.81
20180111    9.21
20180123    7.52
20180204    7.55
20180216    6.79
20180228   10.80
20180312    5.55
20180324    5.86
20180405    6.75
20180417    6.78
20180429    0.92
20180511    7.24
20180523    7.83
20180604    7.84
20180616    8.37
20180628    8.79
20180710    6.94
20180722   15.53
20180803    6.53
20180815    7.05
20180827    9.80
20180908    9.26
20181002    7.35
20181014    7.69
20181026    2.74
20181107    6.64
20181119    5.50
20181201    5.61
20181213    4.82
20181225    5.24
20190106    4.62
20190118    6.11
20190130    6.68
20190211    4.13
20190223    7.69
20190307    5.32
20190331   11.86
20190412   16.95
20190424    8.18
20190506    9.67
20190518   13.56
20190530   13.31
20190611   11.73
20190623    9.51
20190705   10.82
20190717    9.93
20190729   13.52
20190810   13.48
20190822   16.66
20190903   11.73
20190915   16.61
20190927   14.50
20191009   13.71
20191021   12.48
20191102   11.94
20191114   11.38
20191126   11.28
20191208   13.54
20191220   10.59
20200101   10.56
20200125   10.96
20200206   10.48
20200218   12.61
20200301   12.76
20200313   10.43
20200406   11.84
20200418   13.40
20200430    7.33
20200512    9.48
20200524    6.14
20200605    7.95
20200617    5.81
20200629    6.34
20200723    0.44
20200804    3.31
20200816    2.20
20200828    1.19
20200909    6.41
20200921    5.36
20201003    5.18
20201015    7.21
20201027    8.12
20201108    7.00
20201120   10.23
20201202   11.21
20201214   10.95
20210107   12.77
20210119   12.84
20210131   13.63
20210212   14.44
20210224   15.75
20210308   15.61
20210320   14.86
20210413   16.01
20210425   14.20
20210507   20.02
20210519   16.14
20210531    5.91
20210612    7.74
20210624   11.00
20210706    9.66
20210718   11.82
20210730   12.22
20210811   14.45
20210823   14.33
20210904   19.09
20210916   14.67
20210928   15.43
20211010   16.15
20211022   17.72
20211103   14.94
20211115   16.97
20211127   16.11
20211209   15.63
20211221   16.51
20220102   19.24
20220114   19.26
20220126   12.54
20220207   15.41
20220219   14.11
20220303   11.72
20220315   18.51
20220327   13.81
20220408   13.93
20220420   16.53
20220502   14.01
20220514   15.70
20220526   15.81
20220607   17.79
20220619   13.59
20220701   20.65
20220713   21.82
20220725   25.02
20220806   21.24
20220818   22.42
20220830   25.56
20220911   22.17
20220923   24.20
20221005   24.13
20221029   21.65
20221110   22.99
20221122   22.70
20221204   21.54
20221216   20.97
20221228   19.57
20230109   19.65
20230121   18.63
20230202   17.00
20230226   11.09
20230310   12.40
20230322   13.17
20230403   13.63
20230415   10.77
20230427    9.68
20230509   11.60
20230521    8.75
20230602    9.33
20230614   10.69
20230626   12.13
20230708   10.71
20230720   11.19
20230801   16.03
20230813   16.39
20230825   18.28
20230906   18.70
20230918   19.75
20230930   19.13
20231012   19.27
20231024   19.52
20231105   20.45
20231117   20.16
20231129   19.12
20231211   19.42
20231223   20.60
20240104   19.78
20240116   19.55
20240209   18.16
20240221   19.66
