# x, y    : 1776, 676
# lat, lon: 36.56600, 59.17455
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.054*t+0.198
20150220    0.00
20150304   -6.45
20150328   -6.13
20150421   -4.67
20150515   -6.55
20150702    5.36
20150726    2.66
20150819   -0.11
20151030    2.73
20151123    1.47
20151217    1.15
20160110   -0.70
20160203   -0.05
20160227   -0.04
20160322   -4.18
20160415    3.00
20160509    0.68
20160602    2.27
20160720    1.70
20160813    0.76
20160906    7.53
20160930    6.30
20161024    7.27
20161117    8.39
20161211    6.74
20170104    8.08
20170128    6.32
20170209    5.78
20170221    3.85
20170305    2.07
20170317   -1.02
20170329    0.09
20170410    1.44
20170422    0.78
20170504   -0.99
20170516    2.47
20170528    1.80
20170609    3.97
20170703    5.93
20170715    6.17
20170727    5.83
20170808    6.58
20170820    8.09
20170901    9.02
20170913    7.88
20170925    7.40
20171007    7.24
20171019    7.16
20171031    7.33
20171112    7.97
20171124    8.54
20171206    8.74
20171218    9.46
20171230    8.21
20180111   11.91
20180123    9.31
20180204    8.74
20180216    7.99
20180228   10.95
20180312    7.21
20180324    6.42
20180405    7.41
20180417    6.78
20180429    1.64
20180511    6.60
20180523    7.54
20180604    7.74
20180616    8.72
20180628    7.89
20180710    7.41
20180722   12.70
20180803    6.09
20180815    6.15
20180827    8.60
20180908    9.54
20181002    7.21
20181014    7.38
20181026    3.72
20181107    6.04
20181119    6.31
20181201    5.82
20181213    5.91
20181225    6.24
20190106    4.05
20190118    6.85
20190130    6.99
20190211    4.53
20190223    9.86
20190307    7.37
20190331   13.41
20190412   17.24
20190424    8.91
20190506   10.33
20190518   13.18
20190530    8.65
20190611   10.79
20190623    9.77
20190705    9.04
20190717    9.80
20190729   13.52
20190810   13.45
20190822   16.49
20190903   12.80
20190915   17.06
20190927   13.62
20191009   14.68
20191021   12.43
20191102   11.65
20191114   12.21
20191126   10.84
20191208   13.67
20191220   10.63
20200101   10.91
20200125   10.84
20200206   11.67
20200218   13.19
20200301   12.85
20200313   11.81
20200406   12.62
20200418   13.50
20200430   10.95
20200512    8.96
20200524    6.06
20200605    6.63
20200617    7.40
20200629    6.54
20200723    1.95
20200804    2.37
20200816    2.42
20200828    1.98
20200909    3.64
20200921    6.48
20201003    5.86
20201015    7.12
20201027    8.20
20201108    6.36
20201120   10.35
20201202   10.81
20201214   11.28
20210107   12.59
20210119   14.17
20210131   13.84
20210212   14.75
20210224   15.47
20210308   15.57
20210320   15.05
20210413   15.43
20210425   14.06
20210507   17.73
20210519   12.05
20210531    3.29
20210612    8.95
20210624    9.38
20210706    9.09
20210718   11.99
20210730   10.78
20210811   14.62
20210823   13.53
20210904   17.21
20210916   14.18
20210928   12.95
20211010   15.81
20211022   16.01
20211103   13.66
20211115   16.16
20211127   16.02
20211209   15.50
20211221   14.87
20220102   16.84
20220114   17.07
20220126   13.08
20220207   16.04
20220219   15.17
20220303   11.26
20220315   18.65
20220327   14.17
20220408   14.82
20220420   14.85
20220502   15.68
20220514   16.66
20220526   14.60
20220607   18.18
20220619   14.81
20220701   19.78
20220713   21.10
20220725   22.36
20220806   22.81
20220818   22.85
20220830   25.04
20220911   23.34
20220923   21.80
20221005   22.46
20221029   21.58
20221110   22.79
20221122   23.72
20221204   20.53
20221216   20.03
20221228   19.39
20230109   17.84
20230121   17.92
20230202   15.02
20230226   13.26
20230310   13.79
20230322   12.45
20230403   13.42
20230415   10.95
20230427   10.30
20230509   11.61
20230521    7.06
20230602    8.37
20230614    6.75
20230626   10.18
20230708    9.18
20230720    8.31
20230801   14.89
20230813   15.49
20230825   18.04
20230906   18.06
20230918   19.11
20230930   18.56
20231012   17.54
20231024   17.57
20231105   19.71
20231117   19.25
20231129   17.66
20231211   19.80
20231223   18.96
20240104   18.37
20240116   17.66
20240209   17.32
20240221   17.97
