# x, y    : 1757, 680
# lat, lon: 36.56200, 59.15555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.243*t-1.082
20150220    0.00
20150304   -5.05
20150328   -4.72
20150421   -7.51
20150515   -6.02
20150702    1.81
20150726    2.24
20150819   -2.93
20151030    2.49
20151123    0.89
20151217    0.83
20160110   -0.74
20160203   -0.76
20160227   -0.59
20160322   -3.47
20160415   -0.27
20160509   -1.35
20160602   -1.86
20160720   -0.22
20160813    3.14
20160906    6.21
20160930    6.57
20161024    7.58
20161117    7.57
20161211    5.60
20170104    8.24
20170128    5.75
20170209    5.35
20170221    3.08
20170305    1.52
20170317   -0.64
20170329   -0.13
20170410    1.38
20170422    0.91
20170504    2.05
20170516    1.45
20170528    2.60
20170609    2.65
20170703    6.09
20170715    5.31
20170727    4.46
20170808    4.91
20170820    5.50
20170901    7.97
20170913    7.01
20170925    5.66
20171007    6.05
20171019    6.18
20171031    6.61
20171112    6.36
20171124    6.19
20171206    6.17
20171218    6.88
20171230    7.36
20180111    8.67
20180123    7.34
20180204    8.20
20180216    7.22
20180228    9.78
20180312    4.79
20180324    4.74
20180405    5.82
20180417    6.01
20180429    2.37
20180511    4.29
20180523    6.07
20180604    5.61
20180616    7.91
20180628    4.43
20180710    6.54
20180722    8.99
20180803    4.24
20180815    1.62
20180827    5.64
20180908    6.17
20181002    4.02
20181014    5.93
20181026    7.79
20181107    4.67
20181119    4.94
20181201    5.47
20181213    5.20
20181225    5.82
20190106    4.39
20190118    4.75
20190130    6.57
20190211    5.55
20190223    8.11
20190307    8.48
20190331   13.65
20190412   17.42
20190424    9.14
20190506   11.83
20190518   12.99
20190530    9.80
20190611    8.65
20190623   10.27
20190705    8.71
20190717    9.21
20190729   11.28
20190810   13.89
20190822   13.41
20190903   11.28
20190915   15.56
20190927   12.19
20191009   13.54
20191021   11.70
20191102   11.29
20191114   11.97
20191126   10.38
20191208   11.34
20191220   10.08
20200101   10.94
20200125   10.53
20200206   11.68
20200218   13.13
20200301   10.89
20200313   12.91
20200406   12.79
20200418   11.76
20200430   11.34
20200512    8.73
20200524    9.59
20200605    7.32
20200617    8.63
20200629    7.29
20200723    3.78
20200804    3.44
20200816    3.38
20200828    2.56
20200909    2.29
20200921    6.53
20201003    6.22
20201015    8.10
20201027    8.54
20201108    6.71
20201120   10.32
20201202   10.89
20201214   11.59
20210107   13.13
20210119   13.99
20210131   15.95
20210212   16.04
20210224   15.62
20210308   16.86
20210320   15.03
20210413   14.39
20210425   13.77
20210507   17.20
20210519   11.40
20210531    3.18
20210612   12.00
20210624    9.17
20210706    8.71
20210718   12.00
20210730   10.00
20210811   13.42
20210823   11.12
20210904   14.24
20210916   13.45
20210928   11.00
20211010   14.88
20211022   14.36
20211103   14.25
20211115   15.61
20211127   15.47
20211209   15.23
20211221   12.94
20220102   14.87
20220114   15.83
20220126   14.90
20220207   17.55
20220219   16.42
20220303   16.45
20220315   21.43
20220327   16.17
20220408   16.56
20220420   17.15
20220502   15.38
20220514   16.89
20220526   17.78
20220607   20.11
20220619   15.75
20220701   19.94
20220713   21.41
20220725   23.37
20220806   23.67
20220818   23.62
20220830   25.88
20220911   22.87
20220923   22.57
20221005   23.42
20221029   22.53
20221110   24.00
20221122   23.06
20221204   20.78
20221216   19.97
20221228   20.36
20230109   18.08
20230121   19.01
20230202   16.15
20230226   16.76
20230310   17.84
20230322   13.01
20230403   13.62
20230415   11.97
20230427   10.68
20230509    9.23
20230521    6.11
20230602    7.61
20230614    4.22
20230626    9.51
20230708    8.46
20230720    8.36
20230801   14.47
20230813   15.56
20230825   15.73
20230906   16.22
20230918   18.41
20230930   18.77
20231012   17.25
20231024   17.35
20231105   20.23
20231117   14.99
20231129   17.56
20231211   18.81
20231223   20.46
20240104   19.94
20240116   19.63
20240209   16.31
20240221   17.95
