# x, y    : 1732, 680
# lat, lon: 36.56200, 59.13055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.011*t+1.876
20150220    0.00
20150304   -1.25
20150328   -0.01
20150421   -4.21
20150515   -1.30
20150702    7.72
20150726    5.72
20150819    2.16
20151030    4.66
20151123    2.90
20151217    2.38
20160110   -3.66
20160203    1.23
20160227    0.69
20160322   -3.28
20160415    2.18
20160509   -2.14
20160602   -1.41
20160720    3.20
20160813    3.23
20160906    5.92
20160930    7.13
20161024    8.28
20161117    9.86
20161211    6.82
20170104    8.03
20170128    5.89
20170209    5.57
20170221    2.24
20170305    1.72
20170317    0.19
20170329    2.01
20170410    2.88
20170422    0.84
20170504    3.96
20170516   -0.77
20170528    4.17
20170609    2.33
20170703    4.60
20170715    6.48
20170727    5.92
20170808    6.51
20170820    5.18
20170901    6.17
20170913    4.46
20170925    5.46
20171007    5.19
20171019    5.02
20171031    4.82
20171112    4.35
20171124    5.99
20171206    4.61
20171218    5.26
20171230    6.01
20180111    4.45
20180123    6.04
20180204    6.65
20180216    6.33
20180228    7.18
20180312    5.01
20180324    5.16
20180405    2.12
20180417    4.69
20180429    0.04
20180511    2.08
20180523    4.21
20180604    6.55
20180616    5.70
20180628    3.81
20180710    6.93
20180722    7.61
20180803    4.17
20180815    0.93
20180827    4.87
20180908    4.88
20181002    4.39
20181014    4.95
20181026    7.07
20181107    4.18
20181119    2.65
20181201    4.05
20181213    3.05
20181225    1.74
20190106    3.18
20190118    1.85
20190130    4.80
20190211    3.57
20190223    6.69
20190307    6.42
20190331   10.95
20190412   16.95
20190424    7.11
20190506   12.33
20190518   11.96
20190530    6.08
20190611    8.18
20190623    7.54
20190705    5.73
20190717    7.00
20190729   13.49
20190810   10.11
20190822   12.10
20190903   11.97
20190915   12.83
20190927    9.65
20191009   11.07
20191021    9.22
20191102   11.81
20191114    9.49
20191126    9.00
20191208    8.14
20191220    7.07
20200101    8.63
20200125    9.07
20200206    9.27
20200218   10.81
20200301    8.62
20200313    9.51
20200406    8.49
20200418    7.01
20200430    3.90
20200512   -0.12
20200524    2.92
20200605    2.94
20200617    4.45
20200629    4.50
20200723   -5.06
20200804    2.39
20200816    0.20
20200828   -2.47
20200909   -0.28
20200921    5.05
20201003    2.53
20201015    4.07
20201027    4.71
20201108    3.51
20201120    6.96
20201202    6.66
20201214    7.46
20210107    8.75
20210119    7.98
20210131   11.81
20210212   11.64
20210224   11.86
20210308   12.10
20210320   10.55
20210413   11.60
20210425   10.76
20210507   15.66
20210519    8.51
20210531   -2.32
20210612    6.87
20210624    2.44
20210706    3.26
20210718    5.66
20210730    3.47
20210811    7.93
20210823    6.37
20210904    8.69
20210916    7.32
20210928    6.36
20211010    8.63
20211022    8.26
20211103    8.40
20211115    9.71
20211127    9.01
20211209    9.18
20211221    5.46
20220102    9.23
20220114   10.98
20220126    9.59
20220207   11.10
20220219   10.29
20220303   12.73
20220315   17.83
20220327   12.01
20220408    9.35
20220420   13.64
20220502   10.08
20220514   12.08
20220526   11.31
20220607   14.74
20220619   14.35
20220701   15.94
20220713   14.76
20220725   16.51
20220806   16.98
20220818   18.26
20220830   20.02
20220911   16.41
20220923   18.24
20221005   17.44
20221029   15.60
20221110   17.19
20221122   15.11
20221204   14.31
20221216   13.56
20221228   13.66
20230109   12.51
20230121   12.46
20230202   13.67
20230226    6.94
20230310   11.88
20230322    5.76
20230403    6.39
20230415    3.23
20230427    1.55
20230509    2.30
20230521   -3.75
20230602   -1.47
20230614   -3.36
20230626    0.42
20230708    0.73
20230720    0.82
20230801    5.89
20230813    7.93
20230825    5.48
20230906    7.99
20230918    9.81
20230930   10.26
20231012   13.56
20231024   10.02
20231105   12.74
20231117    8.71
20231129    8.42
20231211    8.52
20231223   13.00
20240104   11.45
20240116   11.94
20240209    9.56
20240221   10.49
