# x, y    : 1776, 646
# lat, lon: 36.59600, 59.17455
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.381*t+6.741
20150220    0.00
20150304    0.46
20150328    0.68
20150421   -1.60
20150515    0.94
20150702   10.76
20150726   12.53
20150819   10.39
20151030    8.45
20151123    8.13
20151217    7.43
20160110    4.47
20160203    7.01
20160227    5.93
20160322    0.99
20160415    7.72
20160509    5.82
20160602    7.37
20160720    9.70
20160813    8.02
20160906   10.59
20160930   13.07
20161024   11.92
20161117   12.89
20161211   13.36
20170104   15.56
20170128   13.29
20170209   12.53
20170221    9.78
20170305    7.02
20170317    5.01
20170329    4.76
20170410    5.29
20170422    4.44
20170504    6.53
20170516    2.66
20170528    6.42
20170609    7.27
20170703   10.18
20170715   10.99
20170727   12.57
20170808   12.64
20170820   13.22
20170901   11.20
20170913   10.13
20170925   12.85
20171007   13.43
20171019   11.76
20171031   11.92
20171112   12.22
20171124   14.55
20171206   12.20
20171218   12.37
20171230   12.62
20180111   12.60
20180123   12.35
20180204   12.86
20180216   11.46
20180228   15.90
20180312    9.76
20180324   11.93
20180405    9.95
20180417   11.79
20180429    6.11
20180511   11.29
20180523   12.47
20180604   13.08
20180616   14.34
20180628   14.88
20180710   17.30
20180722   19.20
20180803   15.86
20180815   17.20
20180827   15.88
20180908   15.58
20181002   12.89
20181014   13.70
20181026    6.40
20181107   10.74
20181119    9.74
20181201   10.72
20181213    9.84
20181225   11.13
20190106   12.33
20190118   10.14
20190130   11.45
20190211    9.06
20190223   14.19
20190307   11.53
20190331   16.76
20190412   19.35
20190424   12.04
20190506   13.45
20190518   15.12
20190530   19.66
20190611   12.79
20190623   15.12
20190705   14.78
20190717   14.49
20190729   15.12
20190810   17.68
20190822   18.20
20190903   16.55
20190915   17.29
20190927   14.52
20191009   15.01
20191021   15.49
20191102   12.78
20191114   13.52
20191126   14.30
20191208   16.53
20191220   13.27
20200101   12.73
20200125   14.17
20200206   14.15
20200218   16.13
20200301   15.95
20200313   14.42
20200406   15.44
20200418   15.41
20200430    7.46
20200512    9.27
20200524   12.50
20200605    7.95
20200617   10.35
20200629    6.17
20200723    0.58
20200804    2.11
20200816    4.00
20200828    1.73
20200909    3.74
20200921    3.56
20201003    7.10
20201015    8.12
20201027    9.72
20201108    7.60
20201120   11.58
20201202   11.49
20201214   12.70
20210107   14.73
20210119   14.86
20210131   17.40
20210212   18.18
20210224   16.24
20210308   18.40
20210320   19.18
20210413   17.68
20210425   14.68
20210507   21.39
20210519   13.52
20210531   11.95
20210612   15.36
20210624   11.72
20210706   11.90
20210718   12.26
20210730   14.01
20210811   16.19
20210823   14.21
20210904   18.50
20210916   15.80
20210928   19.57
20211010   17.50
20211022   20.71
20211103   16.34
20211115   18.44
20211127   17.63
20211209   17.51
20211221   15.66
20220102   17.16
20220114   20.65
20220126   18.86
20220207   18.51
20220219   16.70
20220303   18.12
20220315   16.98
20220327   19.44
20220408   15.16
20220420   20.69
20220502   19.65
20220514   24.74
20220526   21.84
20220607   19.96
20220619   19.34
20220701   24.10
20220713   23.15
20220725   20.02
20220806   22.58
20220818   23.83
20220830   24.66
20220911   23.05
20220923   23.47
20221005   24.69
20221029   23.58
20221110   23.22
20221122   21.34
20221204   21.51
20221216   21.01
20221228   19.97
20230109   19.10
20230121   20.03
20230202   16.93
20230226   13.39
20230310   13.89
20230322   13.44
20230403   16.20
20230415   12.24
20230427   12.18
20230509   12.46
20230521    8.71
20230602    5.45
20230614    9.45
20230626   12.47
20230708   10.16
20230720   11.25
20230801   15.17
20230813   18.56
20230825   20.01
20230906   17.72
20230918   19.46
20230930   18.64
20231012   20.68
20231024   18.72
20231105   17.94
20231117   17.54
20231129   17.65
20231211   17.42
20231223   19.02
20240104   17.66
20240116   20.10
20240209   17.94
20240221   18.82
