# x, y    : 1818, 663
# lat, lon: 36.57900, 59.21655
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -8.970*t+0.382
20150220    0.00
20150304   -1.77
20150328   -1.04
20150421   -0.84
20150515   -1.00
20150702   -0.21
20150726    2.83
20150819   -0.94
20151030   -2.48
20151123   -3.44
20151217   -5.02
20160110   -7.05
20160203   -7.19
20160227   -7.79
20160322  -13.31
20160415   -9.67
20160509   -8.65
20160602  -13.29
20160720   -9.72
20160813   -9.94
20160906   -8.44
20160930   -9.22
20161024  -10.34
20161117  -10.38
20161211  -12.00
20170104  -10.17
20170128  -13.05
20170209  -13.88
20170221  -16.91
20170305  -20.01
20170317  -21.96
20170329  -22.31
20170410  -25.34
20170422  -26.19
20170504  -27.01
20170516  -28.93
20170528  -25.24
20170609  -24.66
20170703  -21.18
20170715  -19.51
20170727  -17.79
20170808  -21.72
20170820  -21.76
20170901  -20.34
20170913  -24.35
20170925  -22.31
20171007  -22.30
20171019  -22.83
20171031  -24.83
20171112  -25.12
20171124  -21.04
20171206  -25.09
20171218  -25.94
20171230  -24.71
20180111  -26.73
20180123  -26.60
20180204  -26.09
20180216  -26.39
20180228  -24.11
20180312  -28.23
20180324  -27.84
20180405  -28.55
20180417  -27.04
20180429  -32.26
20180511  -28.26
20180523  -27.10
20180604  -27.04
20180616  -26.52
20180628  -26.75
20180710  -23.24
20180722  -19.90
20180803  -29.25
20180815  -29.16
20180827  -28.93
20180908  -28.47
20181002  -33.49
20181014  -34.10
20181026  -34.68
20181107  -37.13
20181119  -36.48
20181201  -37.13
20181213  -38.76
20181225  -38.58
20190106  -39.19
20190118  -39.42
20190130  -36.78
20190211  -40.56
20190223  -36.05
20190307  -38.58
20190331  -34.39
20190412  -30.84
20190424  -39.85
20190506  -37.81
20190518  -30.18
20190530  -35.05
20190611  -39.32
20190623  -41.09
20190705  -39.34
20190717  -39.72
20190729  -39.65
20190810  -37.05
20190822  -37.49
20190903  -38.39
20190915  -39.41
20190927  -40.54
20191009  -40.40
20191021  -42.26
20191102  -40.40
20191114  -42.95
20191126  -42.95
20191208  -42.58
20191220  -45.40
20200101  -45.21
20200125  -44.46
20200206  -45.40
20200218  -42.87
20200301  -44.59
20200313  -44.58
20200406  -45.30
20200418  -45.37
20200430  -53.41
20200512  -50.31
20200524  -52.73
20200605  -54.00
20200617  -53.62
20200629  -55.53
20200723  -58.38
20200804  -62.26
20200816  -60.42
20200828  -62.75
20200909  -64.46
20200921  -60.60
20201003  -58.49
20201015  -57.61
20201027  -56.38
20201108  -56.95
20201120  -54.69
20201202  -53.52
20201214  -53.86
20210107  -52.01
20210119  -52.37
20210131  -48.57
20210212  -51.83
20210224  -51.71
20210308  -50.40
20210320  -49.78
20210413  -51.95
20210425  -53.33
20210507  -48.82
20210519  -52.44
20210531  -59.11
20210612  -54.82
20210624  -60.00
20210706  -60.26
20210718  -59.85
20210730  -54.84
20210811  -55.01
20210823  -53.12
20210904  -53.04
20210916  -55.28
20210928  -55.16
20211010  -55.32
20211022  -52.60
20211103  -56.38
20211115  -55.94
20211127  -56.20
20211209  -57.58
20211221  -58.09
20220102  -53.80
20220114  -55.45
20220126  -55.97
20220207  -57.94
20220219  -60.04
20220303  -57.24
20220315  -56.75
20220327  -62.07
20220408  -62.65
20220420  -60.64
20220502  -61.99
20220514  -60.10
20220526  -60.23
20220607  -63.11
20220619  -65.40
20220701  -60.14
20220713  -61.50
20220725  -62.63
20220806  -59.23
20220818  -59.38
20220830  -57.19
20220911  -60.24
20220923  -59.99
20221005  -61.82
20221029  -64.38
20221110  -61.50
20221122  -64.29
20221204  -64.82
20221216  -66.53
20221228  -67.53
20230109  -66.79
20230121  -68.27
20230202  -72.39
20230226  -72.01
20230310  -74.45
20230322  -76.56
20230403  -74.48
20230415  -77.75
20230427  -79.57
20230509  -79.81
20230521  -82.76
20230602  -84.44
20230614  -83.96
20230626  -80.55
20230708  -82.18
20230720  -80.50
20230801  -76.22
20230813  -75.68
20230825  -77.26
20230906  -77.00
20230918  -75.56
20230930  -76.24
20231012  -76.21
20231024  -75.61
20231105  -77.92
20231117  -80.29
20231129  -81.61
20231211  -78.35
20231223  -79.29
20240104  -78.83
20240116  -79.84
20240209  -82.14
20240221  -81.23
