# x, y    : 1817, 656
# lat, lon: 36.58600, 59.21555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -13.377*t-1.727
20150220    0.00
20150304   -1.16
20150328   -0.36
20150421   -0.64
20150515   -1.08
20150702    0.36
20150726    0.28
20150819   -4.30
20151030   -6.26
20151123   -8.43
20151217  -10.37
20160110  -13.28
20160203  -13.38
20160227  -14.59
20160322  -20.10
20160415  -15.11
20160509  -16.48
20160602  -19.25
20160720  -17.72
20160813  -19.25
20160906  -18.49
20160930  -18.92
20161024  -20.37
20161117  -21.71
20161211  -21.69
20170104  -19.79
20170128  -23.61
20170209  -24.82
20170221  -28.55
20170305  -31.99
20170317  -34.79
20170329  -34.26
20170410  -36.32
20170422  -38.03
20170504  -36.26
20170516  -45.19
20170528  -37.34
20170609  -37.02
20170703  -34.33
20170715  -32.56
20170727  -30.57
20170808  -36.52
20170820  -36.76
20170901  -35.33
20170913  -38.04
20170925  -37.06
20171007  -36.90
20171019  -36.88
20171031  -40.27
20171112  -39.13
20171124  -33.92
20171206  -39.51
20171218  -41.12
20171230  -39.71
20180111  -40.64
20180123  -41.66
20180204  -41.33
20180216  -41.79
20180228  -38.68
20180312  -43.62
20180324  -43.23
20180405  -44.94
20180417  -43.12
20180429  -48.00
20180511  -47.21
20180523  -43.95
20180604  -43.93
20180616  -43.81
20180628  -45.70
20180710  -40.95
20180722  -36.46
20180803  -45.61
20180815  -46.01
20180827  -48.70
20180908  -47.77
20181002  -52.67
20181014  -53.75
20181026  -51.70
20181107  -56.42
20181119  -56.34
20181201  -56.51
20181213  -58.06
20181225  -58.01
20190106  -58.30
20190118  -60.04
20190130  -56.40
20190211  -59.82
20190223  -58.06
20190307  -60.22
20190331  -54.60
20190412  -51.55
20190424  -60.35
20190506  -56.43
20190518  -51.50
20190530  -56.53
20190611  -59.85
20190623  -64.06
20190705  -61.25
20190717  -61.48
20190729  -56.96
20190810  -58.76
20190822  -60.24
20190903  -61.71
20190915  -63.05
20190927  -63.76
20191009  -64.21
20191021  -65.03
20191102  -63.24
20191114  -66.86
20191126  -66.14
20191208  -65.76
20191220  -69.45
20200101  -69.23
20200125  -68.98
20200206  -69.46
20200218  -67.93
20200301  -70.34
20200313  -69.59
20200406  -70.48
20200418  -71.67
20200430  -77.88
20200512  -75.72
20200524  -77.74
20200605  -79.39
20200617  -79.73
20200629  -81.83
20200723  -85.30
20200804  -86.17
20200816  -87.22
20200828  -90.12
20200909  -93.27
20200921  -88.85
20201003  -86.11
20201015  -85.13
20201027  -83.07
20201108  -84.74
20201120  -82.00
20201202  -81.33
20201214  -80.86
20210107  -79.65
20210119  -80.06
20210131  -77.64
20210212  -79.98
20210224  -79.99
20210308  -79.09
20210320  -78.08
20210413  -80.91
20210425  -81.73
20210507  -76.82
20210519  -82.40
20210531  -86.66
20210612  -85.65
20210624  -89.75
20210706  -88.83
20210718  -89.66
20210730  -85.41
20210811  -85.34
20210823  -84.53
20210904  -81.41
20210916  -86.37
20210928  -86.85
20211010  -86.66
20211022  -85.37
20211103  -87.13
20211115  -86.68
20211127  -87.34
20211209  -88.55
20211221  -88.19
20220102  -85.21
20220114  -88.31
20220126  -88.55
20220207  -89.60
20220219  -91.87
20220303  -91.69
20220315  -89.47
20220327  -94.63
20220408  -93.41
20220420  -92.03
20220502  -94.14
20220514  -93.64
20220526  -94.53
20220607  -98.24
20220619 -102.87
20220701  -92.50
20220713  -96.98
20220725  -97.08
20220806  -95.38
20220818  -95.82
20220830  -93.68
20220911  -97.80
20220923  -96.55
20221005  -98.32
20221029 -100.26
20221110  -97.67
20221122 -101.53
20221204 -101.87
20221216 -103.29
20221228 -104.64
20230109 -103.02
20230121 -105.18
20230202 -108.93
20230226 -108.93
20230310 -110.58
20230322 -114.13
20230403 -112.20
20230415 -116.36
20230427 -118.06
20230509 -117.77
20230521 -120.34
20230602 -120.65
20230614 -122.13
20230626 -118.76
20230708 -120.32
20230720 -120.44
20230801 -115.88
20230813 -114.29
20230825 -116.73
20230906 -116.68
20230918 -115.58
20230930 -115.92
20231012 -117.54
20231024 -116.13
20231105 -118.21
20231117 -120.14
20231129 -121.91
20231211 -118.47
20231223 -120.17
20240104 -119.71
20240116 -121.13
20240209 -122.70
20240221 -121.94
