# x, y    : 1742, 692
# lat, lon: 36.55000, 59.14055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.132*t+3.787
20150220    0.00
20150304    0.13
20150328    0.49
20150421   -2.92
20150515    0.31
20150702    9.76
20150726    6.74
20150819    2.92
20151030    7.33
20151123    5.35
20151217    4.57
20160110    1.55
20160203    4.64
20160227    3.35
20160322    0.59
20160415    4.91
20160509    1.48
20160602    5.10
20160720    5.47
20160813    8.62
20160906   10.28
20160930   12.16
20161024   11.78
20161117   12.25
20161211   11.33
20170104   12.88
20170128   10.54
20170209   10.62
20170221    9.04
20170305    6.73
20170317    7.65
20170329    5.98
20170410    8.11
20170422    5.86
20170504    7.79
20170516    2.48
20170528    5.11
20170609    5.67
20170703    9.71
20170715    9.92
20170727    9.43
20170808    9.57
20170820   10.64
20170901   10.54
20170913    9.66
20170925   10.20
20171007   10.80
20171019   10.23
20171031   10.33
20171112    8.81
20171124    8.89
20171206   10.29
20171218    9.89
20171230   11.73
20180111    9.08
20180123   11.10
20180204   12.46
20180216   11.26
20180228   13.31
20180312    9.60
20180324    9.31
20180405    7.94
20180417    9.73
20180429    6.64
20180511    8.48
20180523   10.43
20180604   11.55
20180616   10.14
20180628    8.30
20180710   12.89
20180722   12.63
20180803   11.05
20180815   10.47
20180827   10.37
20180908   11.08
20181002   10.17
20181014   11.20
20181026   15.44
20181107   10.80
20181119    9.18
20181201   10.54
20181213    9.47
20181225   10.55
20190106    8.08
20190118    9.72
20190130   11.30
20190211   10.07
20190223   12.89
20190307   12.40
20190331   16.24
20190412   25.11
20190424   14.34
20190506   18.25
20190518   18.00
20190530   14.26
20190611   14.09
20190623   12.98
20190705   13.11
20190717   13.76
20190729   16.45
20190810   17.49
20190822   18.39
20190903   16.90
20190915   18.51
20190927   17.43
20191009   18.48
20191021   16.50
20191102   17.43
20191114   17.63
20191126   16.46
20191208   16.39
20191220   15.75
20200101   16.31
20200125   16.95
20200206   17.92
20200218   19.02
20200301   18.92
20200313   18.72
20200406   18.14
20200418   16.20
20200430   12.70
20200512   13.75
20200524   11.38
20200605    8.05
20200617   10.62
20200629    9.16
20200723    3.44
20200804    7.50
20200816    9.30
20200828    5.87
20200909    7.37
20200921   10.53
20201003   11.40
20201015   11.82
20201027   13.24
20201108   12.62
20201120   14.43
20201202   14.79
20201214   15.91
20210107   17.44
20210119   16.30
20210131   20.20
20210212   21.94
20210224   20.44
20210308   21.63
20210320   19.23
20210413   18.00
20210425   17.96
20210507   23.48
20210519   15.14
20210531   11.03
20210612   15.23
20210624   13.55
20210706   12.33
20210718   14.80
20210730   11.76
20210811   15.55
20210823   13.16
20210904   16.95
20210916   15.99
20210928   14.83
20211010   17.43
20211022   17.28
20211103   17.15
20211115   19.02
20211127   18.39
20211209   18.21
20211221   14.42
20220102   18.87
20220114   20.34
20220126   18.72
20220207   21.55
20220219   21.25
20220303   20.99
20220315   24.29
20220327   22.17
20220408   20.08
20220420   21.97
20220502   20.32
20220514   24.76
20220526   23.08
20220607   22.50
20220619   27.43
20220701   25.90
20220713   23.45
20220725   25.23
20220806   26.96
20220818   26.96
20220830   28.78
20220911   25.84
20220923   26.78
20221005   26.66
20221029   26.17
20221110   26.92
20221122   25.52
20221204   24.33
20221216   24.09
20221228   23.70
20230109   22.44
20230121   23.09
20230202   22.79
20230226   19.16
20230310   20.78
20230322   17.27
20230403   16.32
20230415   15.40
20230427   13.62
20230509   13.49
20230521    9.55
20230602   10.58
20230614   10.66
20230626   12.41
20230708   10.89
20230720   11.87
20230801   17.43
20230813   18.88
20230825   19.97
20230906   19.98
20230918   21.72
20230930   22.13
20231012   21.63
20231024   21.75
20231105   23.72
20231117   20.81
20231129   21.15
20231211   23.71
20231223   24.99
20240104   23.86
20240116   23.69
20240209   23.30
20240221   24.23
