# x, y    : 1771, 642
# lat, lon: 36.60000, 59.16955
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 0.470*t+7.819
20150220    0.00
20150304    0.90
20150328    1.63
20150421   -2.11
20150515    0.24
20150702   10.90
20150726   13.54
20150819   10.18
20151030    8.85
20151123    8.26
20151217    7.16
20160110    3.92
20160203    6.63
20160227    5.81
20160322    1.09
20160415    7.51
20160509    4.98
20160602    6.73
20160720    8.38
20160813    7.57
20160906    9.08
20160930   12.08
20161024   11.26
20161117   12.51
20161211   12.36
20170104   16.32
20170128   12.89
20170209   11.64
20170221   10.92
20170305    7.07
20170317    5.31
20170329    4.60
20170410    5.03
20170422    3.34
20170504    6.61
20170516    1.36
20170528    6.68
20170609    6.85
20170703    9.03
20170715   10.15
20170727   11.38
20170808   11.75
20170820   11.03
20170901    9.73
20170913    9.29
20170925   11.19
20171007   11.79
20171019   10.38
20171031   10.29
20171112   11.29
20171124    9.67
20171206   10.69
20171218   11.20
20171230   11.36
20180111   11.32
20180123   10.92
20180204   11.45
20180216   10.35
20180228   14.60
20180312    9.28
20180324   10.32
20180405    8.71
20180417   10.02
20180429    4.03
20180511   10.47
20180523   10.38
20180604   10.76
20180616   12.25
20180628   13.47
20180710   18.63
20180722   16.62
20180803   13.71
20180815   14.91
20180827   13.65
20180908   13.51
20181002   10.64
20181014   10.92
20181026    7.62
20181107    8.00
20181119    8.50
20181201    8.84
20181213    8.00
20181225    8.68
20190106   10.40
20190118    7.56
20190130    9.09
20190211    7.17
20190223   12.04
20190307    9.21
20190331   14.21
20190412   17.18
20190424    9.61
20190506   10.59
20190518   12.36
20190530   13.99
20190611    9.81
20190623   11.72
20190705   12.02
20190717   12.25
20190729   11.50
20190810   13.91
20190822   15.78
20190903   14.36
20190915   14.46
20190927   12.50
20191009   12.30
20191021   12.25
20191102    9.11
20191114   11.25
20191126   11.14
20191208   14.40
20191220   10.47
20200101   10.17
20200125   10.95
20200206   11.33
20200218   13.32
20200301   13.58
20200313   12.00
20200406   11.77
20200418   11.71
20200430    3.95
20200512    5.72
20200524    7.47
20200605    4.23
20200617    6.47
20200629    1.78
20200723   -0.64
20200804   -2.01
20200816    0.68
20200828   -1.98
20200909    0.30
20200921   -1.16
20201003    3.15
20201015    4.02
20201027    5.48
20201108    3.65
20201120    7.46
20201202    7.05
20201214    8.30
20210107   10.24
20210119   10.42
20210131   12.64
20210212   13.80
20210224   11.98
20210308   13.86
20210320   14.94
20210413   12.71
20210425    9.57
20210507   15.38
20210519   10.16
20210531    8.03
20210612   10.05
20210624    6.59
20210706    6.99
20210718    7.09
20210730    9.02
20210811   11.32
20210823    8.96
20210904   14.27
20210916   10.50
20210928   14.27
20211010   12.04
20211022   14.95
20211103   10.57
20211115   12.61
20211127   12.27
20211209   11.94
20211221    7.11
20220102   11.97
20220114   14.37
20220126   13.82
20220207   13.55
20220219   10.98
20220303   13.57
20220315   12.97
20220327   14.00
20220408   10.01
20220420   15.03
20220502   12.69
20220514   18.46
20220526   15.26
20220607   13.91
20220619   12.78
20220701   18.67
20220713   17.14
20220725   14.83
20220806   17.06
20220818   18.46
20220830   18.62
20220911   17.58
20220923   17.64
20221005   18.53
20221029   17.13
20221110   16.78
20221122   15.60
20221204   14.83
20221216   14.75
20221228   13.62
20230109   13.23
20230121   13.86
20230202   11.06
20230226    7.36
20230310    8.70
20230322    8.77
20230403    9.36
20230415    6.43
20230427    5.93
20230509    5.99
20230521    1.94
20230602    1.78
20230614    2.22
20230626    6.07
20230708    3.08
20230720    4.11
20230801    8.94
20230813   11.62
20230825   13.16
20230906   10.10
20230918   12.37
20230930   11.93
20231012   13.21
20231024   11.81
20231105   11.21
20231117   10.30
20231129   10.32
20231211    9.79
20231223   11.12
20240104   11.64
20240116   13.76
20240209   11.50
20240221   11.93
