# x, y    : 1807, 656
# lat, lon: 36.58600, 59.20555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -4.067*t+2.741
20150220    0.00
20150304   -0.60
20150328    0.78
20150421   -0.29
20150515    0.04
20150702    9.29
20150726    5.51
20150819    2.33
20151030    2.29
20151123    1.64
20151217    0.31
20160110   -1.72
20160203   -1.56
20160227   -2.31
20160322   -7.06
20160415   -1.95
20160509   -2.94
20160602   -0.26
20160720   -3.57
20160813   -2.40
20160906    0.08
20160930   -0.21
20161024    0.36
20161117   -0.29
20161211    0.12
20170104    3.21
20170128   -1.11
20170209   -2.23
20170221   -5.37
20170305   -8.07
20170317  -10.48
20170329  -10.77
20170410  -12.62
20170422  -13.62
20170504   -8.70
20170516  -17.09
20170528  -12.78
20170609  -10.80
20170703   -7.59
20170715   -5.64
20170727   -3.56
20170808   -7.38
20170820   -8.01
20170901   -6.45
20170913   -9.09
20170925   -6.46
20171007   -6.36
20171019   -6.58
20171031   -7.97
20171112   -8.18
20171124   -3.03
20171206   -8.45
20171218   -9.30
20171230   -7.96
20180111   -9.32
20180123   -9.00
20180204   -8.15
20180216   -8.82
20180228   -5.68
20180312  -10.73
20180324  -10.68
20180405  -10.98
20180417   -8.56
20180429  -15.75
20180511  -10.24
20180523   -8.31
20180604   -8.68
20180616   -7.56
20180628   -9.62
20180710   -5.70
20180722    0.64
20180803   -7.99
20180815   -8.16
20180827   -9.65
20180908   -8.23
20181002  -12.60
20181014  -13.72
20181026  -13.33
20181107  -15.14
20181119  -14.98
20181201  -14.85
20181213  -16.11
20181225  -15.90
20190106  -15.71
20190118  -16.28
20190130  -15.03
20190211  -17.26
20190223  -14.23
20190307  -15.15
20190331  -10.23
20190412   -7.86
20190424  -15.99
20190506  -12.88
20190518   -9.57
20190530  -11.06
20190611  -13.46
20190623  -14.97
20190705  -14.63
20190717  -14.55
20190729  -14.19
20190810  -10.32
20190822  -12.51
20190903  -13.83
20190915  -12.91
20190927  -13.85
20191009  -15.57
20191021  -15.15
20191102  -14.91
20191114  -16.48
20191126  -15.90
20191208  -15.45
20191220  -18.29
20200101  -17.55
20200125  -17.29
20200206  -17.56
20200218  -15.52
20200301  -17.51
20200313  -16.50
20200406  -17.36
20200418  -17.33
20200430  -25.51
20200512  -23.18
20200524  -24.34
20200605  -26.37
20200617  -25.81
20200629  -26.56
20200723  -36.48
20200804  -29.06
20200816  -30.27
20200828  -32.57
20200909  -33.76
20200921  -30.55
20201003  -28.35
20201015  -26.49
20201027  -25.22
20201108  -27.27
20201120  -23.26
20201202  -22.64
20201214  -22.45
20210107  -20.26
20210119  -20.92
20210131  -18.56
20210212  -20.01
20210224  -20.40
20210308  -19.12
20210320  -18.34
20210413  -19.42
20210425  -21.95
20210507  -15.92
20210519  -25.00
20210531  -25.65
20210612  -22.45
20210624  -26.60
20210706  -25.30
20210718  -25.58
20210730  -22.50
20210811  -21.87
20210823  -21.78
20210904  -19.22
20210916  -22.07
20210928  -21.15
20211010  -21.05
20211022  -19.06
20211103  -22.51
20211115  -20.64
20211127  -21.08
20211209  -22.14
20211221  -23.22
20220102  -19.38
20220114  -20.52
20220126  -20.77
20220207  -22.64
20220219  -24.95
20220303  -21.81
20220315  -21.59
20220327  -25.93
20220408  -25.44
20220420  -22.48
20220502  -25.36
20220514  -24.26
20220526  -23.20
20220607  -25.49
20220619  -31.56
20220701  -20.73
20220713  -24.57
20220725  -24.35
20220806  -22.04
20220818  -21.68
20220830  -18.54
20220911  -22.68
20220923  -21.14
20221005  -21.73
20221029  -23.27
20221110  -21.97
20221122  -24.79
20221204  -25.09
20221216  -26.09
20221228  -27.24
20230109  -25.92
20230121  -27.48
20230202  -31.25
20230226  -32.16
20230310  -33.15
20230322  -35.33
20230403  -32.79
20230415  -37.24
20230427  -37.79
20230509  -36.36
20230521  -39.24
20230602  -39.36
20230614  -42.18
20230626  -38.26
20230708  -37.62
20230720  -37.37
20230801  -32.98
20230813  -30.99
20230825  -32.30
20230906  -31.02
20230918  -30.68
20230930  -30.23
20231012  -33.09
20231024  -29.25
20231105  -31.41
20231117  -33.95
20231129  -34.36
20231211  -31.76
20231223  -32.18
20240104  -31.96
20240116  -32.33
20240209  -33.34
20240221  -33.25
