# x, y    : 1774, 667
# lat, lon: 36.57500, 59.17255
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.831*t-0.555
20150220    0.00
20150304   -6.39
20150328   -5.54
20150421   -4.54
20150515   -6.50
20150702    2.74
20150726    3.06
20150819    0.50
20151030    1.63
20151123    1.16
20151217    0.55
20160110    0.46
20160203    0.20
20160227   -1.16
20160322   -5.49
20160415    0.87
20160509   -0.75
20160602    1.76
20160720    1.06
20160813    1.95
20160906    7.13
20160930    5.57
20161024    6.12
20161117    6.76
20161211    5.84
20170104    6.35
20170128    4.14
20170209    4.45
20170221    2.80
20170305    0.25
20170317   -4.15
20170329   -2.28
20170410   -1.27
20170422   -1.91
20170504   -4.80
20170516    0.20
20170528   -0.83
20170609    1.38
20170703    2.70
20170715    3.51
20170727    4.27
20170808    7.14
20170820    4.55
20170901    7.73
20170913    4.73
20170925    5.90
20171007    5.66
20171019    5.68
20171031    6.74
20171112    6.94
20171124    8.11
20171206    7.22
20171218    9.35
20171230    6.62
20180111    9.12
20180123    7.00
20180204    7.08
20180216    6.13
20180228    9.31
20180312    5.41
20180324    5.37
20180405    3.59
20180417    4.85
20180429    0.47
20180511    6.11
20180523    5.65
20180604    6.11
20180616    6.20
20180628    7.27
20180710    7.23
20180722   11.87
20180803    6.26
20180815    6.26
20180827    7.26
20180908    8.16
20181002    6.18
20181014    6.44
20181026    1.43
20181107    5.20
20181119    3.55
20181201    4.54
20181213    4.05
20181225    4.44
20190106    3.91
20190118    4.70
20190130    5.36
20190211    2.75
20190223    7.71
20190307    6.03
20190331   10.74
20190412   14.80
20190424    7.54
20190506    9.17
20190518   10.93
20190530   10.76
20190611   10.11
20190623    7.25
20190705    8.11
20190717   10.71
20190729   13.35
20190810   12.27
20190822   14.67
20190903   10.58
20190915   14.42
20190927   11.88
20191009   12.67
20191021   11.30
20191102   10.38
20191114   10.03
20191126    9.25
20191208   11.75
20191220    8.91
20200101    8.94
20200125    8.66
20200206    9.19
20200218   11.20
20200301   12.02
20200313    8.21
20200406   10.05
20200418   10.90
20200430    6.66
20200512    6.62
20200524    6.68
20200605    6.33
20200617    5.80
20200629    5.36
20200723   -3.19
20200804   -1.46
20200816   -0.83
20200828   -1.15
20200909    2.41
20200921    3.30
20201003    3.59
20201015    4.76
20201027    6.68
20201108    4.20
20201120    7.94
20201202    8.99
20201214    8.75
20210107   10.13
20210119   10.90
20210131   11.52
20210212   12.22
20210224   12.94
20210308   13.87
20210320   12.08
20210413   12.93
20210425   12.13
20210507   16.71
20210519   11.99
20210531    3.72
20210612    6.03
20210624    8.07
20210706    8.16
20210718   10.43
20210730    8.97
20210811   12.44
20210823   11.91
20210904   14.42
20210916   11.88
20210928   12.01
20211010   13.62
20211022   15.11
20211103   12.68
20211115   14.14
20211127   13.02
20211209   12.86
20211221   14.18
20220102   13.24
20220114   15.80
20220126    9.32
20220207   14.12
20220219   12.25
20220303    8.20
20220315   15.03
20220327   11.89
20220408   11.66
20220420   13.47
20220502   14.18
20220514   15.72
20220526   14.33
20220607   15.39
20220619   18.25
20220701   16.02
20220713   17.85
20220725   20.09
20220806   19.31
20220818   19.92
20220830   21.86
20220911   19.79
20220923   20.15
20221005   20.02
20221029   19.31
20221110   20.08
20221122   19.83
20221204   17.98
20221216   18.49
20221228   16.68
20230109   16.22
20230121   15.56
20230202   12.18
20230226    8.62
20230310   13.21
20230322    9.49
20230403   10.24
20230415    8.25
20230427    7.13
20230509    7.77
20230521    4.81
20230602    4.53
20230614    4.32
20230626    8.59
20230708    5.13
20230720    7.03
20230801   12.46
20230813   13.87
20230825   14.49
20230906   14.53
20230918   16.22
20230930   14.89
20231012   14.98
20231024   15.79
20231105   16.66
20231117   16.82
20231129   15.32
20231211   15.52
20231223   16.51
20240104   14.89
20240116   15.46
20240209   15.34
20240221   15.60
