# x, y    : 1780, 635
# lat, lon: 36.60700, 59.17855
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: -6.726*t+9.995
20150220    0.00
20150304   -0.28
20150328    0.10
20150421   -2.74
20150515   -1.48
20150702    7.96
20150726    8.46
20150819    6.23
20151030    4.79
20151123    3.44
20151217    1.19
20160110   -2.04
20160203    0.08
20160227   -0.27
20160322   -5.02
20160415   -3.88
20160509   -3.88
20160602    2.43
20160720   -0.14
20160813   -1.90
20160906   -0.00
20160930    3.28
20161024    2.23
20161117    0.96
20161211    1.75
20170104    3.24
20170128    3.50
20170209    0.52
20170221   -2.18
20170305   -4.91
20170317   -6.59
20170329   -6.60
20170410   -8.85
20170422   -9.79
20170504  -11.21
20170516  -16.65
20170528  -11.35
20170609   -9.56
20170703   -5.35
20170715   -5.00
20170727   -4.00
20170808   -5.00
20170820   -4.61
20170901   -4.55
20170913   -4.65
20170925   -4.52
20171007   -3.17
20171019   -3.83
20171031   -4.22
20171112   -6.09
20171124   -6.92
20171206   -6.33
20171218   -4.95
20171230   -5.86
20180111   -7.66
20180123   -6.79
20180204   -5.59
20180216   -6.90
20180228   -3.17
20180312  -12.23
20180324   -7.24
20180405   -9.91
20180417   -9.48
20180429  -14.00
20180511   -9.31
20180523   -9.43
20180604   -6.13
20180616   -7.79
20180628   -8.38
20180710   -3.44
20180722   -1.95
20180803   -6.26
20180815   -6.45
20180827   -9.72
20180908   -7.82
20181002  -11.95
20181014  -11.21
20181026  -10.72
20181107  -14.84
20181119  -13.95
20181201  -15.22
20181213  -16.05
20181225  -15.31
20190106  -17.62
20190118  -18.35
20190130  -16.52
20190211  -17.88
20190223  -15.15
20190307  -17.62
20190331  -13.46
20190412  -10.66
20190424  -18.07
20190506  -15.42
20190518  -14.35
20190530  -18.35
20190611  -17.80
20190623  -19.19
20190705  -17.53
20190717  -17.37
20190729  -14.32
20190810  -16.41
20190822  -13.14
20190903  -15.91
20190915  -14.92
20190927  -16.96
20191009  -18.30
20191021  -18.46
20191102  -21.22
20191114  -20.30
20191126  -19.16
20191208  -17.90
20191220  -21.50
20200101  -20.97
20200125  -21.59
20200206  -22.20
20200218  -20.14
20200301  -19.93
20200313  -21.76
20200406  -22.99
20200418  -23.15
20200430  -30.91
20200512  -26.94
20200524  -29.34
20200605  -32.46
20200617  -30.64
20200629  -34.32
20200723  -36.39
20200804  -40.39
20200816  -37.70
20200828  -39.52
20200909  -38.84
20200921  -38.22
20201003  -35.48
20201015  -34.71
20201027  -33.28
20201108  -34.37
20201120  -31.44
20201202  -31.53
20201214  -30.99
20210107  -29.88
20210119  -29.69
20210131  -31.69
20210212  -29.01
20210224  -30.06
20210308  -27.97
20210320  -27.83
20210413  -28.66
20210425  -31.38
20210507  -25.86
20210519  -31.99
20210531  -31.63
20210612  -35.57
20210624  -38.06
20210706  -38.61
20210718  -37.23
20210730  -34.65
20210811  -34.53
20210823  -35.85
20210904  -32.58
20210916  -34.02
20210928  -33.20
20211010  -33.80
20211022  -31.97
20211103  -35.22
20211115  -33.84
20211127  -34.14
20211209  -35.18
20211221  -39.66
20220102  -32.53
20220114  -34.18
20220126  -35.42
20220207  -36.92
20220219  -38.97
20220303  -35.61
20220315  -33.99
20220327  -39.23
20220408  -41.52
20220420  -37.26
20220502  -37.45
20220514  -36.77
20220526  -34.25
20220607  -35.33
20220619  -37.82
20220701  -34.38
20220713  -35.61
20220725  -35.85
20220806  -33.18
20220818  -33.13
20220830  -32.69
20220911  -33.61
20220923  -34.20
20221005  -32.94
20221029  -34.67
20221110  -34.90
20221122  -36.19
20221204  -37.55
20221216  -38.55
20221228  -39.05
20230109  -39.50
20230121  -39.56
20230202  -40.45
20230226  -44.12
20230310  -45.99
20230322  -45.98
20230403  -47.51
20230415  -49.93
20230427  -51.20
20230509  -52.05
20230521  -55.23
20230602  -54.90
20230614  -56.62
20230626  -51.67
20230708  -54.40
20230720  -55.35
20230801  -49.53
20230813  -48.16
20230825  -47.82
20230906  -50.16
20230918  -48.01
20230930  -48.74
20231012  -48.44
20231024  -49.99
20231105  -48.94
20231117  -52.44
20231129  -52.72
20231211  -53.03
20231223  -53.01
20240104  -50.81
20240116  -49.56
20240209  -52.64
20240221  -51.70
