# x, y    : 1754, 708
# lat, lon: 36.53400, 59.15255
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.404*t+3.197
20150220    0.00
20150304   -1.99
20150328   -2.20
20150421   -2.57
20150515    2.22
20150702    5.14
20150726    5.10
20150819    2.39
20151030    6.20
20151123    4.58
20151217    4.09
20160110    2.35
20160203    3.49
20160227    2.46
20160322   -0.49
20160415    3.35
20160509    0.95
20160602    4.31
20160720    6.74
20160813    9.54
20160906   10.32
20160930   13.23
20161024   11.83
20161117   10.64
20161211   12.09
20170104   12.68
20170128   11.45
20170209   10.16
20170221    8.61
20170305    6.97
20170317    7.41
20170329    8.02
20170410    8.33
20170422    5.24
20170504    9.56
20170516    6.60
20170528    2.54
20170609    7.41
20170703   10.11
20170715   11.62
20170727    9.05
20170808   10.69
20170820   10.56
20170901   10.53
20170913   10.75
20170925   11.02
20171007   11.37
20171019   10.39
20171031   10.43
20171112   12.87
20171124   12.37
20171206   10.75
20171218   10.60
20171230   12.29
20180111   10.45
20180123   11.30
20180204   12.70
20180216   12.23
20180228   14.25
20180312   10.05
20180324   10.20
20180405    8.99
20180417   11.00
20180429    6.68
20180511    9.20
20180523   10.15
20180604   11.66
20180616   10.86
20180628   12.84
20180710   12.73
20180722   10.27
20180803   12.77
20180815   11.71
20180827   10.32
20180908   11.87
20181002   11.02
20181014   10.89
20181026   14.94
20181107   10.11
20181119   10.63
20181201   10.99
20181213    9.13
20181225   14.14
20190106    9.80
20190118   10.92
20190130   12.02
20190211   10.56
20190223   13.63
20190307   13.36
20190331   17.65
20190412   21.13
20190424   10.86
20190506   16.66
20190518   18.33
20190530   17.44
20190611   13.56
20190623   13.37
20190705   13.81
20190717   12.05
20190729   16.34
20190810   17.51
20190822   15.24
20190903   15.25
20190915   17.41
20190927   15.81
20191009   16.55
20191021   14.74
20191102   18.92
20191114   16.00
20191126   15.75
20191208   16.52
20191220   15.37
20200101   15.43
20200125   15.89
20200206   16.01
20200218   17.77
20200301   19.48
20200313   16.83
20200406   16.61
20200418   18.72
20200430   11.64
20200512   12.10
20200524    8.75
20200605   11.21
20200617   10.27
20200629   10.07
20200723    7.10
20200804    2.70
20200816   10.62
20200828    6.95
20200909    9.79
20200921   10.33
20201003   11.25
20201015   12.40
20201027   13.42
20201108   13.76
20201120   16.12
20201202   16.11
20201214   16.50
20210107   18.08
20210119   17.18
20210131   19.60
20210212   20.99
20210224   22.00
20210308   22.36
20210320   22.39
20210413   21.45
20210425   19.09
20210507   26.53
20210519   19.62
20210531   21.71
20210612   15.45
20210624   15.35
20210706   15.89
20210718   15.56
20210730   18.02
20210811   17.78
20210823   16.52
20210904   20.62
20210916   18.73
20210928   18.10
20211010   19.65
20211022   19.74
20211103   19.69
20211115   20.50
20211127   21.32
20211209   22.23
20211221   16.14
20220102   21.42
20220114   21.47
20220126   20.78
20220207   22.87
20220219   19.49
20220303   21.00
20220315   20.33
20220327   22.35
20220408   21.25
20220420   23.77
20220502   20.49
20220514   21.48
20220526   21.25
20220607   21.79
20220619   20.12
20220701   26.90
20220713   26.68
20220725   28.89
20220806   29.74
20220818   30.03
20220830   31.44
20220911   31.07
20220923   28.73
20221005   29.55
20221029   28.59
20221110   28.59
20221122   26.44
20221204   26.86
20221216   27.14
20221228   25.89
20230109   26.19
20230121   25.32
20230202   22.36
20230226   20.87
20230310   26.14
20230322   19.85
20230403   20.32
20230415   17.12
20230427   16.34
20230509   18.90
20230521   13.24
20230602   11.62
20230614   12.67
20230626   13.71
20230708   12.87
20230720   13.19
20230801   17.22
20230813   20.87
20230825   20.80
20230906   19.52
20230918   22.77
20230930   23.59
20231012   23.63
20231024   23.25
20231105   23.95
20231117   22.88
20231129   23.23
20231211   23.45
20231223   23.98
20240104   24.39
20240116   24.59
20240209   24.97
20240221   24.62
