# x, y    : 1767, 669
# lat, lon: 36.57300, 59.16555
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.841*t-0.481
20150220    0.00
20150304   -5.54
20150328   -5.22
20150421   -4.81
20150515   -6.94
20150702    2.66
20150726    2.38
20150819    0.62
20151030    1.53
20151123    1.31
20151217    0.73
20160110    0.88
20160203   -0.79
20160227   -0.91
20160322   -5.30
20160415    1.56
20160509   -0.61
20160602    1.17
20160720    1.42
20160813    2.29
20160906    7.16
20160930    6.05
20161024    6.58
20161117    7.64
20161211    5.89
20170104    7.13
20170128    4.73
20170209    4.53
20170221    3.02
20170305    0.66
20170317   -4.27
20170329   -2.31
20170410   -0.43
20170422   -1.45
20170504   -4.17
20170516   -1.56
20170528    0.47
20170609    2.17
20170703    3.92
20170715    3.89
20170727    4.03
20170808    6.52
20170820    4.60
20170901    8.03
20170913    5.91
20170925    6.07
20171007    5.36
20171019    5.93
20171031    6.61
20171112    6.96
20171124    7.84
20171206    7.15
20171218    8.75
20171230    6.72
20180111    9.90
20180123    7.13
20180204    7.18
20180216    6.78
20180228    9.47
20180312    4.64
20180324    4.91
20180405    4.97
20180417    4.91
20180429    1.37
20180511    5.02
20180523    4.91
20180604    6.49
20180616    7.07
20180628    7.60
20180710    7.57
20180722   10.61
20180803    6.06
20180815    4.91
20180827    6.29
20180908    7.47
20181002    5.45
20181014    5.79
20181026    2.86
20181107    4.77
20181119    3.13
20181201    4.37
20181213    4.41
20181225    5.01
20190106    3.24
20190118    4.78
20190130    5.48
20190211    3.16
20190223    7.51
20190307    6.29
20190331   11.25
20190412   15.86
20190424    7.61
20190506    9.66
20190518   11.06
20190530   12.68
20190611    9.51
20190623    7.01
20190705    7.86
20190717    9.07
20190729   11.57
20190810   12.34
20190822   13.45
20190903   10.71
20190915   14.87
20190927   11.09
20191009   12.40
20191021   11.15
20191102    9.89
20191114   10.05
20191126    8.99
20191208   11.39
20191220    8.78
20200101    9.13
20200125    8.59
20200206    9.51
20200218   10.93
20200301   11.01
20200313    8.61
20200406   10.28
20200418   10.96
20200430    8.70
20200512    6.93
20200524    7.02
20200605    7.11
20200617    6.22
20200629    5.29
20200723   -2.64
20200804   -2.07
20200816    0.01
20200828   -0.95
20200909   -0.24
20200921    4.11
20201003    4.36
20201015    4.89
20201027    6.64
20201108    4.20
20201120    8.24
20201202    9.50
20201214    9.17
20210107   10.73
20210119   11.84
20210131   12.19
20210212   13.15
20210224   13.29
20210308   14.60
20210320   12.27
20210413   13.23
20210425   12.44
20210507   16.56
20210519   11.73
20210531    3.68
20210612    7.54
20210624    8.77
20210706    8.22
20210718   10.81
20210730    8.07
20210811   12.87
20210823   11.67
20210904   13.74
20210916   12.27
20210928   11.20
20211010   13.69
20211022   14.17
20211103   13.33
20211115   14.28
20211127   13.14
20211209   13.01
20211221   13.90
20220102   13.57
20220114   15.63
20220126   10.35
20220207   14.85
20220219   12.88
20220303    9.81
20220315   16.90
20220327   13.08
20220408   12.56
20220420   13.37
20220502   14.53
20220514   15.21
20220526   15.60
20220607   15.97
20220619   24.05
20220701   16.51
20220713   18.34
20220725   19.35
20220806   20.02
20220818   19.56
20220830   21.95
20220911   19.88
20220923   20.35
20221005   19.89
20221029   19.21
20221110   20.77
20221122   19.81
20221204   17.99
20221216   18.14
20221228   17.08
20230109   16.30
20230121   15.71
20230202   12.61
20230226   10.21
20230310   15.06
20230322   10.44
20230403    9.76
20230415    8.54
20230427    7.17
20230509    7.71
20230521    4.99
20230602    3.89
20230614    3.30
20230626    7.66
20230708    4.21
20230720    6.26
20230801   12.24
20230813   14.00
20230825   14.26
20230906   14.12
20230918   16.20
20230930   15.01
20231012   15.29
20231024   15.14
20231105   16.83
20231117   15.90
20231129   15.27
20231211   15.71
20231223   15.80
20240104   15.33
20240116   15.73
20240209   15.25
20240221   14.97
