# x, y    : 1751, 693
# lat, lon: 36.54900, 59.14955
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 3.109*t+1.889
20150220    0.00
20150304   -0.68
20150328    0.19
20150421   -4.05
20150515   -0.54
20150702    8.52
20150726    4.94
20150819   -0.21
20151030    6.40
20151123    4.41
20151217    3.85
20160110    2.04
20160203    4.41
20160227    2.91
20160322    0.76
20160415    2.03
20160509    1.81
20160602    5.63
20160720    4.23
20160813    9.87
20160906    9.75
20160930   12.08
20161024   11.43
20161117   11.74
20161211   11.35
20170104   12.25
20170128   10.33
20170209   10.04
20170221    9.94
20170305    6.81
20170317    7.13
20170329    6.32
20170410    7.60
20170422    6.52
20170504   10.69
20170516   -1.61
20170528    6.27
20170609    7.36
20170703   10.73
20170715   11.76
20170727   10.20
20170808   10.59
20170820   12.74
20170901   11.67
20170913   10.78
20170925   10.97
20171007   11.93
20171019   11.17
20171031   11.44
20171112    9.40
20171124    9.47
20171206   10.98
20171218   10.93
20171230   12.58
20180111   11.03
20180123   12.03
20180204   13.44
20180216   12.63
20180228   14.54
20180312    9.98
20180324   10.82
20180405    9.48
20180417   11.09
20180429    7.07
20180511   10.58
20180523   11.67
20180604   10.96
20180616   11.01
20180628    8.63
20180710   13.48
20180722   13.43
20180803   11.61
20180815    9.90
20180827   12.14
20180908   11.98
20181002   11.23
20181014   11.43
20181026   17.58
20181107   11.13
20181119   11.14
20181201   11.76
20181213   10.86
20181225   12.95
20190106   10.06
20190118   11.47
20190130   13.20
20190211   11.82
20190223   14.58
20190307   13.66
20190331   18.19
20190412   25.33
20190424   15.61
20190506   20.03
20190518   20.07
20190530   15.35
20190611   15.92
20190623   14.70
20190705   14.76
20190717   15.38
20190729   18.06
20190810   19.57
20190822   18.79
20190903   18.20
20190915   19.60
20190927   18.68
20191009   20.20
20191021   17.95
20191102   19.62
20191114   18.98
20191126   18.04
20191208   18.54
20191220   17.52
20200101   18.27
20200125   18.88
20200206   20.05
20200218   21.51
20200301   21.46
20200313   21.17
20200406   21.02
20200418   19.26
20200430   15.11
20200512   15.95
20200524   13.82
20200605   11.81
20200617   14.57
20200629   12.72
20200723   10.07
20200804    8.47
20200816   12.97
20200828    9.12
20200909   11.66
20200921   13.74
20201003   14.39
20201015   15.45
20201027   16.24
20201108   16.31
20201120   18.00
20201202   18.76
20201214   19.64
20210107   21.55
20210119   20.77
20210131   24.35
20210212   24.88
20210224   25.17
20210308   25.27
20210320   24.98
20210413   22.73
20210425   22.56
20210507   25.72
20210519   21.81
20210531   15.69
20210612   20.12
20210624   18.95
20210706   16.75
20210718   19.73
20210730   18.30
20210811   20.83
20210823   18.79
20210904   22.40
20210916   20.80
20210928   19.01
20211010   22.71
20211022   22.46
20211103   22.07
20211115   23.94
20211127   24.04
20211209   23.67
20211221   20.05
20220102   24.52
20220114   25.42
20220126   24.60
20220207   27.37
20220219   26.84
20220303   28.05
20220315   29.36
20220327   27.35
20220408   25.20
20220420   28.31
20220502   25.79
20220514   29.53
20220526   29.49
20220607   27.31
20220619   29.79
20220701   30.96
20220713   29.83
20220725   30.39
20220806   33.68
20220818   32.85
20220830   34.52
20220911   31.48
20220923   32.00
20221005   33.27
20221029   32.16
20221110   33.51
20221122   32.14
20221204   30.45
20221216   30.16
20221228   29.83
20230109   28.49
20230121   29.14
20230202   29.07
20230226   26.53
20230310   26.86
20230322   23.70
20230403   23.38
20230415   20.89
20230427   20.78
20230509   20.75
20230521   15.33
20230602   17.40
20230614   16.79
20230626   18.37
20230708   17.14
20230720   17.71
20230801   23.73
20230813   24.89
20230825   26.44
20230906   26.92
20230918   28.47
20230930   28.69
20231012   27.48
20231024   28.67
20231105   30.10
20231117   26.12
20231129   27.52
20231211   30.37
20231223   29.78
20240104   29.03
20240116   30.35
20240209   28.07
20240221   29.80
