# x, y    : 1793, 667
# lat, lon: 36.57500, 59.19155
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.961*t+0.529
20150220    0.00
20150304   -5.23
20150328   -4.65
20150421   -3.11
20150515   -4.29
20150702    0.57
20150726    4.20
20150819    2.00
20151030    4.01
20151123    3.41
20151217    2.31
20160110    0.47
20160203    2.10
20160227    0.06
20160322   -4.05
20160415    2.71
20160509    2.10
20160602    4.73
20160720    2.60
20160813    3.12
20160906    7.39
20160930    6.94
20161024    7.52
20161117    7.34
20161211    7.77
20170104    8.53
20170128    6.12
20170209    6.69
20170221    4.16
20170305    2.58
20170317   -1.95
20170329   -0.18
20170410   -0.63
20170422   -1.45
20170504   -1.67
20170516    0.81
20170528    1.97
20170609    3.01
20170703    3.83
20170715    5.82
20170727    6.30
20170808    8.98
20170820    8.31
20170901    9.07
20170913    5.66
20170925    7.86
20171007    8.31
20171019    7.77
20171031    7.66
20171112    8.03
20171124    9.31
20171206    8.15
20171218    8.98
20171230    8.28
20180111    7.83
20180123    7.48
20180204    8.21
20180216    7.49
20180228   11.10
20180312    5.84
20180324    6.49
20180405    7.42
20180417    7.54
20180429    0.51
20180511    8.85
20180523    8.26
20180604    8.38
20180616    8.17
20180628    9.35
20180710    8.77
20180722   16.62
20180803    8.06
20180815    7.35
20180827   11.01
20180908   10.27
20181002    7.49
20181014    7.45
20181026    3.51
20181107    6.83
20181119    5.58
20181201    5.97
20181213    5.01
20181225    4.98
20190106    5.15
20190118    6.23
20190130    6.77
20190211    3.49
20190223    7.59
20190307    5.99
20190331   11.18
20190412   16.44
20190424    7.82
20190506    9.73
20190518   13.67
20190530   19.67
20190611   10.99
20190623    9.31
20190705   11.12
20190717    9.58
20190729   13.77
20190810   14.21
20190822   15.06
20190903   10.44
20190915   15.49
20190927   14.24
20191009   12.16
20191021   11.88
20191102   12.19
20191114   10.77
20191126   10.84
20191208   12.81
20191220    9.91
20200101    9.99
20200125   10.76
20200206    9.98
20200218   12.26
20200301   12.56
20200313   10.37
20200406   11.45
20200418   12.89
20200430    4.98
20200512    6.49
20200524    4.89
20200605    7.08
20200617    5.43
20200629    5.69
20200723   -1.34
20200804   -0.83
20200816    1.50
20200828    0.65
20200909    3.60
20200921    4.26
20201003    4.58
20201015    6.30
20201027    7.25
20201108    6.04
20201120    9.39
20201202   10.49
20201214   10.24
20210107   12.31
20210119   11.95
20210131   13.96
20210212   13.45
20210224   14.83
20210308   14.92
20210320   13.96
20210413   14.94
20210425   13.57
20210507   19.29
20210519   15.83
20210531    7.54
20210612    8.07
20210624   10.38
20210706    9.26
20210718   11.53
20210730   12.88
20210811   14.25
20210823   13.35
20210904   17.64
20210916   14.21
20210928   15.16
20211010   15.54
20211022   18.63
20211103   15.13
20211115   16.62
20211127   15.30
20211209   14.91
20211221   15.86
20220102   18.86
20220114   19.74
20220126   13.06
20220207   14.67
20220219   13.27
20220303   12.98
20220315   18.40
20220327   14.16
20220408   12.54
20220420   16.80
20220502   13.72
20220514   15.70
20220526   16.09
20220607   16.88
20220619    9.99
20220701   19.34
20220713   20.36
20220725   23.06
20220806   19.84
20220818   21.48
20220830   24.51
20220911   21.02
20220923   23.42
20221005   23.38
20221029   20.73
20221110   21.71
20221122   21.00
20221204   20.39
20221216   19.74
20221228   18.29
20230109   18.97
20230121   17.82
20230202   16.45
20230226    9.58
20230310   11.27
20230322   12.01
20230403   12.62
20230415    9.81
20230427    8.72
20230509   10.70
20230521    7.97
20230602    8.09
20230614    9.24
20230626   10.33
20230708    9.78
20230720   11.60
20230801   15.11
20230813   16.24
20230825   16.41
20230906   17.70
20230918   18.63
20230930   17.96
20231012   17.47
20231024   18.97
20231105   19.52
20231117   17.85
20231129   18.14
20231211   17.21
20231223   19.16
20240104   18.94
20240116   18.22
20240209   17.16
20240221   18.25
