# x, y    : 1766, 672
# lat, lon: 36.57000, 59.16455
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.025*t-0.648
20150220    0.00
20150304   -5.33
20150328   -5.15
20150421   -5.15
20150515   -7.30
20150702    3.59
20150726    2.15
20150819    0.18
20151030    1.65
20151123    1.14
20151217    0.61
20160110    0.72
20160203   -0.84
20160227   -0.80
20160322   -5.18
20160415    2.33
20160509   -0.88
20160602    0.95
20160720    0.40
20160813    1.39
20160906    6.41
20160930    5.44
20161024    6.39
20161117    7.44
20161211    5.46
20170104    7.24
20170128    4.68
20170209    4.33
20170221    3.03
20170305    0.67
20170317   -3.68
20170329   -2.27
20170410   -0.28
20170422   -0.64
20170504   -3.44
20170516    2.12
20170528    0.74
20170609    2.51
20170703    4.82
20170715    4.19
20170727    4.13
20170808    6.03
20170820    4.95
20170901    8.33
20170913    6.55
20170925    6.17
20171007    5.72
20171019    6.07
20171031    6.70
20171112    7.10
20171124    7.90
20171206    7.23
20171218    8.71
20171230    7.07
20180111   10.34
20180123    7.69
20180204    7.69
20180216    7.25
20180228    9.89
20180312    5.05
20180324    4.92
20180405    6.01
20180417    5.50
20180429    1.62
20180511    5.30
20180523    5.57
20180604    6.96
20180616    8.04
20180628    7.43
20180710    7.79
20180722   10.99
20180803    6.12
20180815    4.32
20180827    6.59
20180908    7.70
20181002    5.58
20181014    5.96
20181026    3.58
20181107    5.11
20181119    3.90
20181201    4.94
20181213    5.15
20181225    5.58
20190106    3.24
20190118    5.47
20190130    6.05
20190211    3.95
20190223    8.45
20190307    7.35
20190331   12.08
20190412   17.32
20190424    8.48
20190506   10.72
20190518   11.97
20190530   13.20
20190611    9.66
20190623    8.17
20190705    8.39
20190717    9.21
20190729   11.86
20190810   13.44
20190822   14.16
20190903   11.15
20190915   15.88
20190927   12.11
20191009   13.38
20191021   11.77
20191102   10.77
20191114   11.27
20191126    9.84
20191208   12.15
20191220    9.65
20200101   10.16
20200125    9.73
20200206   10.77
20200218   11.97
20200301   11.39
20200313   10.38
20200406   11.49
20200418   11.84
20200430   10.72
20200512    7.60
20200524    7.36
20200605    7.52
20200617    7.08
20200629    5.91
20200723   -0.38
20200804   -1.46
20200816    1.04
20200828    0.42
20200909    0.47
20200921    4.99
20201003    5.20
20201015    5.92
20201027    7.42
20201108    4.99
20201120    9.26
20201202   10.32
20201214   10.32
20210107   11.81
20210119   13.23
20210131   13.53
20210212   14.23
20210224   14.26
20210308   16.05
20210320   13.27
20210413   14.01
20210425   13.27
20210507   17.33
20210519   11.92
20210531    3.75
20210612    8.96
20210624    9.22
20210706    8.68
20210718   11.53
20210730    8.33
20210811   13.51
20210823   11.93
20210904   14.24
20210916   13.33
20210928   11.63
20211010   14.51
20211022   14.67
20211103   14.09
20211115   15.13
20211127   14.28
20211209   14.24
20211221   14.09
20220102   14.63
20220114   15.78
20220126   12.03
20220207   16.03
20220219   14.33
20220303   11.48
20220315   18.81
20220327   14.57
20220408   13.96
20220420   14.36
20220502   15.51
20220514   15.96
20220526   15.99
20220607   17.72
20220619   21.34
20220701   18.00
20220713   20.03
20220725   20.67
20220806   21.88
20220818   21.05
20220830   23.69
20220911   21.62
20220923   21.50
20221005   21.42
20221029   20.81
20221110   22.34
20221122   21.65
20221204   19.31
20221216   19.05
20221228   18.70
20230109   16.93
20230121   17.06
20230202   14.03
20230226   12.32
20230310   16.04
20230322   11.89
20230403   11.33
20230415   10.26
20230427    8.63
20230509    9.18
20230521    6.18
20230602    5.72
20230614    4.58
20230626    8.54
20230708    6.11
20230720    7.35
20230801   13.54
20230813   15.19
20230825   15.87
20230906   15.41
20230918   17.59
20230930   16.48
20231012   16.15
20231024   16.26
20231105   18.33
20231117   17.07
20231129   16.74
20231211   17.18
20231223   17.34
20240104   17.16
20240116   17.38
20240209   16.19
20240221   16.33
